pathway,I4_Capsule_FD2_0,I4_Capsule_FD2_1,I4_Capsule_FD2_2,I4_Capsule_FD2_3,I4_Capsule_FD2_4,I4_Capsule_FD2_5,I4_Capsule_FD2_6,I4_Capsule_FD2_7,I4_Capsule_FD2_8,I4_Capsule_FD2_9,I4_Capsule_FD3_0,I4_Capsule_FD3_1,I4_Capsule_FD3_2,I4_Capsule_FD3_3,I4_Capsule_FD3_4,I4_Capsule_FD3_5,I4_Capsule_FD3_6,I4_Capsule_FD3_7,I4_Capsule_FD3_8,I4_Capsule_FD3_9,I4_Capsule_LM44_0,I4_Capsule_LM44_1,I4_Capsule_LM44_2,I4_Capsule_LM44_3,I4_Capsule_LM44_4,I4_Capsule_LM44_5,I4_Capsule_LM44_6,I4_Capsule_LM44_7,I4_Capsule_LM44_8,I4_Capsule_LM44_9,I4_Capsule_LM92_0,I4_Capsule_LM92_1,I4_Capsule_LM92_2,I4_Capsule_LM92_3,I4_Capsule_LM92_4,I4_Capsule_LM92_5,I4_Capsule_LM92_6,I4_Capsule_LM92_7,I4_Capsule_LM92_9
HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic),489.538,245.165,305.282,310.584,86.1877,123.897,334.006,280.726,110.644,75.7375,317.246,387.58,167.932,67.9827,223.171,310.191,291.585,190.985,230.62,150.87,0,381.742,311.477,326.571,253.637,310.924,319.879,325.621,399.162,303.082,186.154,362.397,101.146,225.315,238.327,204.034,277.299,126.829,149.973
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent),40.5508,134.374,87.7635,0.0,0.0,51.1842,0.0,113.547,87.5105,62.4154,98.7111,0.0,191.036,76.2347,175.928,89.2575,128.677,128.958,252.033,167.937,0,18.7193,98.5359,0.0,12.5372,29.5737,28.6393,6.26848,0.0,0.0,231.233,0.0,32.4826,172.74,106.256,53.4167,89.555,110.867,55.3769
HISDEG-PWY: L-histidine degradation I,478.611,179.236,264.072,299.407,0.0,133.989,308.326,349.541,90.6516,148.661,424.587,285.23,0.0,0.0,180.093,274.348,245.656,194.201,198.131,136.884,0,397.241,366.064,332.868,195.001,332.514,306.238,295.094,397.124,286.38,88.8237,309.946,82.488,204.998,240.739,204.51,273.513,162.801,61.0639
HISTSYN-PWY: L-histidine biosynthesis,545.174,332.745,380.793,407.017,0.0,356.545,578.688,322.087,106.785,211.503,393.17,672.715,231.6,0.0,331.056,392.43,364.388,293.966,342.396,264.77,0,521.32,374.153,476.355,206.016,439.567,456.297,510.293,522.475,547.457,327.674,513.077,174.125,341.874,349.047,371.88,399.804,341.167,343.228
HOMOSER-METSYN-PWY: L-methionine biosynthesis I,0.0,0.0,20.4222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.349,0.0,0.0,0.0,0.0,8.09114,6.26711,21.6007,3.56962,68.5519,0,17.2119,33.3973,31.147,64.9841,29.2775,28.3025,0.0,0.0,15.7266,43.9499,42.2045,27.1505,79.9991,68.8313,38.6038,23.6915,87.7795,0.0
HSERMETANA-PWY: L-methionine biosynthesis III,100.76,133.392,51.376,0.0,78.3138,62.6083,0.0,0.0,71.3001,30.1877,121.316,0.0,258.045,165.406,264.971,150.239,150.281,198.691,248.995,248.242,0,93.3749,74.8005,104.722,166.571,93.0845,29.088,52.2875,138.058,83.6602,269.856,63.301,70.4554,180.537,136.015,49.8736,45.0994,103.065,44.001
ILEUDEG-PWY: L-isoleucine degradation I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.3484,0.0,3.47598,12.3929,0.0,0.0,0.0,0.0,0.0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine),259.07,288.631,338.267,115.555,242.646,252.943,0.0,137.411,327.285,228.881,293.03,0.0,426.48,254.35,482.674,391.488,417.741,472.402,551.087,423.866,0,242.835,283.167,222.261,321.007,263.066,157.61,277.558,383.587,267.831,470.995,219.598,186.162,370.248,317.458,226.828,219.621,345.007,205.231
KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24738,0.0,0.0,0.0,0.0,0.0,0.0
KETOGLUCONMET-PWY: ketogluconate metabolism,12.307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.2762,0.0,122.595,56.4002,73.7697,76.0814,117.84,74.0393,0,0.0,0.0,8.19268,0.0,0.0,0.0,0.0,0.0,0.0,64.0334,0.0,10.0147,44.5475,10.9835,0.0,0.0,0.0,0.0
LACTOSECAT-PWY: lactose and galactose degradation I,69.7197,26.3128,0.0,0.0,0.0,0.0,0.0,58.609,0.0,0.0,68.7104,0.0,0.0,0.0,10.1466,61.5054,5.07547,12.6759,0.0,79.9251,0,91.9362,39.6484,49.0744,142.596,58.558,83.5297,75.8303,40.017,55.4629,0.0,41.0882,31.4739,32.8326,54.2644,82.1429,0.0,0.0,15.7972
LEU-DEG2-PWY: L-leucine degradation I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.1439,0.0,4.29759,18.0759,17.4981,0.0,0.0,34.8244,0.0
LIPASYN-PWY: phospholipases,18.0918,43.1363,0.0,0.0,107.599,17.6583,0.0,0.0,0.0,30.5745,7.8268,0.0,111.596,0.0,0.0,70.6284,109.228,141.091,154.498,153.556,0,7.26724,0.0,6.59791,0.0,3.70244,0.0,0.0,0.0,0.0,0.0,7.4525,11.6106,48.3465,0.0,0.0,26.8014,0.0,72.8291
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis,0.0,0.0,31.7224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.3188,0.0,0.0,0.0,0.0,15.7198,12.2229,39.8874,7.04514,103.019,0,27.8881,52.465,46.3421,96.3278,48.1279,51.6249,0.0,0.0,23.3675,77.0497,64.3458,46.3687,128.481,109.245,63.0702,34.3209,131.505,0.0
METH-ACETATE-PWY: methanogenesis from acetate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.14517,0.0,0.0,0.0,0.0,0.0,0.0
METHGLYUT-PWY: superpathway of methylglyoxal degradation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89621,0.0,0.0,0.0,12.8446,0,8.76197,0.0,6.88635,34.2532,11.9501,0.0,0.0,0.0,0.0,0.0,0.0,11.0668,10.5611,16.2873,14.0071,0.0,0.0,0.0
METHYLGALLATE-DEGRADATION-PWY: methylgallate degradation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.528,18.5703,3.37729,65.5773,22.106,0.0,0.0,52.3186,0.0
METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis,0.0,0.0,34.1742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.7037,0.0,0.0,0.0,0.0,13.8969,10.8053,35.8188,6.19055,98.2614,0,29.1435,54.1842,51.191,98.442,48.2918,46.5055,0.0,0.0,26.6778,70.2472,68.3817,42.0537,118.567,103.182,61.1823,39.2146,124.341,0.0
NAD-BIOSYNTHESIS-II: NAD salvage pathway III (to nicotinamide riboside),13.1772,17.1704,0.0,0.0,0.0,0.0,0.0,26.9527,0.0,0.0,58.9896,0.0,16.3275,0.0,3.28831,5.52129,0.0,12.3498,0.0,20.0993,0,0.0,23.696,0.0,17.5081,8.58041,0.0,32.127,0.0,6.70725,0.0,0.0,3.76632,10.8446,0.0,0.0,0.0,0.0,0.0
NADSYN-PWY: NAD de novo biosynthesis II (from tryptophan),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.42849,0.0,0.0,0.0,0.0,0.0,0.0
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4272,0.0,0.0,0.0,11.9831,0.0,0.0,0.0,2.43597,0.0,0,0.0,0.0,0.0,0.0,7.37856,0.0,0.0,0.0,0.0,145.971,0.0,17.0484,69.1713,22.4163,0.0,0.0,36.4188,0.0
NONMEVIPP-PWY: methylerythritol phosphate pathway I,365.75,233.42,255.176,249.056,0.0,219.225,397.614,245.272,0.0,109.157,330.589,505.183,0.0,29.4432,197.276,255.276,286.509,214.921,179.768,151.844,0,354.196,316.33,309.627,180.903,318.468,330.314,362.269,441.767,355.058,179.294,353.428,131.611,228.412,241.486,259.286,310.675,223.091,197.545
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I,222.84,217.185,90.7871,0.0,0.0,189.104,0.0,198.359,0.0,129.451,308.067,582.705,345.077,120.17,396.209,297.638,283.439,352.125,390.871,348.012,0,272.12,200.14,255.834,271.44,286.294,191.501,306.324,298.384,252.063,354.565,218.585,124.825,308.915,257.538,226.693,164.156,223.696,109.648
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli),73.4609,116.277,96.043,95.9874,0.0,0.0,0.0,0.0,0.0,74.9337,89.6099,0.0,0.0,0.0,178.512,86.0136,112.128,129.9,194.126,167.878,0,58.9774,34.3367,28.7589,80.4034,85.7678,69.5222,129.985,0.0,74.5634,215.496,58.5532,108.913,193.434,143.055,74.8699,80.2236,96.397,125.277
ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.41321,0.0,16.9549,0.0,0.0,0.0,0.0
ORNDEG-PWY: superpathway of ornithine degradation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1896,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.189,0.0,8.80454,73.568,32.347,0.0,0.0,66.0919,0.0
P101-PWY: ectoine biosynthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.10519,0.0,0.0,9.99007,0.0,0,0.0,0.0,0.0,26.3406,3.09,0.0,0.0,0.0,10.6869,0.0,0.0,13.1025,0.0,6.58911,0.0,0.0,0.0,0.0
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase),34.183,41.3623,48.7531,0.0,0.0,68.2445,0.0,130.212,0.0,0.0,26.9668,0.0,56.8235,0.0,108.523,64.222,92.7822,101.751,127.554,91.2329,0,84.6611,0.0,165.345,79.9162,54.7257,0.0,23.2033,0.0,35.195,43.8424,13.9364,52.5985,73.1109,61.1658,65.1139,112.986,87.408,39.5795
P108-PWY: pyruvate fermentation to propanoate I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.05452,0.0,0.0,0.0,24.738,0,0.0,0.0,0.0,20.3887,12.9706,0.0,0.0,0.0,37.7086,18.6257,0.0,18.2892,16.2624,23.8567,0.0,0.0,63.1189,0.0
P122-PWY: heterolactic fermentation,16.8581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27451,0.0,0.0,0.0,0.0,0,8.50726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.9528,0.0,0.0,25.5593,42.6667,25.3522,0.0,0.0,0.0,0.0
P124-PWY: Bifidobacterium shunt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.29686,0.0,0.0,22.762,0.0,0,0.0,0.0,10.4317,0.0,21.1225,0.0,0.0,0.0,24.4365,83.2892,0.0,32.8995,47.8473,25.9925,0.0,0.0,28.013,0.0
"P125-PWY: superpathway of (R,R)-butanediol biosynthesis",29.1446,25.5023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.3646,0.0,0.0,0.0,24.2441,66.6962,0.0,0.0,35.7399,47.3026,0,50.2866,0.0,31.3022,84.2157,25.0518,0.0,18.0943,151.014,33.1808,0.0,24.8586,24.643,25.9355,41.0371,26.7446,18.0037,21.5307,45.6867
P161-PWY: acetylene degradation (anaerobic),32.8167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3017,4.199,4.00624,11.9708,0.0,29.4631,0,16.523,38.2581,0.0,29.8794,0.0,0.0,0.0,0.0,40.9933,87.9134,18.8505,15.4603,33.8262,30.4256,42.5833,0.0,37.749,41.2146
P164-PWY: purine nucleobases degradation I (anaerobic),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.84876,0,0.0,0.0,0.0,0.0,12.5189,0.0,0.0,0.0,0.0,0.0,0.0,17.1003,18.5833,9.70244,0.0,0.0,0.0,0.0
P184-PWY: protocatechuate degradation I (meta-cleavage pathway),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.51,12.4179,3.41786,69.808,22.0556,0.0,0.0,36.6664,0.0
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle),81.9474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.4376,0.0,0.0,0.0,7.07857,25.1581,0.0,32.3089,7.08276,55.2184,0,70.0932,0.0,39.6565,97.1563,61.4022,0.0,0.0,34.3522,63.1157,0.0,49.2194,26.0593,25.3447,29.3408,0.0,0.0,0.0,0.0
P221-PWY: octane oxidation,24.8098,25.1815,34.1744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.2116,0.0,0.0,19.563,23.8703,66.8676,16.4514,39.5605,41.9587,40.6233,0,16.0931,0.0,29.6508,25.0713,14.538,0.0,36.7052,0.0,15.2137,275.911,31.6305,13.8429,154.071,41.6371,17.1085,0.0,54.1501,45.3842
P23-PWY: reductive TCA cycle I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37297,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.07364,0.0,0.0,0.0,20.1423,11.4853,0.0,11.1122,9.5134,14.3895,0.0,0.0,0.0,0.0
"P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.298,22.3666,23.9957,10.3437,24.5646,0,55.6903,87.9901,56.2215,72.8837,83.5912,0.0,0.0,0.0,51.647,113.814,103.551,60.4566,156.721,115.871,72.0858,65.6067,121.256,0.0
P41-PWY: pyruvate fermentation to acetate and (S)-lactate I,132.108,8.2283,0.0,0.0,0.0,19.7737,0.0,141.064,69.0157,23.0194,79.4653,0.0,0.0,0.0,24.2631,95.3779,11.3569,20.7171,0.0,77.8738,0,100.797,90.1106,93.2059,220.496,79.5915,55.3124,123.291,141.772,101.169,18.4274,72.4316,85.0747,102.661,119.019,61.3295,51.982,35.3778,44.8341
P42-PWY: incomplete reductive TCA cycle,55.504,0.0,0.0,0.0,0.0,74.2945,0.0,0.0,0.0,0.0,65.6251,0.0,0.0,0.0,40.2538,108.413,7.03446,0.0,5.72945,15.9749,0,62.2718,63.7721,45.697,156.439,34.8226,0.0,53.1283,0.0,40.8989,38.7386,53.5888,53.1611,77.6013,96.2726,56.9176,39.6526,0.0,41.0618
P441-PWY: superpathway of N-acetylneuraminate degradation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0497,13.1968,0.0,0.0,0.0,42.7404,0,37.9124,0.0,52.817,79.0042,39.6507,0.0,0.0,0.0,45.7624,14.1371,46.0156,37.9942,47.3338,84.7016,47.824,0.0,0.0,52.4276
"P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5013,0.0,0.0,0.0,13.0045,7.40646,0.0,0.0,0.0,22.6983,0,16.9662,0.0,0.0,0.0,16.7219,0.0,0.0,0.0,15.9263,0.0,0.0,18.8387,16.9405,34.7393,11.713,0.0,0.0,0.0
P562-PWY: myo-inositol degradation I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.15976,0.0,0.0,0.0,0.0
P621-PWY: nylon-6 oligomer degradation,0.0,18.2386,18.8423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.4681,57.5318,86.3515,55.6466,11.4953,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8794,0.0,3.39009,14.894,2.29572,0.0,0.0,0.0,0.0
PANTO-PWY: phosphopantothenate biosynthesis I,121.747,127.386,123.098,0.0,104.647,201.09,209.039,71.1772,93.5364,0.0,94.3122,0.0,175.922,78.8779,274.201,209.08,167.078,219.318,281.539,197.977,0,166.732,148.737,164.36,246.806,184.319,83.2092,215.803,280.834,177.915,228.377,138.933,85.1183,194.681,186.459,121.033,128.564,198.818,36.6042
PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria),95.7528,134.4,55.5527,0.0,0.0,156.255,0.0,118.075,76.0344,0.0,133.203,0.0,0.0,36.3146,196.539,212.61,188.258,190.036,202.499,182.909,0,200.412,171.874,199.148,276.969,190.448,128.478,244.831,262.969,173.687,163.776,118.462,100.289,193.733,210.139,156.636,144.234,170.529,63.6995
PENTOSE-P-PWY: pentose phosphate pathway,208.833,172.622,0.0,0.0,0.0,155.491,0.0,177.985,0.0,0.0,261.026,0.0,144.196,112.065,203.68,252.99,216.236,208.279,202.679,216.827,0,230.437,164.046,210.631,262.942,248.666,124.598,230.803,277.473,217.379,200.992,187.275,122.192,230.948,244.091,204.556,149.324,169.671,99.6942
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing),417.4,208.866,257.159,181.091,0.0,169.088,405.368,198.44,0.0,87.9399,363.539,425.005,0.0,0.0,237.422,288.238,268.692,233.618,204.802,202.584,0,426.197,327.731,331.431,287.386,374.837,327.964,412.474,473.975,385.158,121.287,378.978,153.445,237.177,272.829,280.983,306.73,192.64,175.374
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria),0.0,33.9576,25.8884,0.0,0.0,0.0,0.0,55.1058,0.0,0.0,30.2908,0.0,60.0826,0.0,21.7237,3.15617,18.033,26.8346,5.51316,47.2235,0,17.998,58.7723,0.0,0.0,29.7852,0.0,0.0,0.0,0.0,142.797,0.0,57.7573,93.2716,70.6198,26.012,0.0,66.8345,26.2774
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27422,0.0,0.0,0.0,17.7045,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.7561,0.0,17.1108,19.1677,8.95029,0.0,0.0,0.0,0.0
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.2608,0.0,0.0,0.0,4.81926,3.46295,0.0,18.3464,17.8463,24.6259,0,0.0,0.0,9.63349,0.0,0.0,0.0,0.0,0.0,0.0,84.8217,0.0,18.681,46.3915,28.5824,0.0,0.0,19.4702,0.0
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli),180.507,43.0987,23.543,42.1469,0.0,0.0,0.0,0.0,0.0,0.0,76.3514,0.0,0.0,0.0,17.5584,36.9139,11.684,25.4986,0.0,0.0,0,50.5954,0.0,34.3207,235.039,45.6648,0.0,47.5776,142.316,75.2326,26.2478,35.5554,51.1771,47.2541,80.4614,69.1839,58.1262,0.0,0.0
PPGPPMET-PWY: ppGpp metabolism,0.0,64.2285,43.588,0.0,0.0,45.1634,0.0,0.0,143.425,50.8695,58.976,0.0,185.223,153.779,101.323,51.936,68.6132,75.2382,185.401,117.248,0,5.23113,0.0,0.0,18.4345,13.9349,0.0,0.0,0.0,11.5633,133.773,0.0,24.0269,90.7029,27.5925,17.7169,0.0,39.1675,0.0
PROPFERM-PWY: superpathway of L-alanine fermentation (Stickland reaction),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.12697,0.0,0.0,0.0,0.0,0.0,0.0
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9396,2.01219,0.0,0.0,2.2688,9.73577,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.456,0.0,13.4572,77.9517,25.4118,0.0,0.0,20.8649,0.0
"PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PWY-101: photosynthesis light reactions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23.2694,0.0,5.60319,116.257,7.45914,0.0,0.0,0.0,72.8601,0.0,0.0,148.164,34.92,40.3605,12.7424,0.0,0.0,0.0
PWY-1042: glycolysis IV,231.586,130.045,208.894,203.503,0.0,198.712,0.0,221.324,164.339,199.025,256.13,0.0,0.0,103.755,187.514,310.337,235.323,240.358,161.526,191.9,0,246.404,215.047,444.284,381.996,262.08,162.71,376.261,248.723,185.58,115.051,320.053,192.801,241.569,334.952,283.509,214.708,347.193,238.616
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis,0.0,28.2955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5187,0.0,34.4672,0.0,74.3063,38.453,39.8097,78.0551,53.8103,51.3543,0,2.56784,0.0,0.0,0.0,4.90529,0.0,0.0,0.0,5.04006,95.9544,0.0,21.0451,66.5911,20.4375,8.71439,14.2215,37.7922,8.96489
PWY-1361: benzoyl-CoA degradation I (aerobic),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0486,0.0,1.12015,7.89625,8.84815,0.0,0.0,0.0,0.0
PWY-1541: superpathway of taurine degradation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53597,0.0,0.0,0.0,0.0,0.0,0.0
PWY-1622: formaldehyde assimilation I (serine pathway),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.23665,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.77963,0.0,0.0,0.0,0.0,14.0485,0.0
PWY-181: photorespiration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.494,50.1591,66.0014,85.033,85.5985,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5573,0.0,12.7539,97.3399,58.4163,0.0,0.0,57.5081,0.0
PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle),90.7881,54.8832,0.0,0.0,0.0,115.7,0.0,140.621,0.0,0.0,89.6419,0.0,0.0,0.0,55.6002,133.975,80.5962,31.7971,0.0,11.2862,0,146.379,179.116,167.634,304.13,156.801,0.0,71.3418,144.442,112.737,0.0,127.265,96.2407,87.9722,237.504,192.434,0.0,75.0306,98.8004
PWY-2221: Entner-Doudoroff pathway III (semi-phosphorylative),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.8134,0.0,0.0,31.0071,13.6519,0.0,0.0,0.0,0.0
"PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type",14.9229,33.8373,18.3176,0.0,0.0,84.0505,0.0,36.3501,90.22,29.0152,47.938,0.0,117.392,91.6698,213.69,83.7767,137.35,157.824,255.783,192.031,0,19.6591,0.0,12.5464,12.9621,22.5937,0.0,29.537,0.0,8.61466,104.578,0.0,42.851,121.715,53.8309,16.2977,0.0,31.5193,0.0
PWY-2941: L-lysine biosynthesis II,125.758,59.1822,23.7003,0.0,0.0,0.0,0.0,144.106,0.0,107.343,166.668,370.222,0.0,0.0,43.3935,122.378,38.5615,0.0,17.8596,137.695,0,169.549,137.648,176.498,154.1,107.386,236.139,188.451,109.231,125.246,43.6212,78.7195,65.3256,101.609,187.594,90.7671,0.0,56.8886,130.089
PWY-2942: L-lysine biosynthesis III,416.368,233.314,265.219,121.897,81.2928,210.722,0.0,262.884,125.464,139.145,344.196,591.698,152.091,119.478,221.114,297.805,295.471,240.444,235.638,231.312,0,359.464,279.329,330.153,272.241,325.47,343.079,393.358,467.791,350.561,231.601,344.3,142.798,280.321,285.767,222.74,250.818,251.354,228.224
PWY-3001: superpathway of L-isoleucine biosynthesis I,241.936,178.881,240.052,0.0,0.0,162.85,0.0,189.14,0.0,216.22,228.614,0.0,0.0,0.0,213.564,297.853,186.613,243.116,233.598,225.25,0,248.373,223.913,208.639,279.803,239.914,0.0,277.006,0.0,265.133,336.093,220.276,152.333,307.284,266.141,180.373,145.936,255.91,205.037
