pathway,C002_L-44,C002_L-92,C002_R+45,C002_R+82,C004_L-44,C004_L-92,C004_R+45,C004_R+82
PWY-6609: adenine and adenosine salvage III,522.213,522.274,587.041,522.74,542.19,502.967,537.276,475.638
PWY-6612: superpathway of tetrahydrofolate biosynthesis,9.09564,15.5307,11.4978,0.0,17.3633,0.0,7.74544,0.0
PWY-6628: superpathway of L-phenylalanine biosynthesis,209.451,205.999,161.718,194.692,186.358,170.993,175.903,155.557
PWY-6630: superpathway of L-tyrosine biosynthesis,109.242,102.565,103.992,118.971,162.027,160.164,183.76,146.69
PWY-6700: queuosine biosynthesis I (de novo),528.019,450.791,478.809,431.209,450.892,410.569,453.928,424.799
PWY-6703: preQ0 biosynthesis,216.632,190.866,282.513,290.15,168.809,184.311,149.689,194.882
PWY-6731: starch degradation III,121.388,138.207,221.517,180.301,122.303,119.371,120.859,129.011
PWY-6749: CMP-legionaminate biosynthesis I,0.0,12.3851,3.71808,7.73236,7.47186,9.31471,8.04115,8.7684
PWY-6803: phosphatidylcholine acyl editing,0.0,0.0,2.40078,0.0,1.17856,0.890567,0.0,1.45831
PWY-6807: xyloglucan degradation II (exoglucanase),0.0,0.0,0.0,0.0,17.6876,12.1861,16.1005,13.1582
PWY-6823: molybdopterin biosynthesis,251.23,306.045,294.418,177.41,192.524,155.073,140.796,114.612
PWY-6859: all-trans-farnesol biosynthesis,24.7529,30.0056,46.6729,42.8059,68.2571,60.3606,46.103,56.3768
PWY-6876: isopropanol biosynthesis (engineered),2.05748,0.961754,0.0,2.06113,1.78604,2.78904,2.64966,3.59297
PWY-6895: superpathway of thiamine diphosphate biosynthesis II,136.34,133.805,127.096,128.886,102.336,95.3658,133.08,85.6267
PWY-6897: thiamine diphosphate salvage II,323.916,286.071,214.245,297.466,219.203,177.421,183.56,177.5
PWY-6901: superpathway of glucose and xylose degradation,128.102,175.601,206.15,213.589,212.581,191.227,182.411,190.221
PWY-6902: chitin degradation II (Vibrio),39.522,70.9636,73.9253,62.6104,99.3132,91.9669,96.9048,73.4242
PWY-6906: chitin derivatives degradation,30.824,0.0,66.1946,44.5838,67.8483,70.1247,55.5067,87.306
PWY-6936: seleno-amino acid biosynthesis (plants),198.102,237.083,245.027,192.984,251.449,243.565,173.613,248.871
PWY-6953: dTDP-3-acetamido-&alpha;-D-fucose biosynthesis,0.0,0.0,0.0,0.0,7.87802,3.7447,1.45213,7.629
"PWY-6961: L-ascorbate degradation II (bacterial, aerobic)",7.44396,15.8184,17.3266,7.74311,3.7981,0.0,1.74129,1.4017
PWY-6969: TCA cycle V (2-oxoglutarate synthase),64.386,68.4153,74.0837,83.5187,130.759,123.298,130.992,149.067
"PWY-6992: 1,5-anhydrofructose degradation",0.0,0.0,3.41139,0.0,0.0,2.42899,2.68542,0.886219
"PWY-7013: (S)-propane-1,2-diol degradation",21.5345,19.4901,31.8837,29.6504,20.7482,28.922,22.5626,35.2801
PWY-702: L-methionine biosynthesis II,121.759,176.505,112.965,80.0431,100.585,94.0911,76.9913,87.7526
PWY-7111: pyruvate fermentation to isobutanol (engineered),452.229,530.656,523.431,376.783,461.934,470.699,441.328,493.256
"PWY-7115: C4 photosynthetic carbon assimilation cycle, NAD-ME type",47.7634,59.3511,46.2774,40.479,70.6658,53.3348,40.5152,48.8538
"PWY-7117: C4 photosynthetic carbon assimilation cycle, PEPCK type",36.2335,44.8209,23.3266,37.3073,2.99023,8.97819,8.58409,1.94264
PWY-7118: chitin deacetylation,0.526435,0.0,0.0,1.3793,0.0,0.0,0.873306,0.892776
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I,66.4786,83.5015,100.19,70.9058,99.1227,111.28,109.485,105.802
PWY-7197: pyrimidine deoxyribonucleotide phosphorylation,69.0208,97.0326,94.625,95.9984,78.7988,118.215,93.9781,90.1486
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV,61.1801,76.2063,94.2538,62.1617,96.8653,103.468,106.563,102.799
PWY-7199: pyrimidine deoxyribonucleosides salvage,371.221,335.421,314.897,360.813,280.851,281.376,291.104,257.18
PWY-7200: superpathway of pyrimidine deoxyribonucleoside salvage,0.0,7.66414,10.1776,0.0,0.0,0.0,0.0,6.02066
PWY-7208: superpathway of pyrimidine nucleobases salvage,113.822,148.879,146.778,153.255,122.798,173.513,138.983,131.93
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP,62.8176,81.1597,98.8199,69.2358,103.915,109.743,113.885,111.409
PWY-7211: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,86.8983,83.8943,100.819,81.183,75.5771,80.2935,105.039,85.1012
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II,81.6168,107.818,108.37,118.503,90.6498,130.972,103.174,99.7954
PWY-7221: guanosine ribonucleotides de novo biosynthesis,718.48,644.56,634.558,643.082,569.609,544.765,529.97,515.461
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II,81.6168,107.818,108.37,118.503,90.6498,130.972,103.174,99.7954
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I,146.989,184.956,185.454,200.641,156.845,212.592,173.607,168.357
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I,227.084,291.166,292.919,300.476,247.924,312.858,266.694,260.691
PWY-7234: inosine-5'-phosphate biosynthesis III,45.4412,60.1932,63.044,42.9758,40.3331,53.7185,88.1644,45.4129
"PWY-7237: myo-, chiro- and scyllo-inositol degradation",406.159,302.113,361.564,353.915,254.599,203.532,187.208,211.719
PWY-7238: sucrose biosynthesis II,716.327,876.742,860.973,658.086,806.164,707.336,732.913,630.55
PWY-7242: D-fructuronate degradation,117.327,85.7991,79.9172,100.922,111.948,58.0022,82.3632,71.957
"PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II",433.543,459.125,468.091,425.771,440.776,420.631,417.669,402.586
PWY-7254: TCA cycle VII (acetate-producers),3.91245,0.0,6.16279,0.0,0.0,0.0,0.0,0.0
PWY-7282: 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II,28.3719,67.4401,115.94,126.701,85.6029,105.241,121.496,77.7247
PWY-7286: 7-(3-amino-3-carboxypropyl)-wyosine biosynthesis,0.0,0.0,0.0,0.0,3.47786,16.4159,8.545,9.73685
PWY-7312: dTDP-&beta;-D-fucofuranose biosynthesis,12.4346,10.1648,41.4325,20.2418,0.0,0.0,0.0,0.0
PWY-7315: dTDP-N-acetylthomosamine biosynthesis,25.295,52.666,44.9248,39.9707,44.4338,42.8816,40.6953,40.1934
PWY-7316: dTDP-N-acetylviosamine biosynthesis,12.2415,15.6056,16.2078,11.8141,13.0654,15.8214,16.5402,22.5762
PWY-7323: superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis,101.09,112.74,120.343,124.916,156.957,118.935,125.632,130.103
PWY-7328: superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis,99.591,195.148,141.837,148.915,148.74,205.858,211.561,190.374
PWY-7332: superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis,0.0,6.02439,0.0,4.59081,0.0,0.0,0.0,0.0
"PWY-7340: 9-cis, 11-trans-octadecadienoyl-CoA degradation (isomerase-dependent, yeast)",0.65855,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PWY-7345: superpathway of anaerobic sucrose degradation,140.081,129.571,131.262,162.746,86.8344,124.585,123.372,126.109
PWY-7356: thiamine diphosphate salvage IV (yeast),29.6943,25.9237,47.373,40.2125,34.414,20.5365,29.7083,23.2594
PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast),402.63,403.341,404.879,346.364,341.547,310.269,281.511,268.451
"PWY-7371: 1,4-dihydroxy-6-naphthoate biosynthesis II",0.0,2.10705,3.86342,3.31132,6.02716,6.19327,9.14428,7.4198
"PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)",22.7097,98.9149,92.5584,63.6656,126.277,159.082,161.646,193.804
"PWY-7385: 1,3-propanediol biosynthesis (engineered)",0.0,0.0,0.0,3.81116,0.0,1.35329,0.0,6.37211
PWY-7392: taxadiene biosynthesis (engineered),56.0513,69.0752,97.6135,91.3401,132.398,113.168,92.4778,110.697
PWY-7400: L-arginine biosynthesis IV (archaebacteria),194.812,323.742,338.146,238.386,306.876,327.76,353.408,299.185
PWY-7434: terminal O-glycans residues modification (via type 2 precursor disaccharide),3.19938,2.22395,1.10967,9.65012,0.0,0.0,0.0,0.0
"PWY-7456: &beta;-(1,4)-mannan degradation",80.3866,46.7771,40.7752,85.209,137.293,107.361,120.227,113.072
PWY-7560: methylerythritol phosphate pathway II,368.564,362.272,404.328,300.463,318.059,318.368,304.405,283.38
PWY-7663: gondoate biosynthesis (anaerobic),327.93,194.809,216.244,337.884,221.14,194.917,263.131,231.491
PWY-7664: oleate biosynthesis IV (anaerobic),48.1974,47.907,81.1494,89.637,103.514,91.8485,83.5805,93.0777
PWY-7688: dTDP-&alpha;-D-ravidosamine and dTDP-4-acetyl-&alpha;-D-ravidosamine biosynthesis,13.7982,5.80059,5.39622,14.5347,15.7217,38.8314,27.7951,30.6624
PWY-7761: NAD salvage pathway II (PNC IV cycle),162.3,96.7437,105.324,116.263,75.1085,106.051,135.399,92.2658
PWY-7783: plasmalogen degradation,0.0,0.0,1.02558,0.0,0.0,0.0,0.0,0.0
PWY-7790: UMP biosynthesis II,603.567,599.541,644.157,586.074,569.856,540.745,523.781,541.879
PWY-7791: UMP biosynthesis III,603.567,599.541,644.157,586.074,569.856,540.745,523.781,541.879
PWY-7820: teichuronic acid biosynthesis (B. subtilis 168),0.0,0.0,0.0,1.74903,4.20113,3.46472,0.0,1.90631
PWY-7851: coenzyme A biosynthesis II (eukaryotic),347.687,387.249,410.898,365.739,340.708,326.497,319.903,334.271
PWY-7858: (5Z)-dodecenoate biosynthesis II,1.25039,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PWY-7883: anhydromuropeptides recycling II,0.0,0.0,0.0,3.59343,4.34706,3.04118,0.0,2.59002
PWY-7953: UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing),563.43,564.84,588.416,539.538,506.751,469.835,483.63,454.844
PWY-7977: L-methionine biosynthesis IV,513.925,387.478,413.556,473.165,417.812,416.191,437.769,382.857
PWY-7992: superpathway of menaquinol-8 biosynthesis III,0.0,5.44721,9.79125,8.45961,14.7391,15.0313,20.8058,17.5457
PWY-8004: Entner-Doudoroff pathway I,72.8495,101.766,129.577,126.71,131.713,93.7423,105.986,103.738
PWY-801: homocysteine and cysteine interconversion,4.75176,9.75796,0.0,0.0,1.72394,0.0,1.75628,0.0
PWY-8073: lipid IVA biosynthesis (P. putida),40.1255,34.8692,47.4649,42.0719,28.2245,54.6727,37.2949,39.3123
PWY-8112: factor 420 biosynthesis I (archaea),0.0,0.0,0.0,0.0,0.0,12.3859,8.23541,7.8611
PWY-8113: 3PG-factor 420 biosynthesis,0.0,0.0,0.0,0.0,0.0,12.3859,8.23541,7.8611
PWY-8131: 5'-deoxyadenosine degradation II,22.718,31.5579,48.5944,39.7965,30.9055,33.6222,30.6861,34.0944
PWY-8178: pentose phosphate pathway (non-oxidative branch) II,548.436,568.61,547.673,487.443,522.836,504.178,493.176,486.711
PWY-8187: L-arginine degradation XIII (reductive Stickland reaction),57.4325,132.678,179.645,103.362,91.2448,93.6373,57.9441,82.0112
PWY-8188: L-alanine degradation VI (reductive Stickland reaction),0.0,5.94472,0.0,4.29606,7.44317,0.0,0.0,4.06607
PWY-8189: L-alanine degradation V (oxidative Stickland reaction),0.0,5.94472,0.0,4.29606,7.44317,0.0,0.0,4.06607
PWY-8190: L-glutamate degradation XI (reductive Stickland reaction),8.90412,0.0,3.90194,4.26698,5.6997,5.60225,5.04466,4.61914
PWY-821: superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae),9.09258,7.72762,8.91072,0.0,7.99303,16.0607,5.16573,9.80169
PWY-822: fructan biosynthesis,6.60624,8.29164,0.0,4.87209,0.503928,0.0,4.63821,0.0
PWY-841: superpathway of purine nucleotides de novo biosynthesis I,201.267,250.419,252.435,256.233,217.261,265.573,231.303,224.862
PWY-I9: L-cysteine biosynthesis VI (from L-methionine),244.299,428.631,152.743,103.097,127.6,134.304,101.949,118.341
PWY0-1061: superpathway of L-alanine biosynthesis,163.692,222.283,171.434,71.8215,94.9208,62.6597,45.6162,53.821
PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis,12.561,24.9106,17.4862,15.3042,4.54888,6.54676,8.55359,5.92168
PWY0-1261: anhydromuropeptides recycling I,10.701,17.0958,20.5384,18.4732,9.6887,37.558,21.3833,22.4236
PWY0-1296: purine ribonucleosides degradation,397.095,434.187,469.858,354.107,432.636,359.739,407.806,311.514
PWY0-1297: superpathway of purine deoxyribonucleosides degradation,62.2132,100.441,40.3247,66.1859,46.7256,63.2175,75.8718,80.2762
PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation,15.2319,28.412,33.6084,48.2779,39.3437,41.0611,54.9609,58.8018
PWY0-1319: CDP-diacylglycerol biosynthesis II,481.714,497.809,505.968,467.371,472.529,420.293,442.68,375.927
PWY0-1415: superpathway of heme b biosynthesis from uroporphyrinogen-III,0.0,5.39944,2.21948,0.0,0.0,1.45766,0.0,2.24963
PWY0-1477: ethanolamine utilization,13.4627,23.7514,27.4696,45.0451,36.3768,44.5149,52.634,59.2356
PWY0-1479: tRNA processing,39.3539,22.1514,53.869,37.6924,17.3578,17.6165,17.9976,32.7822
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing),424.56,320.71,340.636,458.27,209.789,255.155,249.256,300.943
PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis,142.043,104.993,147.677,175.772,144.035,183.918,144.594,148.972
PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli),0.0,0.0,0.0,0.0,0.0,0.0,4.559,0.0
"PWY0-301: L-ascorbate degradation I (bacterial, anaerobic)",8.1827,18.797,27.7303,7.28842,5.64581,0.0,1.70342,3.485
PWY0-781: aspartate superpathway,18.6127,9.04154,13.588,10.2367,14.7038,3.76465,6.75851,10.5586
PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage,12.1084,30.25,64.6252,70.6609,42.5187,61.2168,76.0633,41.7177
PWY0-862: (5Z)-dodecenoate biosynthesis I,42.1042,42.477,73.2649,79.7026,94.6175,83.7921,74.6978,84.0827
PWY1ZNC-1: assimilatory sulfate reduction IV,38.6042,53.5269,64.6736,48.0448,19.9566,35.6368,23.3602,17.7517
PWY3O-4107: NAD salvage pathway V (PNC V cycle),13.5615,27.7368,2.88018,9.00058,0.0,3.13834,2.08316,0.0
PWY490-3: nitrate reduction VI (assimilatory),7.11813,0.0,0.0,0.0,3.30871,1.84405,0.0,0.0
PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic),176.414,103.839,69.5053,135.466,38.1179,38.8373,63.893,25.7934
PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic),176.414,103.839,69.5053,135.466,38.1179,38.8373,63.893,25.7934
PWY4LZ-257: superpathway of fermentation (Chlamydomonas reinhardtii),14.0933,29.0738,33.5673,55.3828,39.0569,53.0507,62.7865,69.8267
PWY66-367: ketogenesis,1.78074,0.0,0.0,2.12039,0.0,0.0,0.0,0.0
PWY66-389: phytol degradation,18.1784,11.6968,17.5682,19.2115,1.96724,1.55905,0.0,0.0
PWY66-391: fatty acid &beta;-oxidation VI (mammalian peroxisome),3.19202,0.0,4.22327,6.07333,0.0,0.0,1.71362,0.0
PWY66-399: gluconeogenesis III,32.6259,117.787,126.749,115.936,167.514,188.301,181.406,212.215
PWY66-409: superpathway of purine nucleotide salvage,117.557,171.113,89.6223,97.738,85.5323,93.5404,78.4213,79.1803
PWY66-429: fatty acid biosynthesis initiation (mitochondria),427.411,484.368,499.141,438.643,550.595,497.687,512.589,485.257
PYRIDNUCSAL-PWY: NAD salvage pathway I (PNC VI cycle),18.2148,33.9854,3.9773,12.1076,0.0,4.32866,2.89323,0.0
PYRIDNUCSYN-PWY: NAD de novo biosynthesis I (from aspartate),385.252,376.961,367.997,358.596,303.078,316.267,273.495,303.072
PYRIDOXSYN-PWY: pyridoxal 5'-phosphate biosynthesis I,9.77915,23.9523,52.3595,58.8432,34.171,49.0429,61.3345,33.5664
REDCITCYC: TCA cycle VI (Helicobacter),2.00646,4.31243,11.9576,5.99357,10.3397,9.28959,10.9132,26.9864
RHAMCAT-PWY: L-rhamnose degradation I,114.375,116.57,116.013,111.684,165.782,123.308,148.775,126.329
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants),357.556,335.317,369.256,344.056,322.567,287.999,273.563,293.579
RUMP-PWY: formaldehyde oxidation I,2.90402,2.9654,13.2174,0.0,26.1274,48.9738,25.3489,21.6312
SALVADEHYPOX-PWY: adenosine nucleotides degradation II,86.8346,129.178,153.119,82.2526,121.37,149.317,143.075,123.392
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I,265.896,275.22,292.392,248.368,315.125,313.679,258.301,280.65
SO4ASSIM-PWY: assimilatory sulfate reduction I,9.24825,24.9332,25.7579,19.4574,16.9149,22.7604,14.1732,17.7517
SULFATE-CYS-PWY: superpathway of sulfate assimilation and cysteine biosynthesis,19.9107,50.4201,52.295,40.1665,35.8122,46.5971,29.9259,36.9195
TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA,1.35832,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCA: TCA cycle I (prokaryotic),6.52705,0.0,10.5059,0.0,0.0,0.0,0.0,0.0
THISYNARA-PWY: superpathway of thiamine diphosphate biosynthesis III (eukaryotes),266.776,279.551,216.674,217.567,213.024,164.181,157.217,155.882
THRESYN-PWY: superpathway of L-threonine biosynthesis,431.846,404.478,425.907,407.671,356.562,339.311,319.203,313.036
TRNA-CHARGING-PWY: tRNA charging,549.427,619.868,604.608,551.478,576.593,563.423,615.91,564.941
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I,114.857,186.476,165.3,159.022,184.565,230.341,200.932,192.897
VALSYN-PWY: L-valine biosynthesis,699.51,692.425,666.36,635.283,643.703,580.398,577.222,598.3
