pathway,pval,padj,log2err,ES,NES,size,timepoint,celltype,sample,info
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,1.02e-11,1.93e-09,0.8753251,-0.9651321,-1.974406,60,Immediately Post-flight,other_T,Inspiration4,C2
REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI,2.95e-26,9.28e-24,1.3267161,-0.7827803,-2.121481,625,Immediately Post-flight,other_T,Inspiration4,C2
REACTOME_CELLULAR_RESPONSE_TO_STARVATION,7.73e-26,2.31e-23,1.3188888,-0.9569477,-2.273377,156,Immediately Post-flight,other_T,Inspiration4,C2
REACTOME_DEFECTIVE_CHST3_CAUSES_SEDCJD,0.00091,0.0337,0.4772708,0.986147,1.399283,7,Immediately Post-flight,other_T,Inspiration4,C2
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,1.69e-35,2.65e-32,1.5498781,-0.9931943,-2.230762,93,Immediately Post-flight,other_T,Inspiration4,C2
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,4.68e-27,1.63e-24,1.3499257,-0.9770252,-2.250182,119,Immediately Post-flight,other_T,Inspiration4,C2
REACTOME_INFLUENZA_INFECTION,1.85e-23,5.29e-21,1.2545135,-0.9484812,-2.253264,156,Immediately Post-flight,other_T,Inspiration4,C2
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,5.1e-37,1.6e-33,1.5829282,-0.9085565,-2.382373,358,Immediately Post-flight,other_T,Inspiration4,C2
REACTOME_METABOLISM_OF_LIPIDS,5.51e-05,0.00333,0.5573322,0.6448828,1.379882,717,Immediately Post-flight,other_T,Inspiration4,C2
REACTOME_METABOLISM_OF_RNA,2.89e-29,1.46e-26,1.4025887,-0.7879188,-2.17297,666,Immediately Post-flight,other_T,Inspiration4,C2
REACTOME_NERVOUS_SYSTEM_DEVELOPMENT,5.56e-30,3.88e-27,1.4245627,-0.8180953,-2.173486,569,Immediately Post-flight,other_T,Inspiration4,C2
REACTOME_NONSENSE_MEDIATED_DECAY_NMD,1.94e-26,6.42e-24,1.3344975,-0.9764759,-2.236549,115,Immediately Post-flight,other_T,Inspiration4,C2
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,3.03e-29,1.46e-26,1.4025887,-0.9589207,-2.283348,170,Immediately Post-flight,other_T,Inspiration4,C2
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,1.72e-06,0.000166,0.6435518,-0.8384298,-1.893215,103,Immediately Post-flight,other_T,Inspiration4,C2
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS,1.74e-08,2.23e-06,0.733762,-0.8417231,-1.958,127,Immediately Post-flight,other_T,Inspiration4,C2
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,1.56e-34,1.63e-31,1.5297053,-0.9910375,-2.237917,101,Immediately Post-flight,other_T,Inspiration4,C2
REACTOME_RRNA_PROCESSING,1.06e-29,6.63e-27,1.4172759,-0.9473741,-2.283726,201,Immediately Post-flight,other_T,Inspiration4,C2
REACTOME_SELENOAMINO_ACID_METABOLISM,6.48e-35,8.14e-32,1.536459,-0.9894834,-2.249265,107,Immediately Post-flight,other_T,Inspiration4,C2
REACTOME_SIGNALING_BY_ROBO_RECEPTORS,1.79e-27,6.63e-25,1.3575741,-0.9313045,-2.268503,213,Immediately Post-flight,other_T,Inspiration4,C2
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,1.47e-28,6.17e-26,1.3877461,-0.9804796,-2.234391,112,Immediately Post-flight,other_T,Inspiration4,C2
REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT,4.48e-06,0.000397,0.6105269,-0.7470252,-1.799958,177,Immediately Post-flight,other_T,Inspiration4,C2
REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT,0.0004,0.0174,0.4984931,-0.791999,-1.703817,77,Immediately Post-flight,other_T,Inspiration4,C2
REACTOME_TRANSLATION,3.26e-31,2.56e-28,1.4533447,-0.9191719,-2.323346,274,Immediately Post-flight,other_T,Inspiration4,C2
RODRIGUES_THYROID_CARCINOMA_ANAPLASTIC_UP,9.03e-05,0.00493,0.5384341,0.6404725,1.368446,695,Immediately Post-flight,other_T,Inspiration4,C2
RODRIGUES_THYROID_CARCINOMA_POORLY_DIFFERENTIATED_DN,1.32e-05,0.000996,0.5933255,0.6492275,1.390899,788,Immediately Post-flight,other_T,Inspiration4,C2
SANA_RESPONSE_TO_IFNG_DN,2.89e-05,0.00196,0.5756103,-0.8174529,-1.771542,82,Immediately Post-flight,other_T,Inspiration4,C2
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_WITH_LMP1_UP,0.0011,0.0374,0.4550599,0.6653881,1.388835,394,Immediately Post-flight,other_T,Inspiration4,C2
SHEN_SMARCA2_TARGETS_UP,5.31e-06,0.000464,0.6105269,0.6948653,1.461911,422,Immediately Post-flight,other_T,Inspiration4,C2
SMID_BREAST_CANCER_BASAL_DN,3.7e-05,0.00233,0.5573322,0.6557788,1.400295,658,Immediately Post-flight,other_T,Inspiration4,C2
SMIRNOV_CIRCULATING_ENDOTHELIOCYTES_IN_CANCER_DN,0.000749,0.029,0.4772708,-0.9973835,-1.503246,5,Immediately Post-flight,other_T,Inspiration4,C2
SPIELMAN_LYMPHOBLAST_EUROPEAN_VS_ASIAN_UP,1.48e-09,2.11e-07,0.7881868,-0.6582511,-1.737312,478,Immediately Post-flight,other_T,Inspiration4,C2
STARK_PREFRONTAL_CORTEX_22Q11_DELETION_DN,6.45e-08,7.64e-06,0.7049757,-0.6118764,-1.622111,514,Immediately Post-flight,other_T,Inspiration4,C2
TAKAO_RESPONSE_TO_UVB_RADIATION_UP,7.79e-09,1.02e-06,0.7477397,-0.9068248,-1.966531,83,Immediately Post-flight,other_T,Inspiration4,C2
TARTE_PLASMA_CELL_VS_PLASMABLAST_UP,4.33e-13,9.39e-11,0.9325952,-0.7604592,-1.980121,350,Immediately Post-flight,other_T,Inspiration4,C2
TIEN_INTESTINE_PROBIOTICS_24HR_DN,2.03e-10,3.44e-08,0.8266573,-0.8064995,-1.960022,205,Immediately Post-flight,other_T,Inspiration4,C2
TIEN_INTESTINE_PROBIOTICS_6HR_UP,2.76e-09,3.85e-07,0.774939,-0.9593983,-1.894476,50,Immediately Post-flight,other_T,Inspiration4,C2
TORCHIA_TARGETS_OF_EWSR1_FLI1_FUSION_UP,0.00108,0.037,0.4550599,0.6831723,1.388197,265,Immediately Post-flight,other_T,Inspiration4,C2
VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_UP,0.000146,0.00753,0.5188481,0.7388316,1.449794,166,Immediately Post-flight,other_T,Inspiration4,C2
WANG_TUMOR_INVASIVENESS_UP,6.84e-13,1.43e-10,0.921426,-0.7503268,-1.97839,374,Immediately Post-flight,other_T,Inspiration4,C2
WEST_ADRENOCORTICAL_TUMOR_DN,6.75e-05,0.00396,0.5384341,-0.5387535,-1.432463,515,Immediately Post-flight,other_T,Inspiration4,C2
WONG_EMBRYONIC_STEM_CELL_CORE,6.7e-11,1.2e-08,0.8390889,-0.7345645,-1.904557,332,Immediately Post-flight,other_T,Inspiration4,C2
WONG_MITOCHONDRIA_GENE_MODULE,0.00121,0.0401,0.4550599,-0.5885549,-1.437632,217,Immediately Post-flight,other_T,Inspiration4,C2
WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,1.19e-29,6.79e-27,1.4172759,-0.9910862,-2.193539,88,Immediately Post-flight,other_T,Inspiration4,C2
WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA,7.17e-10,1.1e-07,0.8012156,-0.8945074,-2.020607,102,Immediately Post-flight,other_T,Inspiration4,C2
WP_OXIDATIVE_PHOSPHORYLATION,2.4e-06,0.000228,0.6272567,-0.8990751,-1.839271,60,Immediately Post-flight,other_T,Inspiration4,C2
WP_PROTEASOME_DEGRADATION,0.000326,0.0148,0.4984931,-0.8426591,-1.721916,59,Immediately Post-flight,other_T,Inspiration4,C2
YAGI_AML_WITH_INV_16_TRANSLOCATION,1.02e-09,1.52e-07,0.7881868,-0.6886677,-1.830153,392,Immediately Post-flight,other_T,Inspiration4,C2
YAMASHITA_LIVER_CANCER_WITH_EPCAM_UP,1.57e-07,1.67e-05,0.6901325,-0.9401092,-1.8634,51,Immediately Post-flight,other_T,Inspiration4,C2
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_13,1.2e-06,0.00012,0.6435518,-0.7389707,-1.774857,173,Immediately Post-flight,other_T,Inspiration4,C2
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_17,0.0016,0.0489,0.4550599,-0.6316868,-1.517211,181,Immediately Post-flight,other_T,Inspiration4,C2
ZHANG_RESPONSE_TO_CANTHARIDIN_DN,0.001,0.0356,0.4550599,-0.7918657,-1.629935,66,Immediately Post-flight,other_T,Inspiration4,C2
ZHENG_BOUND_BY_FOXP3,1.22e-09,1.78e-07,0.7881868,0.725124,1.533008,486,Immediately Post-flight,other_T,Inspiration4,C2
ZHONG_SECRETOME_OF_LUNG_CANCER_AND_FIBROBLAST,3.52e-05,0.00226,0.5573322,-0.7465674,-1.735983,130,Immediately Post-flight,other_T,Inspiration4,C2
ZHONG_SECRETOME_OF_LUNG_CANCER_AND_MACROPHAGE,0.000138,0.00724,0.5188481,-0.8150271,-1.743616,75,Immediately Post-flight,other_T,Inspiration4,C2
ABE_INNER_EAR,3.23e-06,0.00029,0.6272567,-0.9364051,-1.716957,43,Immediately Post-flight,B,Inspiration4,C2
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP,0.000626,0.0229,0.4772708,-0.4810278,-1.301774,835,Immediately Post-flight,B,Inspiration4,C2
ANDERSEN_LIVER_CANCER_KRT19_UP,2.91e-05,0.00192,0.5756103,-0.9471348,-1.667324,33,Immediately Post-flight,B,Inspiration4,C2
BENPORATH_MYC_MAX_TARGETS,7.23e-06,0.00059,0.6105269,-0.5368736,-1.452825,742,Immediately Post-flight,B,Inspiration4,C2
BENPORATH_MYC_TARGETS_WITH_EBOX,5.83e-07,5.91e-05,0.6594444,-0.7394757,-1.812117,218,Immediately Post-flight,B,Inspiration4,C2
BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_DN,0.000221,0.0107,0.5188481,-0.744495,-1.68406,118,Immediately Post-flight,B,Inspiration4,C2
BHATTACHARYA_EMBRYONIC_STEM_CELL,0.000366,0.0157,0.4984931,-0.7938595,-1.676641,79,Immediately Post-flight,B,Inspiration4,C2
BILANGES_RAPAMYCIN_SENSITIVE_VIA_TSC1_AND_TSC2,4.08e-06,0.000351,0.6105269,-0.8896888,-1.801211,68,Immediately Post-flight,B,Inspiration4,C2
BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES,1.48e-15,3.32e-13,1.0175448,-0.9770751,-1.978129,68,Immediately Post-flight,B,Inspiration4,C2
BILANGES_SERUM_RESPONSE_TRANSLATION,1.45e-05,0.00107,0.5933255,-0.9523722,-1.658945,32,Immediately Post-flight,B,Inspiration4,C2
BONOME_OVARIAN_CANCER_SURVIVAL_SUBOPTIMAL_DEBULKING,0.000555,0.0213,0.4772708,0.6642435,1.387652,488,Immediately Post-flight,B,Inspiration4,C2
BOUDOUKHA_BOUND_BY_IGF2BP2,7.24e-05,0.00421,0.5384341,-0.7852123,-1.745017,102,Immediately Post-flight,B,Inspiration4,C2
BROWNE_HCMV_INFECTION_14HR_DN,6.69e-05,0.00401,0.5384341,0.7185727,1.43666,268,Immediately Post-flight,B,Inspiration4,C2
BRUINS_UVC_RESPONSE_LATE,0.00015,0.00778,0.5188481,0.6226658,1.331459,1092,Immediately Post-flight,B,Inspiration4,C2
CAIRO_HEPATOBLASTOMA_CLASSES_UP,4.67e-07,4.81e-05,0.6749629,-0.5964631,-1.599848,599,Immediately Post-flight,B,Inspiration4,C2
CHAUHAN_RESPONSE_TO_METHOXYESTRADIOL_DN,3.26e-05,0.00213,0.5573322,-0.8079025,-1.789721,101,Immediately Post-flight,B,Inspiration4,C2
CHICAS_RB1_TARGETS_LOW_SERUM,0.000165,0.00846,0.5188481,-0.7844071,-1.721212,95,Immediately Post-flight,B,Inspiration4,C2
CHNG_MULTIPLE_MYELOMA_HYPERPLOID_UP,6.45e-12,1.23e-09,0.887075,-0.9771595,-1.84803,52,Immediately Post-flight,B,Inspiration4,C2
CUI_TCF21_TARGETS_2_DN,2.73e-11,5.04e-09,0.8634154,0.7111032,1.514492,825,Immediately Post-flight,B,Inspiration4,C2
DACOSTA_UV_RESPONSE_VIA_ERCC3_COMMON_DN,1.3e-14,2.73e-12,0.9865463,0.7780418,1.618354,457,Immediately Post-flight,B,Inspiration4,C2
DACOSTA_UV_RESPONSE_VIA_ERCC3_DN,4.88e-28,2.05e-25,1.372743,0.7805248,1.663328,845,Immediately Post-flight,B,Inspiration4,C2
DACOSTA_UV_RESPONSE_VIA_ERCC3_TTD_DN,0.000483,0.0193,0.4984931,0.7906409,1.396266,84,Immediately Post-flight,B,Inspiration4,C2
DACOSTA_UV_RESPONSE_VIA_ERCC3_UP,0.00155,0.0467,0.4550599,-0.5676014,-1.4447,308,Immediately Post-flight,B,Inspiration4,C2
DACOSTA_UV_RESPONSE_VIA_ERCC3_XPCS_DN,0.000578,0.0218,0.4772708,0.7882565,1.392055,84,Immediately Post-flight,B,Inspiration4,C2
DANG_MYC_TARGETS_UP,7.51e-10,1.15e-07,0.8012156,-0.872213,-1.978882,128,Immediately Post-flight,B,Inspiration4,C2
DAVICIONI_MOLECULAR_ARMS_VS_ERMS_UP,3.46e-07,3.75e-05,0.6749629,0.7435585,1.50606,322,Immediately Post-flight,B,Inspiration4,C2
DAZARD_RESPONSE_TO_UV_NHEK_DN,4.7e-09,6.71e-07,0.7614608,0.7704876,1.553397,295,Immediately Post-flight,B,Inspiration4,C2
DAZARD_RESPONSE_TO_UV_NHEK_UP,4.58e-09,6.69e-07,0.7614608,-0.7902514,-1.894838,200,Immediately Post-flight,B,Inspiration4,C2
DAZARD_UV_RESPONSE_CLUSTER_G1,1.02e-05,0.00079,0.5933255,-0.8926907,-1.764211,59,Immediately Post-flight,B,Inspiration4,C2
DAZARD_UV_RESPONSE_CLUSTER_G6,1.84e-05,0.0013,0.5756103,0.7774481,1.459387,142,Immediately Post-flight,B,Inspiration4,C2
DIRMEIER_LMP1_RESPONSE_EARLY,0.000814,0.0284,0.4772708,-0.8202995,-1.653154,61,Immediately Post-flight,B,Inspiration4,C2
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN,0.000218,0.0106,0.5188481,0.6718424,1.404468,494,Immediately Post-flight,B,Inspiration4,C2
DUTERTRE_ESTRADIOL_RESPONSE_6HR_DN,0.00106,0.0346,0.4550599,0.7771476,1.388154,91,Immediately Post-flight,B,Inspiration4,C2
ENK_UV_RESPONSE_KERATINOCYTE_UP,2.09e-26,5.71e-24,1.3344975,-0.8271845,-2.164066,505,Immediately Post-flight,B,Inspiration4,C2
FARMER_BREAST_CANCER_APOCRINE_VS_LUMINAL,4.71e-05,0.00299,0.5573322,0.7131154,1.440811,309,Immediately Post-flight,B,Inspiration4,C2
FERNANDEZ_BOUND_BY_MYC,0.00127,0.0402,0.4550599,-0.6493715,-1.521466,174,Immediately Post-flight,B,Inspiration4,C2
FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_UP,0.000572,0.0218,0.4772708,0.6830588,1.398392,357,Immediately Post-flight,B,Inspiration4,C2
FLOTHO_PEDIATRIC_ALL_THERAPY_RESPONSE_UP,2.31e-07,2.59e-05,0.6901325,-0.9440857,-1.78548,52,Immediately Post-flight,B,Inspiration4,C2
FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_DN,0.000838,0.0286,0.4772708,0.6674005,1.383555,444,Immediately Post-flight,B,Inspiration4,C2
GABRIELY_MIR21_TARGETS,3.69e-06,0.000325,0.6272567,0.7362136,1.479342,287,Immediately Post-flight,B,Inspiration4,C2
GENTILE_UV_LOW_DOSE_DN,0.000374,0.016,0.4984931,0.8197366,1.400731,62,Immediately Post-flight,B,Inspiration4,C2
GEORGES_TARGETS_OF_MIR192_AND_MIR215,7.94e-05,0.00442,0.5384341,0.639678,1.364256,871,Immediately Post-flight,B,Inspiration4,C2
GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_DN,1.82e-05,0.0013,0.5756103,0.6368335,1.361647,1048,Immediately Post-flight,B,Inspiration4,C2
GOZGIT_ESR1_TARGETS_DN,0.00168,0.0492,0.4550599,0.623898,1.325739,731,Immediately Post-flight,B,Inspiration4,C2
GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_DN,3.83e-07,4.08e-05,0.6749629,0.6298643,1.355754,1733,Immediately Post-flight,B,Inspiration4,C2
GRUETZMANN_PANCREATIC_CANCER_DN,0.000257,0.0119,0.4984931,-0.6620913,-1.583741,189,Immediately Post-flight,B,Inspiration4,C2
GRYDER_PAX3FOXO1_ENHANCERS_IN_TADS,0.00127,0.0402,0.4550599,0.6066904,1.296718,990,Immediately Post-flight,B,Inspiration4,C2
HAMAI_APOPTOSIS_VIA_TRAIL_UP,4.84e-11,8.45e-09,0.8513391,0.7290789,1.541537,647,Immediately Post-flight,B,Inspiration4,C2
HILLION_HMGA1B_TARGETS,2.15e-07,2.46e-05,0.6901325,-0.8995483,-1.922933,83,Immediately Post-flight,B,Inspiration4,C2
HILLION_HMGA1_TARGETS,1.22e-08,1.6e-06,0.7477397,-0.9110224,-1.936228,81,Immediately Post-flight,B,Inspiration4,C2
HOELZEL_NF1_TARGETS_DN,0.000176,0.00892,0.5188481,0.7797201,1.424951,109,Immediately Post-flight,B,Inspiration4,C2
HOLLEMAN_ASPARAGINASE_RESISTANCE_B_ALL_UP,4.62e-05,0.00296,0.5573322,-0.9581967,-1.650131,27,Immediately Post-flight,B,Inspiration4,C2
HSIAO_HOUSEKEEPING_GENES,7.9e-41,4.97e-37,1.6657926,-0.9216425,-2.368911,382,Immediately Post-flight,B,Inspiration4,C2
IRITANI_MAD1_TARGETS_DN,0.000281,0.0127,0.4984931,-0.8905193,-1.636142,44,Immediately Post-flight,B,Inspiration4,C2
IVANOVA_HEMATOPOIESIS_LATE_PROGENITOR,0.00134,0.0417,0.4550599,0.6510679,1.362281,501,Immediately Post-flight,B,Inspiration4,C2
IVANOVA_HEMATOPOIESIS_MATURE_CELL,0.000787,0.028,0.4772708,0.6928863,1.392171,283,Immediately Post-flight,B,Inspiration4,C2
IVANOVA_HEMATOPOIESIS_STEM_CELL_LONG_TERM,6.57e-06,0.000543,0.6105269,0.7627693,1.483866,201,Immediately Post-flight,B,Inspiration4,C2
JISON_SICKLE_CELL_DISEASE_DN,5.2e-10,8.17e-08,0.8012156,-0.835406,-1.972467,180,Immediately Post-flight,B,Inspiration4,C2
JOHNSTONE_PARVB_TARGETS_2_DN,0.000312,0.0138,0.4984931,0.6978599,1.422532,334,Immediately Post-flight,B,Inspiration4,C2
JOHNSTONE_PARVB_TARGETS_2_UP,3.73e-06,0.000325,0.6272567,-0.7799262,-1.819948,143,Immediately Post-flight,B,Inspiration4,C2
KEGG_OXIDATIVE_PHOSPHORYLATION,8.03e-07,7.76e-05,0.6594444,-0.8147044,-1.847207,127,Immediately Post-flight,B,Inspiration4,C2
KEGG_PARKINSONS_DISEASE,6.78e-07,6.77e-05,0.6594444,-0.8263024,-1.857325,122,Immediately Post-flight,B,Inspiration4,C2
KEGG_RIBOSOME,2.75e-37,5.75e-34,1.5894558,-0.9947628,-2.141642,86,Immediately Post-flight,B,Inspiration4,C2
KIM_ALL_DISORDERS_DURATION_CORR_DN,0.00128,0.0402,0.4550599,-0.6677151,-1.558105,143,Immediately Post-flight,B,Inspiration4,C2
KIM_ALL_DISORDERS_OLIGODENDROCYTE_NUMBER_CORR_UP,4.11e-18,9.56e-16,1.0959293,-0.7055248,-1.899224,738,Immediately Post-flight,B,Inspiration4,C2
KIM_BIPOLAR_DISORDER_OLIGODENDROCYTE_DENSITY_CORR_UP,8.08e-15,1.75e-12,0.9865463,-0.6972787,-1.912961,659,Immediately Post-flight,B,Inspiration4,C2
LEE_LIVER_CANCER_MYC_UP,2.44e-05,0.00167,0.5756103,-0.9141354,-1.717997,50,Immediately Post-flight,B,Inspiration4,C2
LEE_LIVER_CANCER_SURVIVAL_DN,1.11e-06,0.000106,0.6435518,-0.7700056,-1.794447,173,Immediately Post-flight,B,Inspiration4,C2
LI_AMPLIFIED_IN_LUNG_CANCER,3.19e-19,8.01e-17,1.1330899,-0.9279702,-2.16704,171,Immediately Post-flight,B,Inspiration4,C2
LOPEZ_MBD_TARGETS,1.08e-07,1.3e-05,0.7049757,-0.5519469,-1.473614,919,Immediately Post-flight,B,Inspiration4,C2
LUI_TARGETS_OF_PAX8_PPARG_FUSION,0.000225,0.0108,0.5188481,-0.9286148,-1.634721,33,Immediately Post-flight,B,Inspiration4,C2
LUI_THYROID_CANCER_CLUSTER_3,0.000796,0.0281,0.4772708,-0.930241,-1.601988,27,Immediately Post-flight,B,Inspiration4,C2
LUI_THYROID_CANCER_PAX8_PPARG_DN,2.18e-05,0.0015,0.5756103,-0.9204473,-1.691129,44,Immediately Post-flight,B,Inspiration4,C2
LU_EZH2_TARGETS_DN,0.00165,0.049,0.4550599,0.6657645,1.37172,384,Immediately Post-flight,B,Inspiration4,C2
MALONEY_RESPONSE_TO_17AAG_DN,0.00014,0.00732,0.5188481,-0.8236574,-1.700978,73,Immediately Post-flight,B,Inspiration4,C2
MARTENS_TRETINOIN_RESPONSE_DN,4.15e-36,6.52e-33,1.563182,-0.8109299,-2.196361,764,Immediately Post-flight,B,Inspiration4,C2
MARTINELLI_IMMATURE_NEUTROPHIL_UP,0.000204,0.01,0.5188481,0.9879722,1.420908,8,Immediately Post-flight,B,Inspiration4,C2
MARTINEZ_RB1_AND_TP53_TARGETS_DN,0.00011,0.00585,0.5384341,-0.5293321,-1.378877,552,Immediately Post-flight,B,Inspiration4,C2
MARTINEZ_RB1_TARGETS_DN,1.9e-06,0.000178,0.6435518,-0.5927836,-1.549853,507,Immediately Post-flight,B,Inspiration4,C2
MARTINEZ_RESPONSE_TO_TRABECTEDIN,2.86e-06,0.000261,0.6272567,0.8903783,1.506189,50,Immediately Post-flight,B,Inspiration4,C2
MARTINEZ_TP53_TARGETS_DN,7.03e-05,0.00417,0.5384341,-0.5378128,-1.410756,556,Immediately Post-flight,B,Inspiration4,C2
MATTIOLI_MGUS_VS_PCL,0.000589,0.022,0.4772708,-0.7289658999999999,-1.649173,119,Immediately Post-flight,B,Inspiration4,C2
MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,0.00165,0.049,0.4550599,0.5985041,1.278663,998,Immediately Post-flight,B,Inspiration4,C2
MODY_HIPPOCAMPUS_PRENATAL,1.52e-07,1.77e-05,0.6901325,-0.9612662,-1.741283,39,Immediately Post-flight,B,Inspiration4,C2
MOOTHA_VOXPHOS,2.76e-05,0.00184,0.5756103,-0.8332217,-1.793857,86,Immediately Post-flight,B,Inspiration4,C2
MUNSHI_MULTIPLE_MYELOMA_UP,6.43e-05,0.0039,0.5384341,-0.8309191,-1.749638,77,Immediately Post-flight,B,Inspiration4,C2
NATSUME_RESPONSE_TO_INTERFERON_BETA_DN,1.11e-05,0.000851,0.5933255,-0.9142439,-1.71736,51,Immediately Post-flight,B,Inspiration4,C2
NUTT_GBM_VS_AO_GLIOMA_DN,0.00047,0.0189,0.4984931,-0.8827006,-1.621777,44,Immediately Post-flight,B,Inspiration4,C2
NUYTTEN_NIPP1_TARGETS_UP,0.000847,0.0288,0.4772708,0.6364181,1.352036,720,Immediately Post-flight,B,Inspiration4,C2
ONKEN_UVEAL_MELANOMA_DN,0.00032,0.0141,0.4984931,-0.5403001,-1.417693,510,Immediately Post-flight,B,Inspiration4,C2
OSMAN_BLADDER_CANCER_DN,1.13e-08,1.51e-06,0.7477397,-0.6789298,-1.75411,406,Immediately Post-flight,B,Inspiration4,C2
OSMAN_BLADDER_CANCER_UP,0.00028,0.0127,0.4984931,0.6797106,1.403484,395,Immediately Post-flight,B,Inspiration4,C2
PECE_MAMMARY_STEM_CELL_UP,2.78e-18,6.73e-16,1.1053366,-0.9463081,-2.152068,129,Immediately Post-flight,B,Inspiration4,C2
PEREZ_TP53_TARGETS,8.02e-07,7.76e-05,0.6594444,0.6557915,1.403805,1120,Immediately Post-flight,B,Inspiration4,C2
PILON_KLF1_TARGETS_UP,0.000244,0.0114,0.5188481,0.6754382,1.407404,469,Immediately Post-flight,B,Inspiration4,C2
PLASARI_TGFB1_TARGETS_10HR_DN,0.000966,0.0318,0.4772708,0.706639,1.399406,245,Immediately Post-flight,B,Inspiration4,C2
POMEROY_MEDULLOBLASTOMA_DESMOPLASIC_VS_CLASSIC_DN,0.000508,0.02,0.4772708,-0.8380849,-1.642344,57,Immediately Post-flight,B,Inspiration4,C2
POMEROY_MEDULLOBLASTOMA_PROGNOSIS_DN,1.4e-05,0.00104,0.5933255,-0.9300219,-1.689326,42,Immediately Post-flight,B,Inspiration4,C2
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,2.25e-12,4.55e-10,0.8986712,-0.9719622,-1.938366,60,Immediately Post-flight,B,Inspiration4,C2
REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS,0.000577,0.0218,0.4772708,-0.822742,-1.66235,64,Immediately Post-flight,B,Inspiration4,C2
REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA,0.00061,0.0224,0.4772708,-0.8346956,-1.60999,55,Immediately Post-flight,B,Inspiration4,C2
REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI,3.63e-27,1.27e-24,1.3499257,-0.8028678,-2.18575,625,Immediately Post-flight,B,Inspiration4,C2
REACTOME_CELLULAR_RESPONSE_TO_STARVATION,2.57e-27,9.52e-25,1.3575741,-0.9629928,-2.227948,156,Immediately Post-flight,B,Inspiration4,C2
REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS,0.00144,0.0443,0.4550599,-0.8097594,-1.631912,61,Immediately Post-flight,B,Inspiration4,C2
REACTOME_DEFECTIVE_CHST14_CAUSES_EDS_MUSCULOCONTRACTURAL_TYPE,0.000354,0.0154,0.4984931,0.9890724,1.409841,7,Immediately Post-flight,B,Inspiration4,C2
REACTOME_DEFECTIVE_CHST3_CAUSES_SEDCJD,0.000188,0.00946,0.5188481,0.9910437,1.412651,7,Immediately Post-flight,B,Inspiration4,C2
REACTOME_DEGRADATION_OF_DVL,0.000784,0.028,0.4772708,-0.8297977,-1.626104,57,Immediately Post-flight,B,Inspiration4,C2
REACTOME_DEVELOPMENTAL_BIOLOGY,8.51e-28,3.34e-25,1.3651796,-0.7467256,-2.04645,907,Immediately Post-flight,B,Inspiration4,C2
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,3.84e-38,1.21e-34,1.6088796,-0.9939761,-2.162003,93,Immediately Post-flight,B,Inspiration4,C2
