metabolite,SuperPathway,SubPathway,Formula,Mass,RT,annotation_confidence,is_spaceflight_de
Malonic Acid,Lipid metabolism,Fatty acid metabolism,C3H4O4,104.0112,2.89,1,True
5-Hydroxyhexanoic Acid,Lipid metabolism,Fatty acid metabolism,C6H12O3,132.0791,2.35,1,False
10-Hydroxydecanoate,Lipid metabolism,Fatty acid metabolism,C10H20O3,188.1421,1.53,1,False
Lysophosphatidic Acid,Lipid metabolism,Glycerophospholipid metabolism,C21H41O7P,436.254,7.93,1,True
Phosphocholine,Lipid metabolism,Glycerophospholipid metabolism,C5H14NO4P,183.0654,19.38,1,True
Glycerylphosphorylethanolamine,Lipid metabolism,Glycerophospholipid metabolism,C5H14NO6P,215.0475,10.41,1,False
Glycerol 1-Phosphoserine,Lipid metabolism,Glycerophospholipid metabolism,C6H14NO8P,259.0495,7.67,1,False
Trimethylamine N-Oxide,Lipid metabolism,Glycerophospholipid metabolism,C3H9NO,75.0675,16.16,1,False
Sn-Glycero3-Phosphocholine,Lipid metabolism,Glycerophospholipid metabolism,C8H20NO6P,257.1029,14.84,1,False
LysoPC(16:1),Lipid metabolism,Glycerophospholipid metabolism,C24H48NO7P,493.3174,10.25,1,True
LysoPC(16:0),Lipid metabolism,Glycerophospholipid metabolism,C24H50NO7P,495.3342,10.19,1,True
LysoPC(18:3),Lipid metabolism,Glycerophospholipid metabolism,C26H48NO7P,517.3178,10.2,1,True
LysoPC(18:2),Lipid metabolism,Glycerophospholipid metabolism,C26H50NO7P,519.3337,9.88,1,False
LysoPC(18:1),Lipid metabolism,Glycerophospholipid metabolism,C26H52NO7P,521.3498,10.06,1,True
LysoPC(18:0),Lipid metabolism,Glycerophospholipid metabolism,C26H54NO7P,523.3656,10.0,1,True
PAF C18:1 /PC(O-18:1/2:0),Lipid metabolism,Glycerophospholipid metabolism,C28H56NO7P,549.3882,8.59,1,False
PC(34:2),Lipid metabolism,Glycerophospholipid metabolism,C42H80NO8P,757.5651,8.44,1,False
PC(35:2),Lipid metabolism,Glycerophospholipid metabolism,C43H82NO8P,771.5805,8.35,1,False
PC(36:4),Lipid metabolism,Glycerophospholipid metabolism,C44H80NO8P,781.5654,8.17,1,False
PC(36:2),Lipid metabolism,Glycerophospholipid metabolism,C44H84NO8P,785.5959,8.29,1,False
lysoPC(6:0),Lipid metabolism,Glycerophospholipid metabolism,C14H30NO7P,355.1741,8.91,1,False
LysoPC(14:1),Lipid metabolism,Glycerophospholipid metabolism,C22H44NO7P,465.285,8.92,1,False
LysoPC(14:0),Lipid metabolism,Glycerophospholipid metabolism,C22H46NO7P,467.3016,10.39,1,True
LysoPC(P-16:0),Lipid metabolism,Glycerophospholipid metabolism,C24H50NO6P,479.3381,9.88,1,True
LysoPC(15:0),Lipid metabolism,Glycerophospholipid metabolism,C23H48NO7P,481.317,10.29,1,True
LysoPC(P-18:1),Lipid metabolism,Glycerophospholipid metabolism,C26H52NO6P,505.3619,9.13,2,True
LysoPC(P-18:0),Lipid metabolism,Glycerophospholipid metabolism,C26H54NO6P,507.3694,10.37,2,True
LysoPC(17:0),Lipid metabolism,Glycerophospholipid metabolism,C25H52NO7P,509.3487,10.09,1,True
LysoPC(20:5),Lipid metabolism,Glycerophospholipid metabolism,C28H48NO7P,541.3173,10.04,1,True
LysoPC(20:4),Lipid metabolism,Glycerophospholipid metabolism,C28H50NO7P,543.3338,9.97,1,False
LysoPC(20:3),Lipid metabolism,Glycerophospholipid metabolism,C28H52NO7P,545.3476,10.0,1,True
LysoPC(20:2),Lipid metabolism,Glycerophospholipid metabolism,C28H54NO7P,547.3624,9.94,1,True
LysoPC(20:1),Lipid metabolism,Glycerophospholipid metabolism,C28H56NO7P,549.3775,9.91,1,True
LysoPC(20:0),Lipid metabolism,Glycerophospholipid metabolism,C28H58NO7P,551.3952,9.86,1,True
LysoPC(22:6),Lipid metabolism,Glycerophospholipid metabolism,C30H50NO7P,567.3336,9.9,1,False
LysoPC(22:5),Lipid metabolism,Glycerophospholipid metabolism,C30H52NO7P,569.3478,9.93,1,False
LysoPC(22:4),Lipid metabolism,Glycerophospholipid metabolism,C30H54NO7P,571.3633,9.89,1,False
LysoPC(22:1),Lipid metabolism,Glycerophospholipid metabolism,C30H60NO7P,577.4078,9.81,1,False
LysoPC(22:0),Lipid metabolism,Glycerophospholipid metabolism,C30H62NO7P,579.4262,9.71,1,False
lysoPC(28:0),Lipid metabolism,Glycerophospholipid metabolism,C36H74NO7P,663.5188,8.7,1,False
PC(28:1),Lipid metabolism,Glycerophospholipid metabolism,C36H70NO8P,675.4815,8.64,1,False
PC(28:0),Lipid metabolism,Glycerophospholipid metabolism,C36H72NO8P,677.5004,8.64,1,False
PC(30:0)),Lipid metabolism,Glycerophospholipid metabolism,C38H76NO7P,689.536,8.53,1,True
PC(29:0)),Lipid metabolism,Glycerophospholipid metabolism,C37H74NO8P,691.5161,8.57,1,True
PC(30:2),Lipid metabolism,Glycerophospholipid metabolism,C38H72NO8P,701.5016,8.56,1,False
PC(30:1),Lipid metabolism,Glycerophospholipid metabolism,C38H74NO8P,703.5164,8.55,1,False
PC(30:0),Lipid metabolism,Glycerophospholipid metabolism,C38H76NO8P,705.532,8.56,1,False
PC(P-32:1),Lipid metabolism,Glycerophospholipid metabolism,C40H78NO7P,715.5517,8.53,2,False
PC(P-32:0),Lipid metabolism,Glycerophospholipid metabolism,C40H80NO7P,717.5663,8.53,2,False
PC(31:0),Lipid metabolism,Glycerophospholipid metabolism,C39H78NO8P,719.5513,8.49,1,True
PC(32:6),Lipid metabolism,Glycerophospholipid metabolism,C40H70NO8P,723.4857,9.03,1,False
PC(32:3),Lipid metabolism,Glycerophospholipid metabolism,C40H74NO8P,727.5168,8.51,1,True
PC(32:2),Lipid metabolism,Glycerophospholipid metabolism,C40H76NO8P,729.5322,8.49,1,True
PC(32:1,Lipid metabolism,Glycerophospholipid metabolism,C40H78NO8P,731.5473,8.49,1,False
PC(32:0),Lipid metabolism,Glycerophospholipid metabolism,C40H80NO8P,733.5621,8.52,1,False
PC(P-34:3),Lipid metabolism,Glycerophospholipid metabolism,C42H78NO7P,739.5513,8.3,1,False
PC(O-34:3),Lipid metabolism,Glycerophospholipid metabolism,C42H80NO7P,741.5677,8.26,2,False
PC(P-34:1),Lipid metabolism,Glycerophospholipid metabolism,C42H82NO7P,743.5767,8.5,1,False
PC(34:0),Lipid metabolism,Glycerophospholipid metabolism,C42H84NO7P,745.5906,8.52,1,True
PC(34:5),Lipid metabolism,Glycerophospholipid metabolism,C42H74NO8P,751.5169,8.34,1,True
PC(34:4),Lipid metabolism,Glycerophospholipid metabolism,C42H76NO8P,753.5326,8.27,1,True
PC(34:3),Lipid metabolism,Glycerophospholipid metabolism,C42H78NO8P,755.5479,8.44,1,True
PC(34:1),Lipid metabolism,Glycerophospholipid metabolism,C42H82NO8P,759.5779,8.44,1,False
PC(O-34:0),Lipid metabolism,Glycerophospholipid metabolism,C42H84NO8P,761.5848,8.45,2,False
PC(P-36:1)),Lipid metabolism,Glycerophospholipid metabolism,C44H80NO7P,765.5692,8.05,2,False
PC(P-36:3),Lipid metabolism,Glycerophospholipid metabolism,C44H82NO7P,767.5835,8.24,2,False
PC(P-36:2),Lipid metabolism,Glycerophospholipid metabolism,C44H84NO7P,769.5957,8.44,2,False
PC(36:8),Lipid metabolism,Glycerophospholipid metabolism,C44H72NO8P,773.5082,8.68,1,False
PC(36:7),Lipid metabolism,Glycerophospholipid metabolism,C44H74NO8P,775.5065,8.9,1,False
PC(36:6),Lipid metabolism,Glycerophospholipid metabolism,C44H76NO8P,777.5321,8.2,1,True
PC(36:5),Lipid metabolism,Glycerophospholipid metabolism,C44H78NO8P,779.5486,8.19,1,True
PC(36:3),Lipid metabolism,Glycerophospholipid metabolism,C44H82NO8P,783.5792,8.27,1,False
PC(36:1),Lipid metabolism,Glycerophospholipid metabolism,C44H86NO8P,787.6044,8.28,1,False
PC(P-38:6),Lipid metabolism,Glycerophospholipid metabolism,C46H80NO7P,789.5679,8.01,2,False
PC(P-38:5),Lipid metabolism,Glycerophospholipid metabolism,C46H82NO7P,791.5834,8.0,2,False
PC(P38:3),Lipid metabolism,Glycerophospholipid metabolism,C46H86NO7P,795.6056,8.22,1,True
PC(38:8),Lipid metabolism,Glycerophospholipid metabolism,C46H76NO8P,801.5289,8.16,1,True
PC(38:7),Lipid metabolism,Glycerophospholipid metabolism,C46H78NO8P,803.546,8.14,1,True
PC(38:3),Lipid metabolism,Glycerophospholipid metabolism,C46H86NO8P,811.6052,8.1,1,True
PC(P-40:6),Lipid metabolism,Glycerophospholipid metabolism,C48H84NO7P,817.5988,8.02,2,False
PC(P-40:3),Lipid metabolism,Glycerophospholipid metabolism,C48H90NO7P,823.6383,8.24,2,True
PC(40:9),Lipid metabolism,Glycerophospholipid metabolism,C48H78NO8P,827.5449,8.09,1,False
PC(P-40:1),Lipid metabolism,Glycerophospholipid metabolism,C48H94NO7P,827.6835,9.16,2,False
PC(40:8),Lipid metabolism,Glycerophospholipid metabolism,C48H80NO8P,829.5631,7.98,1,False
PC(40:7),Lipid metabolism,Glycerophospholipid metabolism,C48H82NO8P,831.5782,8.02,1,True
PC(40:6),Lipid metabolism,Glycerophospholipid metabolism,C48H84NO8P,833.5946,8.02,1,False
PC(40:5),Lipid metabolism,Glycerophospholipid metabolism,C48H86NO8P,835.6074,8.04,1,False
PC(38:4),Lipid metabolism,Glycerophospholipid metabolism,C48H88NO8P,837.6224,8.05,1,True
PC(42:10),Lipid metabolism,Glycerophospholipid metabolism,C50H80NO8P,853.5619,7.92,1,False
PC(42:9),Lipid metabolism,Glycerophospholipid metabolism,C50H82NO8P,855.5769,7.95,1,False
PC(42:8),Lipid metabolism,Glycerophospholipid metabolism,C50H84NO8P,857.5895,7.96,1,True
PC(42:6),Lipid metabolism,Glycerophospholipid metabolism,C50H88NO8P,861.6228,7.98,1,True
PC(42:5),Lipid metabolism,Glycerophospholipid metabolism,C50H90NO8P,863.6324,7.96,1,False
PC(44:10),Lipid metabolism,Glycerophospholipid metabolism,C52H84NO8P,881.5905,9.08,1,False
PC(44:9),Lipid metabolism,Glycerophospholipid metabolism,C52H86NO8P,883.5924,9.1,1,False
PC(44:8),Lipid metabolism,Glycerophospholipid metabolism,C52H88NO8P,885.6068,9.13,1,False
PC(44:7),Lipid metabolism,Glycerophospholipid metabolism,C52H90NO8P,887.6242,9.13,1,False
PC(44:6),Lipid metabolism,Glycerophospholipid metabolism,C52H92NO8P,889.6419,9.13,1,False
PAF C16:0,Lipid metabolism,Glycerophospholipid metabolism,C26H54NO7P,523.3622,9.05,1,False
Lyso-PAF C16,Lipid metabolism,Glycerophospholipid metabolism,C24H52NO6P,481.3531,10.46,1,True
C-PAF/methylCarbamyl-PAF C-16,Lipid metabolism,Glycerophospholipid metabolism,C26H55N2O7P,538.383,9.92,1,True
Lyso-PAF C18,Lipid metabolism,Glycerophospholipid metabolism,C26H56NO6P,509.3825,10.32,1,False
1-AcyPAF,Lipid metabolism,Glycerophospholipid metabolism,C26H52NO8P,537.335,8.16,1,False
Sphingosine,Lipid metabolism,Glycerophospholipid metabolism,C18H37NO2,299.2818,9.83,1,False
Sphingosine 1-phosphate,Lipid metabolism,Glycerophospholipid metabolism,C18H38NO5P,379.2491,11.18,1,True
Sphingomyelin,Lipid metabolism,Glycerophospholipid metabolism,C41H83N2O6P,730.5977,9.31,1,False
SM(d30:1),Lipid metabolism,Glycerophospholipid metabolism,C35H71N2O6P,646.5055,9.61,1,True
SM(d32:1),Lipid metabolism,Glycerophospholipid metabolism,C37H75N2O6P,674.5373,9.5,1,False
SM(d32:0),Lipid metabolism,Glycerophospholipid metabolism,C37H77N2O6P,676.5446,9.51,1,False
SM(d34:1),Lipid metabolism,Glycerophospholipid metabolism,C39H79N2O6P,702.5686,9.41,1,False
SM(d34:0),Lipid metabolism,Glycerophospholipid metabolism,C39H82N2O6P,705.5825,9.35,1,False
SM(d36:2),Lipid metabolism,Glycerophospholipid metabolism,C41H81N2O6P,728.584,9.31,1,True
SM(d36:1),Lipid metabolism,Glycerophospholipid metabolism,C41H84N2O6P,731.6021,9.29,1,False
SM(d36:0),Lipid metabolism,Glycerophospholipid metabolism,C41H85N2O6P,732.6086,9.21,1,False
SM(d38:3),Lipid metabolism,Glycerophospholipid metabolism,C43H83N2O6P,754.5986,9.19,1,False
SM(d38:1),Lipid metabolism,Glycerophospholipid metabolism,C43H87N2O6P,758.6269,9.18,1,False
SM(d38:0),Lipid metabolism,Glycerophospholipid metabolism,C43H89N2O6P,760.636,9.18,1,False
SM(d40:3),Lipid metabolism,Glycerophospholipid metabolism,C45H85N2O6P,780.6147,9.17,1,False
SM(d40:2),Lipid metabolism,Glycerophospholipid metabolism,C45H89N2O6P,784.6466,9.15,1,False
SM(d40:1),Lipid metabolism,Glycerophospholipid metabolism,C45H91N2O6P,786.6568,9.16,1,False
SM(d40:0),Lipid metabolism,Glycerophospholipid metabolism,C45H93N2O6P,788.6677,9.13,1,False
SM(d41:1),Lipid metabolism,Glycerophospholipid metabolism,C46H93N2O6P,800.6711,9.15,2,False
SM(d42:2),Lipid metabolism,Glycerophospholipid metabolism,C47H93N2O6P,812.6765,9.13,1,False
SM(d42:1),Lipid metabolism,Glycerophospholipid metabolism,C47H95N2O6P,814.6855,9.13,1,False
SM(d42:0),Lipid metabolism,Glycerophospholipid metabolism,C47H96N2O6P,815.6917,9.12,1,False
SM(d43:2),Lipid metabolism,Glycerophospholipid metabolism,C48H96N2O6P,827.693,9.13,2,False
SM(d42:1-OH),Lipid metabolism,Glycerophospholipid metabolism,C47H93N2O7P,828.6745,9.16,2,False
Diethanolamine,Lipid metabolism,Glycerophospholipid metabolism,C4H11NO2,105.0786,13.67,1,False
O-Phosphoethanloamine,Lipid metabolism,Glycerophospholipid metabolism,C2H8NO4P,141.0274,10.36,1,False
LysoPE(18:2),Lipid metabolism,Glycerophospholipid metabolism,C23H44NO7P,477.2853,7.29,1,False
LysoPE(18:0),Lipid metabolism,Glycerophospholipid metabolism,C23H48NO7P,481.3161,7.21,1,True
PE(P-38:6),Lipid metabolism,Glycerophospholipid metabolism,C43H74NO7P,747.521,4.83,2,False
PE(36:2),Lipid metabolism,Glycerophospholipid metabolism,C41H78NO8P,743.5464,5.3,1,False
PE(36:4),Lipid metabolism,Glycerophospholipid metabolism,C41H74NO8P,739.5153,5.16,1,False
PE(38:4),Lipid metabolism,Glycerophospholipid metabolism,C43H78NO8P,767.547,5.03,1,False
PE(38:2),Lipid metabolism,Glycerophospholipid metabolism,C39H74NO8P,715.5156,5.41,1,False
PE(36:3),Lipid metabolism,Glycerophospholipid metabolism,C41H76NO8P,741.5303,5.26,1,False
PE(38:6),Lipid metabolism,Glycerophospholipid metabolism,C43H74NO8P,763.5155,5.07,1,False
PE(O-38:5),Lipid metabolism,Glycerophospholipid metabolism,C43H78NO7P,751.5517,4.85,2,False
PE(16:0),Lipid metabolism,Glycerophospholipid metabolism,C21H44NO7P,453.2861,7.33,1,False
PE(O-36:4),Lipid metabolism,Glycerophospholipid metabolism,C41H76NO7P,725.5352,5.11,2,False
PE(P-40:6),Lipid metabolism,Glycerophospholipid metabolism,C45H78NO7P,775.552,4.72,2,False
PE(38:3),Lipid metabolism,Glycerophospholipid metabolism,C43H80NO8P,769.5554,5.06,1,False
PE(P-36:2),Lipid metabolism,Glycerophospholipid metabolism,C41H78NO7P,727.5507,5.12,2,False
PE(P-38:5),Lipid metabolism,Glycerophospholipid metabolism,C43H76NO7P,749.5362,4.82,2,False
PE(P-40:5),Lipid metabolism,Glycerophospholipid metabolism,C45H80NO7P,777.566,4.8,2,False
PE(P-40:7),Lipid metabolism,Glycerophospholipid metabolism,C45H76NO7P,773.5368,4.68,2,False
PI(34:2),Lipid metabolism,Glycerophospholipid metabolism,C43H79O13P,834.5237,2.08,1,False
PI(34:1),Lipid metabolism,Glycerophospholipid metabolism,C43H81O13P,836.5377,2.09,1,False
PI(36:4),Lipid metabolism,Glycerophospholipid metabolism,C45H79O13P,858.5235,2.08,1,False
PI(36:3),Lipid metabolism,Glycerophospholipid metabolism,C45H81O13P,860.5378,2.08,1,False
PI(36:2),Lipid metabolism,Glycerophospholipid metabolism,C45H83O13P,862.5551,2.08,1,False
PI(36:5),Lipid metabolism,Glycerophospholipid metabolism,C47H81O13P,884.5387,2.08,1,True
PI(38:4),Lipid metabolism,Glycerophospholipid metabolism,C47H83O13P,886.5559,2.08,1,False
PI(38:3),Lipid metabolism,Glycerophospholipid metabolism,C47H85O13P,888.5648,2.08,1,False
PI(38:2),Lipid metabolism,Glycerophospholipid metabolism,C47H87O13P,890.5758,2.1,1,False
PI(40:6),Lipid metabolism,Glycerophospholipid metabolism,C49H83O13P,910.5541,2.09,1,False
PI(40:7),Lipid metabolism,Glycerophospholipid metabolism,C46H76NO10P,833.5241,2.08,1,False
PI(40:5),Lipid metabolism,Glycerophospholipid metabolism,C46H80NO10P,837.5411,2.09,1,False
PI(42:9),Lipid metabolism,Glycerophospholipid metabolism,C48H76NO10P,857.5207,2.08,1,False
LPA(18:2),Lipid metabolism,Glycerophospholipid metabolism,C21H39O7P,434.2429,7.83,1,False
2-Arachidonoylglycerol,Lipid metabolism,"Glycerolipids, Monoacylglycerols",C23H38O4,378.2875,1.47,1,True
1-Hexadecy2-Arachidonoyglycerol,Lipid metabolism,Glycerophospholipid metabolism/acylglycerol,C39H70O4,602.5264,1.39,1,False
Corticosterone,Lipid metabolism,Steroid hormone biosynthesis,C21H30O4,346.2141,1.62,1,False
Cortisol,Lipid metabolism,Steroid hormone biosynthesis,C21H30O5,362.2102,1.64,1,False
Cholesteryl Acetate,Lipid metabolism,Cholesterol metabolism,C29H48O2,428.3664,1.34,1,False
Mevalonic Acid,Lipid metabolism,Terpenoid backbone biosynthesis,C6H12O4,148.0736,2.33,1,False
"Anandamide (18:2,N-6)",Lipid metabolism,N-acylethanolamine (NAE) metabolism,C20H37NO2,323.2821,1.56,1,False
Oleoyl Ethanolamide,Lipid metabolism,N-acylethanolamine (NAE) metabolism,C20H39NO2,325.2984,1.55,1,True
Palmitoyl Ethanolamide,Lipid metabolism,N-acylethanolamine (NAE) metabolism,C18H37NO2,299.2818,1.58,1,False
Adrenoyl Ethanolamide,Lipid metabolism,N-acylethanolamine (NAE) metabolism,C24H41NO2,375.3073,1.44,1,False
N-Oleoyl Dopamine (OLDA),Lipid metabolism,"Fatty amide metabolism, endocannabinoid",C26H43NO3,417.3233,1.43,1,False
Protoporphyrin,Porphyrin metabolism,Porphyrin and chlorophyll metabolism,C34H34N4O4,562.2488,2.26,1,True
Biliverdin,Porphyrin metabolism,Porphyrin metabolism,C33H34N4O6,582.2477,2.92,1,False
Bilirubin,Porphyrin metabolism,Porphyrin metabolism,C33H36N4O6,584.2632,1.42,1,False
Glyoxylic Acid,Glycylate and dicarboxylate metabolism,Glyoxylate and dicarboxylate metabolism,C2H2O3,74.0004,2.2,1,False
Glycolic Acid,Glycylate and dicarboxylate metabolism,Glyoxylate and dicarboxylate metabolism,C2H4O3,76.0161,3.16,1,False
Oxalic Acid,Glycylate and dicarboxylate metabolism,Glyoxylic or Ascorbic acid metabolism,C2H2O4,89.9957,8.3,1,False
Glyceric Acid,Glycylate and dicarboxylate metabolism,Glyoxylate and dicarboxylate metabolism,C3H6O4,106.027,3.19,1,False
Meso-Tartaric Acid,Glycylate and dicarboxylate metabolism,Glycylate and dicarboxylate metabolism,C4H6O6,150.017,7.83,1,True
Tartaric Acid,Glycylate and dicarboxylate metabolism,Glyoxylate and dicarboxylate metabolism,C4H6O6,150.017,7.83,1,True
Acetoacetic Acid,Keto-Acids and Derivatives,Ketone bodies,C4H6O3,102.0319,2.09,1,False
3-Hydroxybutanoic Acid,Keto-Acids and Derivatives,Ketone bodies,C4H8O3,104.0478,3.44,1,False
Butyric Acid,Butyrate metabolism,Butyrate metabolism,C4H8O2,88.0523,2.0,1,False
Paraxanthine,Caffeine metabolism,Caffiene metabolism,C7H8N4O2,180.0648,1.63,1,False
Caffeine,Caffeine metabolism,Caffeine metabolism,C8H10N4O2,194.081,1.96,1,True
Theobromine,Caffeine metabolism,Cacao alkaloid,C7H8N4O2,180.0641,1.95,1,False
Gluconic Acid,,,C6H12O7,196.0592,5.0,1,False
Quinic Acid,,,C7H12O6,192.0642,3.89,1,False
115.027@1.04_ANPNEG,,,,115.027,1.04,1,True
197.0635@3.33,Amino acids,Tyrosine metabolism,C9H11NO4,197.0635,3.33,4,True
