pathway,pval,padj,log2err,ES,NES,size,timepoint,info,sample,celltype
GOBP_RIBONUCLEOPROTEIN_COMPLEX_SUBUNIT_ORGANIZATION,2.25553e-09,3.784769e-07,0.774939,-0.5290369,-2.051694,191,Immediately Post-flight,C5,Skin,skin
GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS,0.0001706928,0.005810545,0.5188481,-0.5467693,-1.841966,70,Immediately Post-flight,C5,Skin,skin
GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY,1.171154e-05,0.0006886383,0.5933255,-0.8323967,-2.107304,18,Immediately Post-flight,C5,Skin,skin
GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS,5.468845e-07,4.910171e-05,0.6594444,-0.6319558,-2.141413,72,Immediately Post-flight,C5,Skin,skin
GOBP_RIBOSOME_ASSEMBLY,2.28148e-05,0.001168096,0.5756103,-0.6041783,-1.972685,59,Immediately Post-flight,C5,Skin,skin
GOBP_RIBOSOME_BIOGENESIS,3.717889e-06,0.0002557157,0.6272567,-0.403561,-1.632464,297,Immediately Post-flight,C5,Skin,skin
GOBP_RNA_CATABOLIC_PROCESS,6.410058e-36,1.922248e-32,1.5565442,-0.634353,-2.637658,408,Immediately Post-flight,C5,Skin,skin
GOBP_RRNA_METABOLIC_PROCESS,7.191401e-05,0.002970465,0.5384341,-0.3994172,-1.589743,231,Immediately Post-flight,C5,Skin,skin
GOBP_STRIATED_MUSCLE_CELL_DIFFERENTIATION,0.001375355,0.02764352,0.4550599,-0.3576052,-1.428453,251,Immediately Post-flight,C5,Skin,skin
GOBP_TRANSLATIONAL_ELONGATION,0.0005898387,0.01501535,0.4772708,-0.4361026,-1.624836,130,Immediately Post-flight,C5,Skin,skin
GOBP_TRANSLATIONAL_INITIATION,5.919961e-32,9.862656e-29,1.467524,-0.7456607,-2.890532,188,Immediately Post-flight,C5,Skin,skin
GOBP_VIRAL_GENE_EXPRESSION,3.989089e-31,5.437491e-28,1.4462029,-0.7393873,-2.867627,195,Immediately Post-flight,C5,Skin,skin
GOCC_ANCHORING_JUNCTION,6.094202e-30,7.028958e-27,1.4245627,-0.4908355,-2.163609,817,Immediately Post-flight,C5,Skin,skin
GOCC_CELL_SUBSTRATE_JUNCTION,3.061307e-37,1.147531e-33,1.5894558,-0.6303405,-2.636301,418,Immediately Post-flight,C5,Skin,skin
GOCC_CYTOCHROME_COMPLEX,0.0001481124,0.005300231,0.5188481,-0.7066103,-1.988818,28,Immediately Post-flight,C5,Skin,skin
GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,3.33919e-17,1.137905e-14,1.06721,-0.8538032,-2.748431,54,Immediately Post-flight,C5,Skin,skin
GOCC_CYTOSOLIC_RIBOSOME,1.332519e-27,8.32491e-25,1.3651796,-0.8266163,-2.955519,103,Immediately Post-flight,C5,Skin,skin
GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT,2.270283e-11,5.005975e-09,0.8634154,-0.805299,-2.460369,45,Immediately Post-flight,C5,Skin,skin
GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX,6.266517e-11,1.287125e-08,0.8390889,-0.6104343,-2.267172,126,Immediately Post-flight,C5,Skin,skin
GOCC_LARGE_RIBOSOMAL_SUBUNIT,1.194212e-17,4.367322e-15,1.0864405,-0.7321372,-2.659193,111,Immediately Post-flight,C5,Skin,skin
GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX,1.536897e-10,2.992758e-08,0.8266573,-0.5060259,-2.023487,248,Immediately Post-flight,C5,Skin,skin
GOCC_NUCLEOLUS,2.27177e-09,3.784769e-07,0.774939,-0.3507736,-1.558719,924,Immediately Post-flight,C5,Skin,skin
GOCC_POLYSOMAL_RIBOSOME,4.934998e-11,1.027713e-08,0.8513391,-0.8654195,-2.49074,31,Immediately Post-flight,C5,Skin,skin
GOCC_POLYSOME,1.327291e-13,3.671611e-11,0.9436322,-0.7734414,-2.610719,67,Immediately Post-flight,C5,Skin,skin
GOCC_RESPIRASOME,1.956381e-08,2.691191e-06,0.733762,-0.628895,-2.189101,87,Immediately Post-flight,C5,Skin,skin
GOCC_RESPIRATORY_CHAIN_COMPLEX,2.489723e-07,2.488727e-05,0.6749629,-0.6474683,-2.209363,73,Immediately Post-flight,C5,Skin,skin
GOCC_RESPIRATORY_CHAIN_COMPLEX_IV,0.001429971,0.02839866,0.4550599,-0.730166,-1.848496,18,Immediately Post-flight,C5,Skin,skin
GOCC_RIBONUCLEOPROTEIN_COMPLEX,3.395863e-34,8.486261e-31,1.5229216,-0.5457927,-2.365328,657,Immediately Post-flight,C5,Skin,skin
GOCC_RIBOSOMAL_SUBUNIT,2.660258e-29,2.421316e-26,1.4025887,-0.7366565,-2.84165,182,Immediately Post-flight,C5,Skin,skin
GOCC_RIBOSOME,8.924394e-32,1.338124e-28,1.467524,-0.7239978,-2.862443,216,Immediately Post-flight,C5,Skin,skin
GOCC_SMALL_RIBOSOMAL_SUBUNIT,7.590882e-12,1.778401e-09,0.8753251,-0.7364845,-2.513114,73,Immediately Post-flight,C5,Skin,skin
GOMF_MRNA_5_UTR_BINDING,9.822499e-05,0.003795839,0.5384341,-0.7460612,-2.038217,25,Immediately Post-flight,C5,Skin,skin
GOMF_MRNA_BINDING,3.0841e-14,8.892884e-12,0.9653278,-0.5402323,-2.180588,281,Immediately Post-flight,C5,Skin,skin
GOMF_RRNA_BINDING,3.897981e-07,3.652896e-05,0.6749629,-0.670704,-2.215686,61,Immediately Post-flight,C5,Skin,skin
GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME,9.486415e-30,9.482621e-27,1.4172759,-0.7687382,-2.917302,156,Immediately Post-flight,C5,Skin,skin
GOMF_STRUCTURAL_MOLECULE_ACTIVITY,2.710395e-27,1.625587e-24,1.3575741,-0.5113018,-2.219092,662,Immediately Post-flight,C5,Skin,skin
GOMF_TRANSLATION_REGULATOR_ACTIVITY,1.740114e-07,1.811894e-05,0.6901325,-0.53862,-1.998459,129,Immediately Post-flight,C5,Skin,skin
HP_ABNORMALITY_OF_NEUTROPHILS,3.579306e-09,5.83349e-07,0.774939,-0.4815428,-1.924129,249,Immediately Post-flight,C5,Skin,skin
HP_ABNORMALITY_OF_THE_CERVICAL_SPINE,9.639182e-05,0.003752788,0.5384341,-0.3586975,-1.483955,362,Immediately Post-flight,C5,Skin,skin
HP_ABNORMALITY_OF_THE_HAIRLINE,0.003133611,0.04909651,0.4317077,-0.3603756,-1.415958,211,Immediately Post-flight,C5,Skin,skin
HP_ABNORMALITY_OF_THE_MUSCULATURE_OF_THE_HAND,1.546225e-07,1.656007e-05,0.6901325,-0.6075711,-2.108697,89,Immediately Post-flight,C5,Skin,skin
HP_ABNORMALITY_OF_THE_MUSCULATURE_OF_THE_UPPER_LIMBS,5.640387e-07,5.034045e-05,0.6594444,-0.4730376,-1.851163,202,Immediately Post-flight,C5,Skin,skin
HP_ABNORMALITY_OF_THE_THENAR_EMINENCE,7.940123e-08,9.524337e-06,0.7049757,-0.8106489,-2.298483,29,Immediately Post-flight,C5,Skin,skin
HP_ABNORMAL_AORTIC_MORPHOLOGY,1.647485e-09,2.872371e-07,0.7881868,-0.4571889,-1.867008,315,Immediately Post-flight,C5,Skin,skin
HP_ABNORMAL_CARDIAC_ATRIUM_MORPHOLOGY,0.0005445374,0.01412594,0.4772708,-0.3312344,-1.385762,416,Immediately Post-flight,C5,Skin,skin
HP_ABNORMAL_CARDIAC_VENTRICLE_MORPHOLOGY,2.32876e-05,0.001187668,0.5756103,-0.3488502,-1.476225,528,Immediately Post-flight,C5,Skin,skin
HP_ABNORMAL_ENZYME_COENZYME_ACTIVITY,0.0003478819,0.01001179,0.4984931,-0.3304477,-1.387595,432,Immediately Post-flight,C5,Skin,skin
HP_ABNORMAL_ERYTHROCYTE_ENZYME_LEVEL,3.915921e-06,0.0002656802,0.6105269,-0.7606083,-2.1566,29,Immediately Post-flight,C5,Skin,skin
HP_ABNORMAL_ERYTHROCYTE_MORPHOLOGY,0.0001919736,0.006271138,0.5188481,-0.3256497,-1.391179,560,Immediately Post-flight,C5,Skin,skin
HP_ABNORMAL_HAIR_PATTERN,0.0007437273,0.01776643,0.4772708,-0.3666712,-1.48365,282,Immediately Post-flight,C5,Skin,skin
HP_ABNORMAL_HAND_MORPHOLOGY,0.00117447,0.02466387,0.4550599,-0.3325279,-1.37398,367,Immediately Post-flight,C5,Skin,skin
HP_ABNORMAL_HEMOGLOBIN,1.375604e-07,1.48387e-05,0.6901325,-0.7007252,-2.238933,53,Immediately Post-flight,C5,Skin,skin
HP_ABNORMAL_LARGE_INTESTINE_MORPHOLOGY,7.919718e-07,6.785615e-05,0.6594444,-0.4566636,-1.818225,233,Immediately Post-flight,C5,Skin,skin
HP_ABNORMAL_LOCALIZATION_OF_KIDNEY,0.00291089,0.0464318,0.4317077,-0.3890081,-1.478425,163,Immediately Post-flight,C5,Skin,skin
HP_ABNORMAL_MEAN_CORPUSCULAR_VOLUME,4.249165e-05,0.001930666,0.5573322,-0.630323,-1.980423,49,Immediately Post-flight,C5,Skin,skin
HP_ABNORMAL_MORPHOLOGY_OF_THE_GREAT_VESSELS,3.969868e-05,0.001837167,0.5573322,-0.3340381,-1.431419,565,Immediately Post-flight,C5,Skin,skin
HP_ABNORMAL_MYELOID_LEUKOCYTE_MORPHOLOGY,6.734868e-10,1.231495e-07,0.8012156,-0.465275,-1.902069,312,Immediately Post-flight,C5,Skin,skin
HP_ABNORMAL_NEUTROPHIL_COUNT,3.516694e-05,0.001652957,0.5573322,-0.4462635,-1.716598,174,Immediately Post-flight,C5,Skin,skin
HP_ABNORMAL_NUMBER_OF_ERYTHROID_PRECURSORS,2.326537e-06,0.0001729393,0.6272567,-0.7183321,-2.142166,38,Immediately Post-flight,C5,Skin,skin
HP_ABNORMAL_RETICULOCYTE_MORPHOLOGY,2.411713e-06,0.0001767967,0.6272567,-0.6102166,-2.067749,72,Immediately Post-flight,C5,Skin,skin
HP_ABNORMAL_SCAPULA_MORPHOLOGY,6.001004e-05,0.00257083,0.5573322,-0.4654705,-1.744672,145,Immediately Post-flight,C5,Skin,skin
HP_ABNORMAL_SOFT_PALATE_MORPHOLOGY,0.002418966,0.04054759,0.4317077,-0.3753602,-1.469649,204,Immediately Post-flight,C5,Skin,skin
HP_ABNORMAL_SYSTEMIC_ARTERIAL_MORPHOLOGY,2.257126e-08,3.048951e-06,0.733762,-0.4112749,-1.722812,420,Immediately Post-flight,C5,Skin,skin
HP_ABNORMAL_THUMB_MORPHOLOGY,0.0004689436,0.01258095,0.4984931,-0.3486429,-1.436697,339,Immediately Post-flight,C5,Skin,skin
HP_ABNORMAL_VENTRICULAR_SEPTUM_MORPHOLOGY,6.390596e-05,0.002699172,0.5384341,-0.3563907,-1.481313,389,Immediately Post-flight,C5,Skin,skin
HP_ABSENT_THUMB,3.024184e-05,0.001472228,0.5756103,-0.6533806,-1.995097,44,Immediately Post-flight,C5,Skin,skin
HP_ACUTE_LEUKEMIA,5.58322e-05,0.002447801,0.5573322,-0.5122134,-1.831389,103,Immediately Post-flight,C5,Skin,skin
HP_ACUTE_MYELOID_LEUKEMIA,4.511697e-06,0.0002980105,0.6105269,-0.6229731,-2.102819,67,Immediately Post-flight,C5,Skin,skin
HP_ADENOCARCINOMA_OF_THE_INTESTINES,5.123347e-06,0.0003325518,0.6105269,-0.7192692,-2.093261,35,Immediately Post-flight,C5,Skin,skin
HP_ADENOCARCINOMA_OF_THE_LARGE_INTESTINE,7.489611e-06,0.0004565009,0.6105269,-0.7504568,-2.14348,30,Immediately Post-flight,C5,Skin,skin
HP_ANEMIA_OF_INADEQUATE_PRODUCTION,0.0006941454,0.01697542,0.4772708,-0.4149728,-1.577104,163,Immediately Post-flight,C5,Skin,skin
HP_APLASIA_HYPOPLASIA_OF_THE_EAR,0.001195289,0.02496123,0.4550599,-0.4160819,-1.557131,142,Immediately Post-flight,C5,Skin,skin
HP_APLASIA_HYPOPLASIA_OF_THE_THUMB,0.0003176147,0.009301396,0.4984931,-0.46145,-1.704615,124,Immediately Post-flight,C5,Skin,skin
HP_APLASIA_OF_THE_FINGERS,2.173959e-06,0.0001638007,0.6272567,-0.622015,-2.087237,66,Immediately Post-flight,C5,Skin,skin
HP_COARCTATION_OF_AORTA,4.497787e-05,0.00203132,0.5573322,-0.5028983,-1.831637,112,Immediately Post-flight,C5,Skin,skin
HP_DEVELOPMENTAL_CATARACT,0.0002474738,0.007588183,0.4984931,-0.4779339,-1.74941,116,Immediately Post-flight,C5,Skin,skin
HP_DEVELOPMENTAL_GLAUCOMA,9.050001e-05,0.003561567,0.5384341,-0.5823336,-1.939862,64,Immediately Post-flight,C5,Skin,skin
HP_DUPLICATION_OF_THUMB_PHALANX,4.065056e-06,0.0002745561,0.6105269,-0.6667842,-2.103034,51,Immediately Post-flight,C5,Skin,skin
HP_ELEVATED_RED_CELL_ADENOSINE_DEAMINASE_LEVEL,8.843198e-08,1.027867e-05,0.7049757,-0.8575295,-2.275392,22,Immediately Post-flight,C5,Skin,skin
HP_ERYTHROID_HYPOPLASIA,1.169025e-07,1.298398e-05,0.7049757,-0.8414612,-2.298847,25,Immediately Post-flight,C5,Skin,skin
HP_FEEDING_DIFFICULTIES_IN_INFANCY,0.002150326,0.03770994,0.4317077,-0.3045784,-1.29164,503,Immediately Post-flight,C5,Skin,skin
HP_GASTROINTESTINAL_CARCINOMA,8.889622e-05,0.003507658,0.5384341,-0.5813725,-1.947625,65,Immediately Post-flight,C5,Skin,skin
HP_HORSESHOE_KIDNEY,3.339631e-06,0.0002339926,0.6272567,-0.5905004,-2.034091,82,Immediately Post-flight,C5,Skin,skin
HP_HYDROPS_FETALIS,0.0001198452,0.004458954,0.5384341,-0.5185585,-1.818696,94,Immediately Post-flight,C5,Skin,skin
HP_INCREASED_MEAN_CORPUSCULAR_VOLUME,5.326008e-05,0.002362667,0.5573322,-0.6788228,-2.027772,39,Immediately Post-flight,C5,Skin,skin
HP_LETHARGY,0.0016459,0.03143774,0.4550599,-0.3868824,-1.492218,184,Immediately Post-flight,C5,Skin,skin
HP_LEUKEMIA,0.0002185024,0.006839718,0.5188481,-0.4482167,-1.676901,143,Immediately Post-flight,C5,Skin,skin
HP_MACROCYTIC_ANEMIA,1.890227e-06,0.0001490425,0.6435518,-0.6471293,-2.112923,59,Immediately Post-flight,C5,Skin,skin
HP_MALIGNANT_GENITOURINARY_TRACT_TUMOR,1.062964e-06,8.903958e-05,0.6435518,-0.8073029,-2.226581,26,Immediately Post-flight,C5,Skin,skin
HP_MYELODYSPLASIA,0.0001704172,0.005810545,0.5188481,-0.5044722,-1.79751,101,Immediately Post-flight,C5,Skin,skin
HP_NEOPLASM_BY_HISTOLOGY,0.0001096895,0.004174326,0.5384341,-0.3708941,-1.514071,316,Immediately Post-flight,C5,Skin,skin
HP_NEOPLASM_OF_THE_COLON,0.0001309453,0.004777113,0.5188481,-0.5281772,-1.813136,78,Immediately Post-flight,C5,Skin,skin
HP_NEOPLASM_OF_THE_GASTROINTESTINAL_TRACT,0.002355476,0.03986232,0.4317077,-0.3571256,-1.42747,255,Immediately Post-flight,C5,Skin,skin
HP_NEOPLASM_OF_THE_GENITOURINARY_TRACT,0.0004349413,0.01189941,0.4984931,-0.4029223,-1.58253,210,Immediately Post-flight,C5,Skin,skin
HP_NEOPLASM_OF_THE_LARGE_INTESTINE,5.974419e-05,0.00257083,0.5573322,-0.5144243,-1.854994,105,Immediately Post-flight,C5,Skin,skin
HP_NEOPLASM_OF_THE_SKELETAL_SYSTEM,6.668038e-05,0.002792753,0.5384341,-0.5311701,-1.854949,93,Immediately Post-flight,C5,Skin,skin
HP_NONIMMUNE_HYDROPS_FETALIS,5.185398e-05,0.002320891,0.5573322,-0.655538,-1.965428,40,Immediately Post-flight,C5,Skin,skin
HP_NORMOCHROMIC_ANEMIA,3.72484e-08,4.773526e-06,0.7195128,-0.8103777,-2.332326,31,Immediately Post-flight,C5,Skin,skin
HP_OCULAR_ANTERIOR_SEGMENT_DYSGENESIS,0.0008685225,0.02006568,0.4772708,-0.3540222,-1.432038,274,Immediately Post-flight,C5,Skin,skin
HP_OSTEOSARCOMA,2.961648e-08,3.861474e-06,0.733762,-0.8055526,-2.33709,33,Immediately Post-flight,C5,Skin,skin
HP_PALLOR,0.000175757,0.005960395,0.5188481,-0.4609726,-1.718707,136,Immediately Post-flight,C5,Skin,skin
HP_PARTIAL_DUPLICATION_OF_THE_PHALANX_OF_HAND,2.008547e-05,0.001056707,0.5756103,-0.6963208,-2.080042,39,Immediately Post-flight,C5,Skin,skin
HP_PERSISTENCE_OF_HEMOGLOBIN_F,1.026968e-06,8.650763e-05,0.6435518,-0.7793972,-2.209873,29,Immediately Post-flight,C5,Skin,skin
HP_POSITIONAL_FOOT_DEFORMITY,8.304222e-05,0.00332036,0.5384341,-0.3636505,-1.503334,360,Immediately Post-flight,C5,Skin,skin
HP_PURE_RED_CELL_APLASIA,4.158535e-07,3.802017e-05,0.6749629,-0.8281279,-2.262421,25,Immediately Post-flight,C5,Skin,skin
HP_REDUCED_CONSCIOUSNESS_CONFUSION,0.001342936,0.02713745,0.4550599,-0.3355484,-1.381749,351,Immediately Post-flight,C5,Skin,skin
HP_RETICULOCYTOPENIA,1.851765e-09,3.191422e-07,0.7881868,-0.8321636,-2.414295,33,Immediately Post-flight,C5,Skin,skin
HP_SARCOMA,2.351485e-05,0.001191154,0.5756103,-0.4534704,-1.725291,164,Immediately Post-flight,C5,Skin,skin
HP_SHORT_THUMB,0.0001193315,0.004450888,0.5384341,-0.5187703,-1.839277,96,Immediately Post-flight,C5,Skin,skin
HP_SMALL_FOR_GESTATIONAL_AGE,0.002068075,0.03687125,0.4317077,-0.3623126,-1.425495,213,Immediately Post-flight,C5,Skin,skin
HP_SPRENGEL_ANOMALY,2.411894e-08,3.200349e-06,0.733762,-0.7278855,-2.295747,51,Immediately Post-flight,C5,Skin,skin
HP_THROMBOCYTOSIS,3.575841e-06,0.0002476898,0.6272567,-0.6800509,-2.143334,50,Immediately Post-flight,C5,Skin,skin
HP_WEBBED_NECK,7.187919e-06,0.0004472019,0.6105269,-0.5417666,-1.965625,109,Immediately Post-flight,C5,Skin,skin
