pathway,pval,padj,log2err,ES,NES,size,celltype,sample,info
GOBP_MUSCLE_CELL_DIFFERENTIATION,2.996582e-06,0.0001651535,0.6272567,0.5104109,1.729446,303,GeneLab Mice,GeneLab Mice,C5
GOBP_MUSCLE_STRUCTURE_DEVELOPMENT,3.319364e-08,3.455596e-06,0.7195128,0.4899624,1.71434,527,GeneLab Mice,GeneLab Mice,C5
GOBP_MUSCLE_TISSUE_DEVELOPMENT,1.22553e-07,1.068073e-05,0.6901325,0.5281294,1.795376,320,GeneLab Mice,GeneLab Mice,C5
GOBP_MYOTUBE_DIFFERENTIATION,0.001751829,0.02498732,0.4550599,0.5375239,1.603861,94,GeneLab Mice,GeneLab Mice,C5
GOBP_NCRNA_METABOLIC_PROCESS,2.161918e-20,2.493024e-17,1.16907,-0.5524068,-2.163697,455,GeneLab Mice,GeneLab Mice,C5
GOBP_NCRNA_PROCESSING,9.332771e-20,8.229857e-17,1.1512205,-0.5877692,-2.260861,375,GeneLab Mice,GeneLab Mice,C5
GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION,2.653143e-07,2.050168e-05,0.6749629,-0.3394592,-1.404205,1064,GeneLab Mice,GeneLab Mice,C5
GOBP_NEUROGENESIS,4.134726e-14,1.441481e-11,0.9653278,0.4446833,1.614639,1485,GeneLab Mice,GeneLab Mice,C5
GOBP_NEURON_DEVELOPMENT,4.051617e-12,9.796417e-10,0.887075,0.4611542,1.662291,1041,GeneLab Mice,GeneLab Mice,C5
GOBP_NEURON_DIFFERENTIATION,1.416734e-14,5.74007e-12,0.9865463,0.4660795,1.685345,1253,GeneLab Mice,GeneLab Mice,C5
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS,6.384102e-17,3.987669e-14,1.0574636,-0.6701933,-2.454946,199,GeneLab Mice,GeneLab Mice,C5
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY,3.688633e-17,2.404187e-14,1.06721,-0.7584743,-2.574437,117,GeneLab Mice,GeneLab Mice,C5
GOBP_ORGANIC_CYCLIC_COMPOUND_CATABOLIC_PROCESS,3.718307e-13,1.161274e-10,0.9325952,-0.4642227,-1.854422,588,GeneLab Mice,GeneLab Mice,C5
GOBP_ORGAN_GROWTH,0.001055001,0.01745284,0.4550599,0.524523,1.64147,137,GeneLab Mice,GeneLab Mice,C5
GOBP_PATTERN_SPECIFICATION_PROCESS,0.002180074,0.02907231,0.4317077,0.4237594,1.453768,370,GeneLab Mice,GeneLab Mice,C5
GOBP_PEPTIDE_BIOSYNTHETIC_PROCESS,1.083922e-19,9.027266e-17,1.1512205,-0.5098141,-2.034453,621,GeneLab Mice,GeneLab Mice,C5
GOBP_PEPTIDE_METABOLIC_PROCESS,8.437562e-21,1.054062e-17,1.1778933,-0.481604,-1.959988,765,GeneLab Mice,GeneLab Mice,C5
GOBP_PHOSPHOLIPID_METABOLIC_PROCESS,0.001981235,0.02724835,0.4317077,0.4191499,1.444036,390,GeneLab Mice,GeneLab Mice,C5
GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION,1.103465e-07,9.73061e-06,0.7049757,0.4448815,1.583395,752,GeneLab Mice,GeneLab Mice,C5
GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS,9.534517e-09,1.125448e-06,0.7477397,0.4288933,1.546584,1126,GeneLab Mice,GeneLab Mice,C5
GOBP_POSITIVE_REGULATION_OF_GTPASE_ACTIVITY,1.836298e-08,2.009339e-06,0.733762,0.5327168,1.826279,366,GeneLab Mice,GeneLab Mice,C5
GOBP_POSTTRANSCRIPTIONAL_REGULATION_OF_GENE_EXPRESSION,6.961456e-09,8.624726e-07,0.7614608,-0.4125891,-1.645309,589,GeneLab Mice,GeneLab Mice,C5
GOBP_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,3.741521e-19,2.95206e-16,1.1330899,-0.7528481,-2.609786,137,GeneLab Mice,GeneLab Mice,C5
GOBP_PROTEIN_LOCALIZATION_TO_MEMBRANE,0.000826095,0.01451816,0.4772708,-0.3284323,-1.310748,619,GeneLab Mice,GeneLab Mice,C5
GOBP_PROTEIN_LOCALIZATION_TO_ORGANELLE,6.262161e-11,1.251681e-08,0.8390889,-0.3826303,-1.574799,945,GeneLab Mice,GeneLab Mice,C5
GOBP_PROTEIN_TARGETING,4.141737e-15,1.881478e-12,0.9969862,-0.5306279,-2.05938,413,GeneLab Mice,GeneLab Mice,C5
GOBP_PROTEIN_TARGETING_TO_MEMBRANE,1.988323e-12,5.419446e-10,0.8986712,-0.6245302,-2.2549,187,GeneLab Mice,GeneLab Mice,C5
GOBP_REGULATION_OF_CARDIAC_CONDUCTION,0.002540175,0.03221638,0.4317077,0.6251891,1.70898,53,GeneLab Mice,GeneLab Mice,C5
GOBP_REGULATION_OF_CELL_JUNCTION_ASSEMBLY,0.001075478,0.01767818,0.4550599,0.4994463,1.617329,180,GeneLab Mice,GeneLab Mice,C5
GOBP_REGULATION_OF_GTPASE_ACTIVITY,5.111892e-09,6.549775e-07,0.7614608,0.5200703,1.803504,439,GeneLab Mice,GeneLab Mice,C5
GOBP_REGULATION_OF_HYDROLASE_ACTIVITY,2.413236e-06,0.0001386085,0.6272567,0.3979536,1.437061,1154,GeneLab Mice,GeneLab Mice,C5
GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL,0.0004262792,0.009038687,0.4984931,0.5566875,1.713718,121,GeneLab Mice,GeneLab Mice,C5
GOBP_REGULATION_OF_SIGNALING_RECEPTOR_ACTIVITY,0.000567184,0.01110007,0.4772708,0.5205072,1.655563,156,GeneLab Mice,GeneLab Mice,C5
GOBP_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION,1.70756e-09,2.585661e-07,0.7881868,0.5689006,1.931106,307,GeneLab Mice,GeneLab Mice,C5
GOBP_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC,0.001933151,0.02690796,0.4550599,0.5888632,1.65738,63,GeneLab Mice,GeneLab Mice,C5
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS,1.547763e-35,7.734172e-32,1.5498781,-0.6629302,-2.578645,424,GeneLab Mice,GeneLab Mice,C5
GOBP_RIBONUCLEOPROTEIN_COMPLEX_SUBUNIT_ORGANIZATION,9.849842e-12,2.307171e-09,0.8753251,-0.6150165,-2.238435,191,GeneLab Mice,GeneLab Mice,C5
GOBP_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY,3.702486e-05,0.00140873,0.5573322,-0.7953411,-2.090226,26,GeneLab Mice,GeneLab Mice,C5
GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS,2.444001e-12,6.427722e-10,0.8986712,-0.7852643,-2.495866,69,GeneLab Mice,GeneLab Mice,C5
GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY,0.001721976,0.02482982,0.4550599,-0.7914188,-1.932584,18,GeneLab Mice,GeneLab Mice,C5
GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS,9.672576e-10,1.518697e-07,0.7881868,-0.7500704,-2.403069,72,GeneLab Mice,GeneLab Mice,C5
GOBP_RIBOSOME_ASSEMBLY,2.419517e-09,3.521454e-07,0.774939,-0.7729344,-2.394409,58,GeneLab Mice,GeneLab Mice,C5
GOBP_RIBOSOME_BIOGENESIS,2.979625e-30,8.933512e-27,1.4318124,-0.7034958,-2.641809,293,GeneLab Mice,GeneLab Mice,C5
GOBP_RNA_CATABOLIC_PROCESS,1.665284e-17,1.188775e-14,1.0768682,-0.5579628,-2.151748,396,GeneLab Mice,GeneLab Mice,C5
GOBP_RRNA_METABOLIC_PROCESS,8.125017e-20,7.612633e-17,1.1512205,-0.6701146,-2.476125,230,GeneLab Mice,GeneLab Mice,C5
GOBP_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION,7.28827e-11,1.383018e-08,0.8390889,0.5329091,1.855961,478,GeneLab Mice,GeneLab Mice,C5
GOBP_STRIATED_MUSCLE_CELL_DIFFERENTIATION,1.041075e-06,6.875221e-05,0.6435518,0.5552646,1.840779,228,GeneLab Mice,GeneLab Mice,C5
GOBP_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC,0.002925265,0.03536504,0.4317077,0.5604417,1.646759,84,GeneLab Mice,GeneLab Mice,C5
GOBP_TRANSLATIONAL_ELONGATION,8.181771e-06,0.0004034636,0.5933255,-0.5459405,-1.875173,129,GeneLab Mice,GeneLab Mice,C5
GOBP_TRANSLATIONAL_INITIATION,1.182217e-23,1.772261e-20,1.2627399,-0.7453922,-2.687197,183,GeneLab Mice,GeneLab Mice,C5
GOBP_VIRAL_GENE_EXPRESSION,1.772311e-14,6.991769e-12,0.9759947,-0.6399948,-2.333481,192,GeneLab Mice,GeneLab Mice,C5
GOCC_ANCHORING_JUNCTION,1.804578e-06,0.0001077786,0.6435518,0.4249821,1.517346,782,GeneLab Mice,GeneLab Mice,C5
GOCC_CHROMATIN,0.0002952977,0.006884614,0.4984931,0.3785488,1.361643,1004,GeneLab Mice,GeneLab Mice,C5
GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,2.742233e-12,6.850249e-10,0.8986712,-0.8407532,-2.561456,52,GeneLab Mice,GeneLab Mice,C5
GOCC_CYTOSOLIC_RIBOSOME,1.353743e-16,7.805372e-14,1.0476265,-0.7853975,-2.61942,98,GeneLab Mice,GeneLab Mice,C5
GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT,2.199837e-06,0.0001278208,0.6272567,-0.7679261,-2.231762,43,GeneLab Mice,GeneLab Mice,C5
GOCC_GOLGI_APPARATUS,0.002445013,0.03151607,0.4317077,0.3419956,1.241725,1491,GeneLab Mice,GeneLab Mice,C5
GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX,0.0007430028,0.0134197,0.4772708,-0.4746757,-1.63083,134,GeneLab Mice,GeneLab Mice,C5
GOCC_LARGE_RIBOSOMAL_SUBUNIT,1.017666e-17,7.627914e-15,1.0864405,-0.7758783,-2.623171,110,GeneLab Mice,GeneLab Mice,C5
GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX,7.108427e-11,1.383018e-08,0.8390889,-0.5424848,-2.016305,255,GeneLab Mice,GeneLab Mice,C5
GOCC_NEURON_SPINE,1.35754e-05,0.0006204539,0.5933255,0.5625376,1.797418,168,GeneLab Mice,GeneLab Mice,C5
GOCC_NEURON_TO_NEURON_SYNAPSE,5.141524e-05,0.001775958,0.5573322,0.4811822,1.637645,326,GeneLab Mice,GeneLab Mice,C5
GOCC_NUCLEOLUS,3.302576e-16,1.833664e-13,1.0376962,-0.4349242,-1.791986,906,GeneLab Mice,GeneLab Mice,C5
GOCC_PLASMA_MEMBRANE_REGION,6.488547e-16,3.262733e-13,1.0276699,0.4788933,1.726628,1125,GeneLab Mice,GeneLab Mice,C5
GOCC_POLYSOMAL_RIBOSOME,1.591733e-05,0.0006956754,0.5756103,-0.7801241,-2.124964,31,GeneLab Mice,GeneLab Mice,C5
GOCC_POLYSOME,4.146826e-05,0.001530731,0.5573322,-0.6281436,-2.022971,65,GeneLab Mice,GeneLab Mice,C5
GOCC_RIBONUCLEOPROTEIN_COMPLEX,3.5932e-39,5.386567e-35,1.6280717,-0.6060746,-2.439501,652,GeneLab Mice,GeneLab Mice,C5
GOCC_RIBOSOMAL_SUBUNIT,1.700898e-24,2.833128e-21,1.279034,-0.7526572,-2.708795,179,GeneLab Mice,GeneLab Mice,C5
GOCC_RIBOSOME,1.338366e-24,2.50793e-21,1.2871037,-0.7166321,-2.633775,213,GeneLab Mice,GeneLab Mice,C5
GOCC_SMALL_RIBOSOMAL_SUBUNIT,3.993618e-09,5.393544e-07,0.7614608,-0.7231436,-2.304222,71,GeneLab Mice,GeneLab Mice,C5
GOCC_SYNAPTIC_MEMBRANE,4.844009e-10,8.068504e-08,0.8012156,0.5593609,1.906774,339,GeneLab Mice,GeneLab Mice,C5
GOMF_ADENYL_NUCLEOTIDE_BINDING,0.0003734689,0.008209197,0.4984931,0.3550551,1.288397,1436,GeneLab Mice,GeneLab Mice,C5
GOMF_CIS_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING,8.219963e-05,0.002583343,0.5384341,0.3887122,1.391903,906,GeneLab Mice,GeneLab Mice,C5
GOMF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY,3.7514e-05,0.001420132,0.5573322,0.388607,1.399406,1021,GeneLab Mice,GeneLab Mice,C5
GOMF_GTPASE_ACTIVATOR_ACTIVITY,2.151157e-09,3.161569e-07,0.774939,0.58527,1.950516,246,GeneLab Mice,GeneLab Mice,C5
GOMF_KINASE_ACTIVITY,2.426057e-05,0.0009936889,0.5756103,0.4131991,1.464264,684,GeneLab Mice,GeneLab Mice,C5
GOMF_LIPID_BINDING,6.64601e-08,6.469502e-06,0.7049757,0.4495063,1.597227,713,GeneLab Mice,GeneLab Mice,C5
GOMF_NUCLEOSIDE_TRIPHOSPHATASE_REGULATOR_ACTIVITY,9.286935e-08,8.489051e-06,0.7049757,0.4936882,1.720152,471,GeneLab Mice,GeneLab Mice,C5
GOMF_PROTEIN_KINASE_ACTIVITY,6.5625e-06,0.0003346205,0.6105269,0.4490502,1.572791,532,GeneLab Mice,GeneLab Mice,C5
GOMF_PROTEIN_SERINE_KINASE_ACTIVITY,0.000678902,0.01264276,0.4772708,0.471913,1.564656,234,GeneLab Mice,GeneLab Mice,C5
GOMF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY,2.381433e-05,0.0009780837,0.5756103,0.4661301,1.607021,404,GeneLab Mice,GeneLab Mice,C5
GOMF_RIBONUCLEOTIDE_BINDING,0.0001006153,0.003043773,0.5384341,0.3541116,1.288039,1760,GeneLab Mice,GeneLab Mice,C5
GOMF_RRNA_BINDING,1.614174e-06,9.91725e-05,0.6435518,-0.6954505,-2.200671,61,GeneLab Mice,GeneLab Mice,C5
GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME,5.519674e-25,1.182078e-21,1.2951231,-0.7851916,-2.767596,152,GeneLab Mice,GeneLab Mice,C5
GOMF_STRUCTURAL_MOLECULE_ACTIVITY,0.0001370527,0.003854704,0.5188481,-0.345919,-1.379444,589,GeneLab Mice,GeneLab Mice,C5
GOMF_TRANSCRIPTION_REGULATOR_ACTIVITY,2.686131e-05,0.001068111,0.5756103,0.3696194,1.340572,1476,GeneLab Mice,GeneLab Mice,C5
GOMF_TRANSLATION_REGULATOR_ACTIVITY,6.415514e-06,0.0003293663,0.6105269,-0.5476714,-1.881118,129,GeneLab Mice,GeneLab Mice,C5
GOMF_UBIQUITIN_LIGASE_INHIBITOR_ACTIVITY,0.0001364555,0.003852363,0.5188481,-0.9756304,-1.76458,5,GeneLab Mice,GeneLab Mice,C5
HP_ABNORMALITY_OF_THE_CEREBRAL_VENTRICLES,0.0002024181,0.005143134,0.5188481,0.3896176,1.388219,758,GeneLab Mice,GeneLab Mice,C5
HP_ABNORMALITY_OF_THE_NASAL_ALAE,0.000577477,0.01121368,0.4772708,0.3972016,1.395284,585,GeneLab Mice,GeneLab Mice,C5
HP_ABNORMALITY_OF_THE_THENAR_EMINENCE,1.024131e-05,0.0004905029,0.5933255,-0.8144788,-2.133576,25,GeneLab Mice,GeneLab Mice,C5
HP_ABNORMAL_CARDIAC_VENTRICLE_MORPHOLOGY,0.001307367,0.02034576,0.4550599,0.4012525,1.406178,519,GeneLab Mice,GeneLab Mice,C5
HP_ABNORMAL_ERYTHROCYTE_ENZYME_LEVEL,0.0002938356,0.006861197,0.4984931,-0.7614451,-2.023552,27,GeneLab Mice,GeneLab Mice,C5
HP_ABNORMAL_MEAN_CORPUSCULAR_VOLUME,0.0002314192,0.005700929,0.5188481,-0.6691415,-1.954177,44,GeneLab Mice,GeneLab Mice,C5
HP_ABNORMAL_MORPHOLOGY_OF_THE_GREAT_VESSELS,3.730867e-05,0.001415935,0.5573322,0.4388891,1.539026,550,GeneLab Mice,GeneLab Mice,C5
HP_ABNORMAL_NUMBER_OF_ERYTHROID_PRECURSORS,2.119874e-05,0.0008974256,0.5756103,-0.749371,-2.073579,34,GeneLab Mice,GeneLab Mice,C5
HP_ABNORMAL_SYSTEMIC_ARTERIAL_MORPHOLOGY,0.002767993,0.03404018,0.4317077,0.3983306,1.379101,422,GeneLab Mice,GeneLab Mice,C5
HP_ABSENT_THUMB,0.0004803428,0.009804181,0.4984931,-0.652788,-1.892111,41,GeneLab Mice,GeneLab Mice,C5
HP_ACUTE_LEUKEMIA,0.00124618,0.01981069,0.4550599,-0.5035314,-1.673694,97,GeneLab Mice,GeneLab Mice,C5
HP_ACUTE_MYELOID_LEUKEMIA,0.0002857197,0.006722276,0.4984931,-0.6011647,-1.910308,62,GeneLab Mice,GeneLab Mice,C5
HP_ADENOCARCINOMA_OF_THE_INTESTINES,0.0003513141,0.007837128,0.4984931,-0.7179913,-1.974718,32,GeneLab Mice,GeneLab Mice,C5
HP_ADENOCARCINOMA_OF_THE_LARGE_INTESTINE,0.0006773923,0.01263033,0.4772708,-0.7438785,-1.976869,27,GeneLab Mice,GeneLab Mice,C5
HP_ANONYCHIA,0.001162806,0.01890631,0.4550599,0.630187,1.747974,57,GeneLab Mice,GeneLab Mice,C5
HP_APLASIA_OF_THE_FINGERS,0.00455081,0.04862523,0.4070179,-0.5350258,-1.693026,61,GeneLab Mice,GeneLab Mice,C5
HP_CEREBELLAR_MALFORMATION,0.0003994062,0.008639969,0.4984931,0.4535631,1.54659,338,GeneLab Mice,GeneLab Mice,C5
HP_DELAYED_SPEECH_AND_LANGUAGE_DEVELOPMENT,4.600721e-06,0.00024285,0.6105269,0.4238002,1.510071,757,GeneLab Mice,GeneLab Mice,C5
HP_DUPLICATION_OF_THUMB_PHALANX,0.001943517,0.02700616,0.4550599,-0.6228068,-1.877047,49,GeneLab Mice,GeneLab Mice,C5
HP_ELEVATED_RED_CELL_ADENOSINE_DEAMINASE_LEVEL,1.585409e-05,0.000695473,0.5756103,-0.8418714,-2.118479,20,GeneLab Mice,GeneLab Mice,C5
HP_ERYTHROID_HYPOPLASIA,1.102504e-05,0.0005187147,0.5933255,-0.8303095,-2.152729,23,GeneLab Mice,GeneLab Mice,C5
HP_FEEDING_DIFFICULTIES_IN_INFANCY,2.132018e-05,0.0008974256,0.5756103,0.4477547,1.561805,488,GeneLab Mice,GeneLab Mice,C5
HP_HORSESHOE_KIDNEY,0.001302253,0.02033549,0.4550599,-0.5348117,-1.723584,76,GeneLab Mice,GeneLab Mice,C5
HP_HYPERACTIVITY,2.438164e-07,1.913639e-05,0.6749629,0.5037401,1.742109,419,GeneLab Mice,GeneLab Mice,C5
HP_INCREASED_HEAD_CIRCUMFERENCE,0.002079723,0.02806222,0.4317077,0.4178905,1.441104,406,GeneLab Mice,GeneLab Mice,C5
HP_INCREASED_MEAN_CORPUSCULAR_VOLUME,2.745504e-05,0.001086348,0.5756103,-0.7602746,-2.129956,35,GeneLab Mice,GeneLab Mice,C5
HP_MACROCYTIC_ANEMIA,0.002400501,0.03109213,0.4317077,-0.5865424,-1.817454,55,GeneLab Mice,GeneLab Mice,C5
HP_MALIGNANT_GENITOURINARY_TRACT_TUMOR,1.65234e-05,0.0007179775,0.5756103,-0.822556,-2.148405,24,GeneLab Mice,GeneLab Mice,C5
HP_MYELODYSPLASIA,0.0001395066,0.003909053,0.5188481,-0.542004,-1.805901,96,GeneLab Mice,GeneLab Mice,C5
HP_NEOPLASM_OF_THE_COLON,0.0007842365,0.01394601,0.4772708,-0.564073,-1.812478,74,GeneLab Mice,GeneLab Mice,C5
HP_NEOPLASM_OF_THE_SKELETAL_SYSTEM,0.0003745332,0.008220537,0.4984931,-0.5452614,-1.773204,88,GeneLab Mice,GeneLab Mice,C5
HP_NONIMMUNE_HYDROPS_FETALIS,0.003551804,0.04058315,0.4317077,-0.6286958,-1.793716,39,GeneLab Mice,GeneLab Mice,C5
HP_NORMOCHROMIC_ANEMIA,0.0002931551,0.006855988,0.4984931,-0.7534966,-2.015853,29,GeneLab Mice,GeneLab Mice,C5
HP_ORAL_CLEFT,0.001533836,0.02281124,0.4550599,0.3934547,1.378935,545,GeneLab Mice,GeneLab Mice,C5
HP_OSTEOSARCOMA,0.0001913103,0.004953251,0.5188481,-0.751636,-2.045707,30,GeneLab Mice,GeneLab Mice,C5
HP_PARTIAL_DUPLICATION_OF_THE_PHALANX_OF_HAND,2.592657e-05,0.00103771,0.5756103,-0.7272119,-2.0321,36,GeneLab Mice,GeneLab Mice,C5
HP_PERSISTENCE_OF_HEMOGLOBIN_F,1.524215e-05,0.0006740269,0.5933255,-0.8088255,-2.125665,26,GeneLab Mice,GeneLab Mice,C5
HP_PURE_RED_CELL_APLASIA,5.698123e-05,0.001928442,0.5573322,-0.8087105,-2.08786,22,GeneLab Mice,GeneLab Mice,C5
HP_RETICULOCYTOPENIA,4.350848e-05,0.001571652,0.5573322,-0.7634527,-2.079553,31,GeneLab Mice,GeneLab Mice,C5
HP_SLEEP_DISTURBANCE,0.001449168,0.02182321,0.4550599,0.4135383,1.438042,454,GeneLab Mice,GeneLab Mice,C5
HP_THROMBOCYTOSIS,0.001947546,0.02703301,0.4550599,-0.6163149,-1.828128,46,GeneLab Mice,GeneLab Mice,C5
HP_TRIPHALANGEAL_THUMB,0.00181972,0.02564966,0.4550599,-0.5573839,-1.771187,62,GeneLab Mice,GeneLab Mice,C5
