gene,MT,MUC,"Platelet activation, signaling and aggregation",Chemical carcinogenesis - reactive oxygen species,cell junction organization,ameboidal-type cell migration,behavior,inorganic ion transmembrane transport,regulation of cell junction assembly,cell morphogenesis,regulation of synapse organization,placenta,skeletal muscle,Cerebellum,bone marrow,prostate cancer
SGK1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
SH3BGRL,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SH3BGRL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH3BP4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHANK2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
SHANK3,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0
SHH,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
SHISA7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
SHMT2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SLC1A5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SLC22A11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SLC24A3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SLC25A37,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
SLC2A3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC34A1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SLC37A1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SLC4A1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
SLITRK5,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
SMAD7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SOHLH1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOX21-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPARC,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SPATA31C2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPCS3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPEG,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SPPL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPTBN4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
SRCIN1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
SRGN,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
SSC5D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STARD9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SULT1A1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SUSD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TACC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAGLN2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TARSL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBC1D16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBX1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
TBX18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBX3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCHH,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TEKT4P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TESK1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
TET3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
THBS1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
THRA,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
TICAM1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TLK1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TMEFF1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TMEM106C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM165,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
TMEM179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM201,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TNFSF4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNKS1BP1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
TNS1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TOB2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TPP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRAK2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRAPPC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIB2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIM24,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
TRIM29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIM41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIM71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TSPAN17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TSR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTBK1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
TUBB1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
UBAP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBE2F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBE2I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBE2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UGGT1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
UHRF1BP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UIMC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNC5B,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
USB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UTY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UXS1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
VCL,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
VDAC3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
VEGFA,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0
VPS13A,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
VWA1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
WDR11-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WDR41,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
WDR44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WTIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XIRP1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YPEL5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZBTB47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZDHHC12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ZDHHC18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZFAND3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF768,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZSWIM4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZXDC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
