human_gene,CD4_T,CD8_T,other_T,B,NK,CD14_Mono,CD16_Mono,DC,other,GeneLab,skin,skin_IE,skin_OD,skin_OE,skin_VA,JAXA.cfRNA.pval,NASA_multi_CD19,NASA_multi_CD4,NASA_multi_CD8,NASA_multi_LD,NASA_ribo_CD19,NASA_ribo_CD4,NASA_ribo_CD8,NASA_ribo_LD,NASA_poly_CD19,NASA_poly_CD4,NASA_poly_CD8,NASA_poly_LD,CD4_T.padj,CD8_T.padj,other_T.padj,B.padj,NK.padj,CD14_Mono.padj,CD16_Mono.padj,DC.padj,other.padj,GeneLab.padj,skin.padj,skin_IE.padj,skin_OD.padj,skin_OE.padj,skin_VA.padj,JAXA.cfRNA,NASA_multi_CD19.padj,NASA_multi_CD4.padj,NASA_multi_CD8.padj,NASA_multi_LD.padj,NASA_ribo_CD19.padj,NASA_ribo_CD4.padj,NASA_ribo_CD8.padj,NASA_ribo_LD.padj,NASA_poly_CD19.padj,NASA_poly_CD4.padj,NASA_poly_CD8.padj,NASA_poly_LD.padj
VMP1,0.160953578,0.241131892,0.032716733,0.25204267,0.299462433,0.399495039,0.387437476,0.269078352,0.193154055,0.034015806,-0.080678797,-0.44576325,0.081788661,-0.122170173,-0.053602455,,,,,,,,,,,,,,2.16e-51,2.52e-19,6.22e-09,7.37e-20,3.26e-11,1.1e-44,0.000354686,1.0,0.003967711,0.477889072,0.800991909,0.691627847,,0.922841591,0.949997234,,,,,,,,,,,,,
USP32,0.595238068,0.380094444,0.010195767,0.329960935,0.035854745,0.505096455,0.386700651,0.311545299,0.30464359,-0.012347511,0.066036949,0.053817963,-0.22357565,0.009602797,0.425754957,,,,,,,,,,,,,,4.35e-51,3.71e-19,6.62e-09,8.34e-20,4.36e-11,1.59e-44,0.000380236,1.0,0.004006879,0.792680751,0.830240729,0.975946516,,0.993166669,0.331473014,,,,,,,,,,,,,
PECAM1,1.796395938,0.026499966,0.414941787,0.36152968,0.189042326,0.399624581,0.346092575,0.336010445,0.300182284,0.062786031,0.020818581,0.213923763,0.020783113,0.075013417,-0.277412803,,,,,,,,,,,,,,6.37e-51,4.03e-19,6.98e-09,2.18e-19,4.66e-11,2.19e-44,0.000415639,1.0,0.004148591,0.139952226,0.953893818,0.857826836,,0.95025017,0.565081721,,,,,,,,,,,,,
EMILIN2,0.053051822,0.077979449,0.272065611,0.320141878,0.396225865,0.462806201,0.301344431,0.279485679,0.256457601,0.038653669,0.06321268,-0.138398721,-0.012310227,0.401006391,0.150719904,,,,,,,,,,,,,,2.57e-50,5e-19,9.1e-09,2.76e-19,4.99e-11,1.62e-43,0.000437972,1.0,0.004408842,0.738649471,0.829968997,0.92288314,,0.550546955,0.796943148,,,,,,,,,,,,,
RAB31,0.289792683,0.334119996,0.376499781,0.311352528,0.215859775,0.363150076,0.375794196,0.61123088,0.555241243,-0.032301647,0.217672008,0.44555015,0.320776767,-0.135178558,0.016814187,,,,,,,,,,,,,,6.18e-50,5.11e-19,1.09e-08,3.59e-19,5.95e-11,1.71e-43,0.000509593,1.0,0.004547926,0.457913525,0.332461389,0.620580073,,0.910654127,0.984120544,,,,,,,,,,,,,
ZNF516,0.377855069,0.269626189,0.466828406,0.381653313,0.282175494,0.299495979,0.494835267,0.423573812,0.287784487,0.1044617,-0.241428791,-0.369872739,-0.580518628,0.482692033,-0.619437456,,,,,,,,,,,,,,2.44e-49,5.32e-19,1.49e-08,3.72e-19,6.34e-11,2.16e-43,0.000551803,1.0,0.005151339,0.007619113,0.458601173,0.804853398,,0.608414462,0.273525772,,,,,,,,,,,,,
RIN2,0.250824856,0.230802318,0.267698722,0.257487347,0.418210973,0.41510226,0.316292676,0.282101386,0.174618652,-0.002763563,0.003435135,-0.119316803,-0.182602991,0.134737029,0.287222044,,,,,,,,,,,,,,1.68e-48,5.66e-19,1.88e-08,5.92e-19,6.67e-11,3.21e-43,0.000623026,1.0,0.005924205,0.956500081,0.993260922,0.932239629,,0.907968721,0.579474025,,,,,,,,,,,,,
HCK,0.245134675,0.243608215,0.310440933,0.347329239,0.241732431,0.311276099,0.41009028,0.493002394,0.248499954,0.095633666,0.046836154,-0.585651651,-0.021751721,0.352996753,0.13686186,,,,,,,,,,,,,,2.57e-48,5.88e-19,1.9e-08,6.95e-19,8.45e-11,6.53e-43,0.000627667,1.0,0.006911017,0.204938258,0.909095679,0.620463002,,0.721939285,0.864341945,,,,,,,,,,,,,
SULF2,0.122390313,0.347242548,0.314935094,0.339783869,0.37136505399999997,0.368553387,0.359003464,0.428275516,0.256624603,-0.023217924,0.125851552,-0.194060101,-0.008778562,0.52764886,0.201651991,,,,,,,,,,,,,,3.76e-48,6.38e-19,2.5e-08,8.65e-19,8.56e-11,6.91e-43,0.000730262,1.0,0.007146444,0.767120527,0.680848175,0.898950346,,0.515299346,0.7707649,,,,,,,,,,,,,
BACH1,0.120765381,0.267092762,0.301820221,0.326587471,0.222613735,0.421921066,0.443245937,0.369007141,0.297889474,-0.102496661,-0.0239262,-0.090332919,-0.026244491,0.113360554,0.020420729,,,,,,,,,,,,,,1.36e-47,6.79e-19,3.08e-08,1.25e-18,9.22e-11,8.05e-43,0.000747203,1.0,0.009199646,0.000255,0.946309327,0.951040835,,0.92063635,0.979934033,,,,,,,,,,,,,
IFNGR2,0.198377964,0.523136913,0.049516634,0.254840547,0.360612675,0.317519701,0.40134759,0.357373629,0.234013231,-0.018085888,-0.014303569,-0.122046012,0.28640422,-0.070215282,-0.104632895,,,,,,,,,,,,,,1.16e-46,1.14e-18,3.13e-08,1.3e-18,1.15e-10,1.18e-42,0.000780536,1.0,0.009952243,0.600122548,0.976541433,0.951988891,,0.962124292,,,,,,,,,,,,,,
GRK3,0.440422504,0.050238671,0.388387312,0.406996426,0.243319099,0.291823374,0.374016035,0.361074136,0.291798791,0.07425731,0.20262301,0.585168239,0.145184844,0.221306068,0.082470475,,,,,,,,,,,,,,1.26e-46,1.26e-18,3.15e-08,1.39e-18,1.18e-10,1.56e-42,0.000807537,1.0,0.010862166,0.108690887,0.413695975,0.51670639,,0.843646216,0.920756108,,,,,,,,,,,,,
AP1S2,0.274075235,0.109512236,0.327561725,0.240705641,0.397034349,0.386773104,0.412376815,0.271656687,0.182598684,-0.008498219,-0.119620765,-0.245572065,-0.178397419,-0.120549669,0.010091482,,,,,,,,,,,,,,1.29e-46,1.5e-18,3.41e-08,1.92e-18,1.9e-10,1.81e-42,0.000848089,1.0,0.010891699,0.915401302,0.639064486,0.832859205,,0.917063702,0.989561592,,,,,,,,,,,,,
CYBB,0.310428924,0.307301887,0.200603572,0.343185538,0.208995872,0.395592977,0.403172602,0.650105642,0.540795181,0.012370719,0.028239258,0.232658617,0.050971777,-0.097458154,-0.152652518,,,,,,,,,,,,,,1.63e-46,2.81e-18,3.56e-08,1.99e-18,2.02e-10,2.23e-42,0.00088885,1.0,0.010952198,0.910568107,0.941209148,0.859393095,,0.943512387,0.827385526,,,,,,,,,,,,,
AL034397.3,0.246243037,0.230592209,0.067262811,0.343441763,0.372300798,0.318031801,0.391530206,0.205278241,0.19322088,,,,,,,,,,,,,,,,,,,,4.09e-46,5.05e-18,3.66e-08,2.14e-18,2.69e-10,2.37e-42,0.000903014,1.0,0.013283258,,,,,,,,,,,,,,,,,,,
FTX,0.247749417,0.187519043,0.38317976,0.284082854,0.319566582,0.381600165,0.464208301,0.58024009,0.206497552,,,,,,,0.005839818,,,,,,,,,,,,,4.64e-46,5.39e-18,3.7e-08,2.26e-18,2.85e-10,3.24e-42,0.001049739,1.0,0.01369229,,,,,,,-40.26053341,,,,,,,,,,,,
DIAPH2,0.402727304,0.275020136,0.288605988,0.356781903,0.349865873,1.692423692,0.613817363,0.292898514,0.140603963,0.017753162,-0.214917727,-0.272476799,-0.184264122,-0.105872188,-0.266592451,,,,,,,,,,,,,,4.66e-46,6.51e-18,3.99e-08,3.59e-18,3.71e-10,1.97e-41,0.00106967,1.0,0.013986813,0.784907912,0.298907994,0.801232986,,0.924988727,0.601847722,,,,,,,,,,,,,
DOCK11,0.147034401,0.267806506,0.346657251,0.295144749,0.275865278,0.333076968,0.406925452,0.429590809,0.191430801,-0.047192528,0.217602329,0.485946881,0.042404974,0.444417745,-0.12652067,,,,,,,,,,,,,,9.09e-46,8.85e-18,4.48e-08,3.78e-18,3.82e-10,2.63e-41,0.001181528,1.0,0.015512454,0.394076202,0.370859101,0.593056101,,0.566731231,0.870165865,,,,,,,,,,,,,
SLC9A9,0.35111186,0.23419134,0.196963878,0.307147899,0.258106396,0.424952251,0.489774125,0.273342368,0.44044117,0.008806272,0.087805935,0.475214739,-0.084345649,0.498258293,-0.164429821,,,,,,,,,,,,,,2.35e-45,9.39e-18,4.88e-08,4.07e-18,5.72e-10,5.83e-41,0.001572855,1.0,0.015881971,0.88647009,0.804052159,0.660609283,,0.542283216,0.819567612,,,,,,,,,,,,,
MBD2,0.271045721,0.263744675,0.41219552,0.315421574,0.358474548,0.304039111,0.299502453,0.322883997,0.212186868,-0.048385623,-0.168122865,-0.335463167,-0.151329379,-0.032660215,-0.158083746,,,,,,,,,,,,,,3.28e-45,1.36e-17,4.92e-08,4.18e-18,6.56e-10,1.33e-40,0.001745419,1.0,0.015985356,0.028757113,0.605993345,0.718268076,0.611890776,0.977545327,0.814276669,,,,,,,,,,,,,
GPD2,0.301378672,0.350659217,0.305375467,0.31764994,0.300334837,0.280891011,0.378455827,0.521135219,0.195865173,0.124217142,-0.198738181,-0.466797308,-0.21858187,0.028418281,-0.232851103,,,,,,,,,,,,,,3.56e-45,1.41e-17,5.84e-08,4.54e-18,7.37e-10,1.4e-40,0.001894147,1.0,0.018268528,0.015395954,0.45314708,0.660609283,,0.98393949,0.727068238,,,,,,,,,,,,,
IL17RA,0.261098317,0.273375581,0.175358015,0.404371043,0.215734571,0.330701925,0.39118552,0.383754561,0.203178864,0.01500723,0.051195093,0.217863397,-0.01929918,-0.241743098,0.044473563,,,,,,,,,,,,,,3.67e-45,1.58e-17,5.94e-08,7.36e-18,8.97e-10,2.62e-40,0.00194699,1.0,0.018677113,0.768746675,0.907455059,0.895300887,,0.858942902,0.964572681,,,,,,,,,,,,,
ZNF438,0.269278099,0.365125555,0.324802661,0.259637191,0.26893062,0.413239531,0.397152455,0.405737435,0.350320315,0.028224893,0.111015395,0.256231941,0.220568485,0.647374994,-0.542717149,,,,,,,,,,,,,,8.15e-45,3.34e-17,6.25e-08,9.97e-18,9.31e-10,5.24e-40,0.00198811,1.0,0.02078769,0.420381326,0.718572188,0.838572957,,0.264688538,0.287448187,,,,,,,,,,,,,
ANKRD44,0.040681539,0.289246935,0.051968774,0.334058547,0.296475455,0.369621636,0.402319824,0.423352174,0.371552845,0.023287453,-0.037202926,0.219835576,-0.086845523,-0.187973134,0.026942767,,,,,,,,,,,,,,2.12e-44,3.44e-17,8.39e-08,1.28e-17,1.04e-09,5.77e-40,0.002012696,1.0,0.022384445,0.559021394,0.92473951,0.879766462,,0.873783156,0.975653662,,,,,,,,,,,,,
MAPK14,0.333257267,0.334999004,0.321498478,0.259867127,0.378565003,0.342975723,0.282324404,0.322788096,0.485098832,0.011810165,-0.020926596,0.211841173,0.311515467,-0.073160375,-0.355387468,,,,,,,,,,,,,,2.7e-44,6.7e-17,8.65e-08,1.38e-17,1.08e-09,8.69e-40,0.002069371,1.0,0.022732392,0.648283119,0.956002594,0.859840362,,0.955962879,0.485414061,,,,,,,,,,,,,
RELCH,0.25167419,0.248293975,0.138291164,0.231203861,0.33514327,-0.933801418,0.397471318,0.26579683,0.37628431,-0.011806306,0.238905009,0.849579369,0.0685231,-0.122175893,0.01153349,,,,,,,,,,,,,,3.57e-44,8.43e-17,8.96e-08,1.56e-17,1.42e-09,1.06e-39,0.002603427,1.0,0.023005865,0.815392347,0.427178844,0.224820554,,0.930982801,0.989843063,,,,,,,,,,,,,
TANK,0.07076563,0.533605586,0.378124622,0.240379636,0.395581572,0.319455305,0.545096013,0.907788718,0.039967554,-0.009739117,-0.000816396,0.23628265,-0.198784431,0.077086189,0.078689456,,,,,,,,,,,,,,4.55e-44,1.09e-16,1.16e-07,1.69e-17,1.47e-09,2.3e-39,0.003809435,1.0,0.024290586,0.865934827,0.99862954,0.821372873,,0.94529807,0.90958135,,,,,,,,,,,,,
RUNX1,0.294625025,0.352207108,0.321513019,0.286871756,0.223569665,0.35334098,0.338334127,0.320135649,0.234013231,-0.02758241,0.045173521,-0.364510719,0.184341024,-0.097009047,0.061677777,,,,,,,,,,,,,,5.57e-44,1.09e-16,1.28e-07,1.95e-17,2.98e-09,2.39e-39,0.003964986,1.0,0.024444581,0.733820758,0.894624327,0.746462676,,0.941741543,0.930496205,,,,,,,,,,,,,
TRIO,0.236579937,0.327483595,0.36864497,0.053548306,0.214962927,0.321930402,1.702131101,0.344338787,0.249905076,0.047533137,-0.05864773,-0.31576478,0.138658566,0.364883255,-0.273337221,,,,,,,,,,,,,,5.58e-44,1.38e-16,1.87e-07,2.15e-17,3.93e-09,3.61e-39,0.00406182,1.0,0.026055658,0.151878919,0.858140385,0.757176497,,0.651530319,0.565975797,,,,,,,,,,,,,
PICALM,0.588451047,0.236336312,0.30781399,0.387056695,0.327430121,0.339387203,0.373694987,0.298038274,0.30959937,-0.022640111,0.022857824,0.052148303,0.037366471,-0.015543881,0.028753003,,,,,,,,,,,,,,6.51e-44,1.83e-16,2.33e-07,3.45e-17,4.37e-09,5.39e-39,0.004349203,1.0,0.026128554,0.61777966,0.949300409,0.975946516,,0.990481393,0.970912766,,,,,,,,,,,,,
ARHGAP26,0.216874392,0.315617262,0.2899165,0.437231997,0.246548111,0.310651722,0.33892327,0.358447638,0.191690462,0.187344455,-0.187624243,-0.344203394,-0.35492821,-0.052396648,-0.05801949,,,,,,,,,,,,,,3.36e-43,2.49e-16,2.42e-07,3.75e-17,4.4e-09,8.15e-39,0.004802293,1.0,0.026281217,3e-13,0.414350154,0.751645218,,0.962124292,0.936554712,,,,,,,,,,,,,
MAPKAP1,0.272438768,0.19787161,0.377790088,0.38183138,0.419798983,0.370550958,0.396326679,0.351723527,0.22912786,0.001008946,0.284998114,0.607498241,0.053493018,0.097596502,0.469909849,,,,,,,,,,,,,,4.07e-43,2.62e-16,2.58e-07,4.05e-17,4.76e-09,9.45e-39,0.005223334,1.0,0.026995254,0.970839578,0.333063654,0.620463002,,0.95222289,,,,,,,,,,,,,,
ADAM10,0.347871549,0.035857617,0.340523631,0.19886823,0.296495775,0.425256803,0.36765157,0.332966778,0.33494458,-0.029229559,0.147928823,0.198152047,0.122006521,0.008287854,0.254261627,0.049030027,,,,,,,,,,,,,5.74e-43,3.62e-16,2.64e-07,4.96e-17,5.43e-09,9.89e-39,0.005255774,1.0,0.028101697,0.51978571,0.489558678,0.840075704,,0.993755734,0.594584677,-1.975195414,,,,,,,,,,,,
MANBA,0.294563444,0.384380897,0.33736279,0.25930536,0.331924225,0.758921588,0.445397088,0.405622275,0.235018944,-0.006843005,0.035121011,0.006240485,0.06962224,-0.173488114,0.192255482,,,,,,,,,,,,,,1.03e-42,3.96e-16,2.93e-07,6.81e-17,5.84e-09,1.05e-38,0.005346611,1.0,0.029332859,0.859272648,0.926399978,0.997578517,,0.889607076,0.769592758,,,,,,,,,,,,,
PRKAG2,0.288932309,0.230093969,0.356761976,0.293474348,0.385887335,0.374040007,0.389116835,0.468285094,0.256409981,0.026438704,-0.045712898,-0.218687115,-0.052081193,-0.34955373,0.458440511,,,,,,,,,,,,,,1.04e-42,4.02e-16,3.15e-07,9.79e-17,6.47e-09,2.29e-38,0.005563881,1.0,0.03181119,0.39765411,0.906603663,0.883705707,,0.722249325,0.332423796,,,,,,,,,,,,,
CEPT1,0.343130101,0.255242008,0.445127627,0.323535529,0.289576179,0.313944884,0.340012552,0.348541671,0.231151956,-0.037047381,0.327089683,0.366672334,0.298013249,0.162857615,0.667861727,,,,,,,,,,,,,,1.18e-42,4.49e-16,3.41e-07,1.32e-16,7.11e-09,3.41e-38,0.006042883,1.0,0.034993944,0.400416748,0.108229034,0.70718166,,0.880728845,0.089516533,,,,,,,,,,,,,
FRY,0.279970618,0.280913188,0.252913318,0.288316389,0.195405001,0.398189427,0.460762946,0.258959816,0.18607705,0.117966099,0.111705679,0.486169579,0.402823641,-0.187537673,-0.039050052,,,,,,,,,,,,,,1.38e-42,5.05e-16,3.51e-07,1.77e-16,7.85e-09,8.55e-38,0.006136889,1.0,0.040453723,0.001358796,0.786368132,0.722778387,,0.896079083,0.970861489,,,,,,,,,,,,,
IKZF1,0.293686761,0.232956654,0.182459704,0.195477384,0.328405899,0.3156194,0.36771016,0.393981989,0.298500411,0.051265789,0.059969724,0.428360836,0.070611286,0.099726902,-0.126026004,,,,,,,,,,,,,,2.04e-42,6.6e-16,3.7e-07,2.17e-16,8.21e-09,8.68e-38,0.006592864,1.0,0.042469918,0.492085032,0.870537379,0.689298493,,0.942403543,0.870407676,,,,,,,,,,,,,
TBC1D22A,0.241065888,0.241996127,0.352584239,0.297061378,0.388544142,0.310987557,0.421316102,0.276074247,0.249111089,-0.045016277,0.077984415,-0.128537338,-0.143016112,0.492759686,0.147302412,,,,,,,,,,,,,,6.13e-42,7.61e-16,3.72e-07,2.35e-16,9.35e-09,9.17e-38,0.007329788,1.0,0.043077694,0.395222639,0.761464243,0.916491273,,0.368833667,0.789616261,,,,,,,,,,,,,
TTC7A,0.183860424,0.335129669,0.045341559,0.322032757,0.299573309,0.352220245,0.326637939,0.309129673,0.668150354,0.065621714,-0.090206754,0.280711428,0.031880161,-0.068313197,-0.633868221,,,,,,,,,,,,,,6.55e-42,7.77e-16,4.41e-07,2.89e-16,9.84e-09,9.79e-38,0.007473729,1.0,0.048599393,0.268333601,0.77867529,0.81104038,,0.961014315,0.16732003,,,,,,,,,,,,,
KCNQ1,0.262546056,0.293004612,0.380452632,0.353002706,0.288979823,0.317004899,0.483174251,0.335796709,0.332999202,-0.030092053,-0.198158417,-0.090157151,-0.175284821,-0.283962953,-0.218840508,,,,,,,,,,,,,,7.79e-42,1.23e-15,4.53e-07,3.67e-16,1.16e-08,1.16e-37,0.007775568,1.0,0.049579677,0.751095068,0.521088284,0.966954453,,0.809680901,,,,,,,,,,,,,,
MAP4K4,0.231902306,0.277138147,0.256467808,0.296916957,0.39694188,0.472248521,0.361374369,0.205438304,0.195436199,0.011238186,-0.046219328,0.131419323,-0.056680875,-0.238769767,0.056533709,,,,,,,,,,,,,,1.24e-41,1.46e-15,5.15e-07,4.08e-16,1.23e-08,1.18e-37,0.008175427,1.0,0.051038815,0.782575968,0.883941149,0.925456225,,0.802955556,0.937598543,,,,,,,,,,,,,
CHST11,0.234720047,0.146949542,0.249706389,0.276475951,0.318545562,0.349468874,0.323193388,0.204235539,0.345027379,0.048037821,0.071556495,0.277517676,0.006216566,0.61625078,-0.419941881,,,,,,,,,,,,,,1.31e-41,1.8e-15,5.16e-07,4.38e-16,1.24e-08,1.47e-37,0.008562683,1.0,0.065162655,0.271750546,0.859439215,0.861972959,,0.414035825,,,,,,,,,,,,,,
ASAH1,0.299286686,0.229008572,0.335470885,0.343324164,0.238331279,0.362605812,0.359711883,0.282479689,0.178097978,-0.036664586,-0.003671725,0.241278063,-0.131253512,-0.047785506,-0.171618589,,,,,,,,,,,,,,1.49e-41,2.08e-15,5.33e-07,5.16e-16,1.27e-08,2.05e-37,0.009440661,1.0,0.068211304,0.423827565,0.992599742,0.809023663,,0.968388658,0.788486623,,,,,,,,,,,,,
PHKB,0.389952939,0.242229818,0.274128872,0.272165624,0.293770106,0.317460208,0.314904369,0.345420537,0.221448053,-0.01199058,0.110644743,-0.259898003,0.25367599,-0.157335868,0.349033661,,,,,,,,,,,,,,1.9e-41,2.43e-15,8.28e-07,7.71e-16,1.41e-08,2.62e-37,0.009825456,1.0,0.073381395,0.852647999,0.707405879,0.862231485,,0.890040876,0.487053532,,,,,,,,,,,,,
LINC00278,0.225036091,0.298179161,0.28770613,0.111318511,0.327025746,0.30587126,0.358661715,0.278174495,0.500506571,,,,,,,,,,,,,,,,,,,,2.48e-41,2.44e-15,1.04e-06,8.64e-16,1.71e-08,2.98e-37,0.010139288,1.0,0.073900896,,,,,,,,,,,,,,,,,,,
ACER3,0.273135829,0.181547473,0.381087516,0.329699434,0.238527212,0.387997581,0.186137899,0.702232731,0.042692191,-0.01565746,0.055307306,0.371828573,-0.388480716,0.181357351,0.120496049,,,,,,,,,,,,,,2.89e-41,4.49e-15,1.29e-06,1.24e-15,1.74e-08,3.63e-37,0.012006397,1.0,0.077449346,0.844085181,0.888248902,0.773450636,,0.889821479,0.876103971,,,,,,,,,,,,,
TET3,0.212913649,0.323801575,0.2326051,0.245572819,0.304104513,0.352453653,0.344356688,0.240891523,0.24592791,0.008137838,-0.163224197,-0.292174496,-0.046587969,-0.097160077,-0.235698616,,,,,,,,,,,,,,1.5e-40,5.3e-15,1.41e-06,1.29e-15,1.96e-08,4.6e-37,0.014102887,1.0,0.083303752,0.898621774,0.574341988,0.756465568,0.874731837,0.930044722,0.687046118,,,,,,,,,,,,,
CERT1,0.202553807,0.103831843,0.226393298,0.549651292,0.215651284,0.325333355,0.352325122,0.302381344,0.423358751,-0.0143574,0.048126838,0.079223625,-0.197103136,0.0023808,0.094986055,,,,,,,,,,,,,,3e-40,5.54e-15,1.49e-06,1.42e-15,2.23e-08,1.16e-36,0.014337705,1.0,0.091240269,0.786118277,0.893941632,0.966176067,,0.997973198,0.893727103,,,,,,,,,,,,,
MYCBP2,0.179030767,0.141808022,0.294269955,0.356828736,0.343338591,0.322309767,0.362825175,0.428746621,0.228160505,0.01241033,-0.092472652,-0.30045858,0.081775177,0.225351114,-0.427596327,,,,,,,,,,,,,,3.64e-40,6.05e-15,1.8e-06,1.73e-15,2.48e-08,1.2e-36,0.015018192,1.0,0.092902475,0.735071661,0.786221309,0.814846355,,0.834457574,0.448796827,,,,,,,,,,,,,
RESF1,0.501468285,0.303295592,0.198024939,0.226631802,0.145998409,0.348721666,0.330215041,0.12685628,0.193050992,-0.02911286,0.039554548,0.125272009,0.028098549,0.091680348,-0.023125117,,,,,,,,,,,,,,3.67e-40,6.09e-15,2e-06,2.61e-15,2.49e-08,1.53e-36,0.016590923,1.0,0.096089462,0.618200909,0.899191306,0.929736398,,0.930982801,0.975653662,,,,,,,,,,,,,
NCKAP1L,0.351895692,0.269710669,0.223626178,0.262116191,0.304599103,0.322662466,0.243717269,0.267921527,0.188195882,-0.007888018,0.032390976,0.474732529,-0.008091979,-0.025970949,-0.235595236,,,,,,,,,,,,,,3.75e-40,6.38e-15,2.21e-06,2.7e-15,3.19e-08,2.5e-36,0.016992572,1.0,0.10423915,0.925090109,0.942786123,0.656540476,,0.985761779,0.685598002,,,,,,,,,,,,,
ROCK2,0.180465245,0.186758459,0.294977265,0.316597461,0.027409111,0.323482055,0.381864422,0.131429009,0.512996183,0.014616871,-0.250758773,0.101540084,-0.375508395,-0.084887422,-0.511161773,0.022068096,,,,,,,,,,,,,1.14e-39,1.12e-14,2.41e-06,3.67e-15,4.51e-08,4.81e-36,0.017579829,1.0,0.109594542,0.774642818,0.288811528,0.950459216,,0.948905881,0.219357149,-2.134186017,,,,,,,,,,,,
DENND5A,0.492744585,0.03596146,0.296667553,0.26591849,0.307703982,0.389152504,0.44771745,0.58328541,0.202333793,0.05965762,0.141969299,0.08177551,0.211017424,0.373843574,0.088614598,,,,,,,,,,,,,,1.31e-39,1.21e-14,2.42e-06,4.96e-15,4.8e-08,4.91e-36,0.018306333,1.0,0.114164944,0.013248984,0.636829302,0.96429845,,0.690947896,0.920756108,,,,,,,,,,,,,
MT-ATP8,0.322624743,0.238607239,0.231667871,0.355209128,0.346899693,0.324493384,0.317519311,0.336208714,0.303988645,0.016003558,,,,,,,,,,,,,,,,,,,5.76e-39,1.37e-14,2.46e-06,9.31e-15,6.29e-08,5.43e-36,0.022280517,1.0,0.121548449,0.92138302,,,,,,,,,,,,,,,,,,
MDFIC,0.238718189,0.192004102,0.198204289,0.284346875,0.356246561,0.304465414,0.313000595,0.238093706,0.234013231,0.063245321,0.218593399,-0.354157851,0.189910307,0.143007694,0.626189401,,,,,,,,,,,,,,8.13e-39,1.47e-14,2.56e-06,1.33e-14,8.23e-08,5.73e-36,0.022389154,1.0,0.12238522,0.161184567,0.329641904,0.724021159,,0.89998585,0.074883465,,,,,,,,,,,,,
TRAPPC8,0.199247332,0.21473494,0.3169395,0.226849839,0.351285088,0.286459394,0.359726801,0.322380032,0.193329056,-0.025305777,0.163505944,0.532486418,0.283397336,0.109368811,0.042539382,,,,,,,,,,,,,,9.63e-39,1.5e-14,2.81e-06,1.62e-14,8.99e-08,6.71e-36,0.023025156,1.0,0.134161874,0.445595477,0.618435897,0.660609283,,0.942389004,,,,,,,,,,,,,,
UBE2W,0.201128738,0.138189693,0.299982822,0.301587544,0.320311815,0.308797571,0.445605355,0.28097012,0.18058778,-0.022843982,-0.274671863,-0.534870735,-0.159538983,-0.203641776,-0.25389825,,,,,,,,,,,,,,1.93e-38,1.7e-14,4.39e-06,1.63e-14,9.3e-08,6.78e-36,0.024196727,1.0,0.137893269,0.671996809,0.194027658,0.504775154,,0.838443997,0.659085693,,,,,,,,,,,,,
HIPK3,0.188526405,0.202094749,0.132585004,0.199230079,0.370327169,0.341031276,0.189926858,0.362819918,0.235689809,0.011479884,-0.066337108,0.042273093,0.075565414,-0.106133133,-0.294880178,,,,,,,,,,,,,,6.87e-38,1.75e-14,5.15e-06,1.78e-14,1.21e-07,7.84e-36,0.024871853,1.0,0.140793424,0.778055797,0.817859635,0.98111936,,0.924681964,0.536746873,,,,,,,,,,,,,
IFNAR2,0.150428935,0.358536665,0.21412193,0.193219566,0.259836835,0.320873303,0.357847366,0.282259551,0.217111829,0.003967807,0.048460623,0.10863235,0.381160595,0.187747462,-0.2698426,,,,,,,,,,,,,,2.88e-37,1.75e-14,5.37e-06,1.81e-14,1.22e-07,8.72e-36,0.025778557,1.0,0.150707637,0.940806129,0.910742135,0.960083067,,0.88520681,,,,,,,,,,,,,,
ACAP2,0.2464317,0.285152698,0.431886441,0.260847685,0.018174098,0.383656682,0.34632172,0.399283365,0.514432819,-0.01034554,0.148028761,0.053330979,0.137985861,0.1756715,0.169442645,,,,,,,,,,,,,,3.13e-37,1.79e-14,5.47e-06,1.91e-14,1.23e-07,1.03e-35,0.027017157,1.0,0.151929403,0.791075685,0.58804989,0.978323576,,0.889594006,0.793051133,,,,,,,,,,,,,
CARD8,0.315723876,0.212714656,0.381124468,0.260040215,0.250089589,0.324329443,0.200672751,0.270281283,0.309326619,,0.306687278,0.665597887,-0.106409431,0.397650587,0.29136524,,,,,,,,,,,,,,3.94e-37,1.95e-14,5.74e-06,2.02e-14,1.32e-07,1.48e-35,0.02811757,1.0,0.165702671,,0.159981869,0.304162023,,0.618489047,0.593761092,,,,,,,,,,,,,
AC053513.1,0.15503374,0.121093561,0.266135538,0.113787609,0.311801849,0.324483743,0.280599255,0.220767404,0.158505394,,,,,,,,,,,,,,,,,,,,5.39e-37,3.4e-14,6.11e-06,2.11e-14,1.34e-07,1.94e-35,0.033646794,1.0,0.185788499,,,,,,,,,,,,,,,,,,,
CD58,0.268036093,0.231060339,0.394083025,0.265001882,0.31515491,0.29310547,0.323572336,0.788412819,0.176527736,,0.012022496,-0.0048685,-0.157236402,0.133856466,0.075147831,,,,,,,,,,,,,,8.27e-37,3.84e-14,6.33e-06,2.16e-14,1.48e-07,3.54e-35,0.036032557,1.0,0.198925013,,0.975292078,0.997728456,,0.904828752,0.919210562,,,,,,,,,,,,,
