metabolite_name,HMDB_id,pathway,super_pathway,log2FC_PD,log2FC_I4,pvalue_PD,pvalue_I4,padj_PD,padj_I4,concordant
Cysteine-S-Sulfonic Acid,HMDB00731,Cysteine and Methionine metabolism,Amino acids,0.2592352601351734,0.1146584759260569,0.4647817322278756,0.6483149999744852,0.6884443029009145,0.8502136175419236,TRUE
Orotic Acid,HMDB00226,Pyrimidine metabolism,Purine  and pyrimidine metabolism/nucleotide metabolism,-0.3974196769909097,0.0546882692621483,0.5993901897849945,0.8801993944569466,0.779825174751199,0.9514184856318494,FALSE
Tartaric Acid,HMDB00956,Glyoxylate and dicarboxylate metabolism,Glycylate and dicarboxylate metabolism,-1.594787368642529,1.5562123097299303,0.5088577895986698,0.0577763606187049,0.721548910644406,0.4132029385853039,FALSE
PI 36:4,,Glycerophosphoinositols [GP06],Glycerophospholipids [GP],-0.5831091542820271,-0.3846915688219486,0.0628945713281607,0.2631218012566591,0.3392006368211062,0.6279076641753747,TRUE
PI 38:3,,Glycerophosphoinositols [GP06],Glycerophospholipids [GP],-0.6689145055258218,-0.2755254904373025,0.0248687781459921,0.3247179724125991,0.2831177242834846,0.6537848462414385,TRUE
Glycerylphosphorylethanolamine,HMDB00114,Glycerophospholipid metabolism,Lipid metabolism,-0.9839392155001327,-0.9973183187657746,0.1136936914342907,0.1694862955319291,0.3829335506050237,0.5426330074030167,TRUE
PAF C16:0,,Glycerophospholipid metabolism,Lipid metabolism,-0.5180015527783398,-0.3556801134331498,0.0484682394856701,0.1296198278541511,0.3392006368211062,0.4714398577598561,TRUE
Histidine,HMDB00177,Histidine Metabolism,Amino acids,-0.2399278203838541,-0.0601403264667524,0.0255748181999344,0.6001237951914459,0.2831177242834846,0.836628725087066,TRUE
Uridine+Cl,HMDB00296,Pyrimidine metabolism,Purine  and pyrimidine metabolism/nucleotide metabolism,-2.964911294370988,0.0383995596222738,0.404232770104561,0.9192538859590392,0.6532195901831966,0.9663951108800156,FALSE
Beta-Carboxyglutaric Acid,HMDB31193,"Citrate cycle (TCA cycle) , from msms fragmentation",Energy metabolism,-0.2352137220462111,-1.158771148538462,0.552911473464107,0.1982952866885401,0.745485341358657,0.5794416127137928,TRUE
Lithocholic Acid,HMDB00761,Bile acid biosynthesis,Lipid metabolism,-0.3913305817723257,0.2354657989700666,0.3166078613959906,0.3875817507473226,0.5744416869956485,0.6953615185590964,FALSE
Lyso-PAF C16,,Glycerophospholipid metabolism/PAF,Lipid metabolism,-0.2207916717979355,-0.9240331050701822,0.4330364342575208,0.012459647938759,0.6713660688365986,0.3287483011092887,TRUE
1-Methyladenosine,HMDB03331,Nucleotide modification,Purine  and pyrimidine metabolism/nucleotide metabolism,-0.335518798218142,-0.1644053353535499,0.0530975487787104,0.2765680657256352,0.3392006368211062,0.6279076641753747,TRUE
N-Acetylneuraminic Acid,HMDB00230,Amino sugar metabolism,Amino sugar and nucleotide sugar metabolism,-2.3405024378784245,0.2793665587219694,0.2305846237816434,0.5935442249276677,0.5185424114097582,0.8365263920074316,FALSE
Carnitine,HMDB00062,Carnitine metabolism,Lipid metabolism,0.1423730442217405,0.1263494515067668,0.2088736574438447,0.6671291082293392,0.5030506788055955,0.860758957099996,TRUE
N-Acetylaspartic Acid,HMDB00812,"Alanine, aspartate, and glutamate metabolism",Amino acids,-0.1940614626885331,-0.0583427000725742,0.7459021321255098,0.6584159761020905,0.9068675247999936,0.8532919690288586,TRUE
Choline,HMDB00097,"Glycine, serine and threonine metabolism",Amino acids,-0.1728803229139385,0.0231057657547932,0.1614062218342816,0.8246824179781436,0.4514320217965666,0.9424372905349326,FALSE
PE 36:4,,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],-0.0403886636830373,0.4358968177808605,0.9296477161568748,0.4774158268013793,0.9827939830025284,0.7744781566339691,FALSE
Cholesteryl Acetate,HMDB03822,Cholesterol metabolism,Lipid metabolism,0.0494894954521442,-0.0891195608257587,0.7594543095230726,0.7687581227339435,0.9145337200554556,0.9269571401909784,FALSE
Oleoyl Ethanolamide,HMDB02088,N-acylethanolamine (NAE) metabolism,Lipid metabolism,0.0323129709330068,0.2372349635464775,0.8727817078233704,0.1942538386724143,0.9689763258231,0.574788243588648,TRUE
Taurine,HMDB00251,Taurine and hypotaurine metabolism,Amino acids,-0.4380893364819522,0.4706423684642907,0.2659175922312088,0.0558242678487695,0.5354141537644564,0.4132029385853039,FALSE
2-Ketoisovaleric acid,,"Valine, leucine, and isoleucine biosynthesis / degradation",Amino acids,0.1688659274219549,-0.4849447882192769,0.4753467610151611,0.0025090606365675,0.6932851934003419,0.1981528754208853,FALSE
Galactaric Acid,HMDB00639,"Galactose metabolism,  oxidation of galactose",Carbohydrate metabolism,-1.4075178272712976,-0.5227533383850759,0.0899304899559198,0.0659658793306915,0.3764494188759763,0.4132029385853039,TRUE
PI 40:5,,Glycerophosphoinositols [GP06],Glycerophospholipids [GP],-0.6028171884867698,-0.5706685203988968,0.2559740791422704,0.5285448309158576,0.5330681318111309,0.8026051136129689,TRUE
Tryptophan,HMDB00929,Tryptophan metabolism,Amino acids,-0.3891425488493399,-0.123719197272438,0.0906304259013127,0.2484857051987738,0.3764494188759763,0.6123882680035356,TRUE
Quinic Acid,HMDB03072,,,-3.7369440256938673,-2.510412946447793,0.0139546012138237,0.0972505431846943,0.214764716242019,0.4568749476697618,TRUE
Methionine,HMDB00696,Cysteine and methionine metabolism,Amino acids,0.0391755869940423,0.2091131078318054,0.8144809209712538,0.1275573817502868,0.9344317475142928,0.470632807493079,TRUE
Cys-Gly,HMDB00078,Glutathione metabolism,"Cofactor, vitamin and antioxidant metabolism",-1.00193097125804,-0.6039474340408516,0.0392727208479942,0.1157206391919165,0.3352311277389937,0.4683643946690702,TRUE
C-PAF/methylCarbamyl-PAF C-16,,Glycerophospholipid metabolism/PAF,Lipid metabolism,-2.1511762569423887,-1.9561454132318443,0.0082392909035636,0.0847944408946987,0.1792756055223667,0.4393682020118479,TRUE
4-Hydroxyphenyllactate,HMDB00755,Tyrosine metabolism,Amino acids,-0.9404372179805472,-0.1369515256026697,0.1358767154073086,0.5459711569422478,0.4202853305000577,0.8130780389674174,TRUE
Trimethyllysine,HMDB11691,Lysine degradation,Amino acids,-0.106249018537233,-0.3129151300807937,0.8170532282464411,0.4930525220969664,0.9356816461406612,0.786575210304444,TRUE
Ornithine,HMDB00214,Arginine and proline metabolism,Amino acids,-0.175413038417296,-0.6051121032006754,0.6460032973492719,0.1124991821447169,0.8268318065464312,0.4683643946690702,TRUE
5-Oxo-Proline,HMDB00267,Glutathione metabolism,"Cofactor, vitamin and antioxidant metabolism",-0.3663918378134246,-0.438227124001934,0.4419646225885415,0.1939995591999908,0.675253454850774,0.574788243588648,TRUE
PC 40:5,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],-0.0956975868495547,-0.1431899927929013,0.5904835269202743,0.3062643466081369,0.7765191914742525,0.6522357789806338,TRUE
4-Hydroxyphenylacetic Acid,HMDB00020,Tyrosine metabolism,Amino acids,-0.0293526048253386,0.1558928992090892,0.94139903771697,0.6265819031658157,0.993349151838475,0.8372740894061015,FALSE
PI 38:4,,Glycerophosphoinositols [GP06],Glycerophospholipids [GP],-0.2539760766961669,-0.2320299948716339,0.1946899482406227,0.3699316173942869,0.4953603118541651,0.6782079652228593,TRUE
PC 36:7,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],-0.1494282322294526,0.0082941359169141,0.5259174594991325,0.9610952076533676,0.7331855664766803,0.986479675918489,FALSE
Caffeine,HMDB01847,Caffeine metabolism,Caffeine metabolism,-2.122356111710077,-1.9281912660043825,0.2348041809849405,0.0539088342346629,0.5185424114097582,0.4132029385853039,TRUE
Glutamic Acid,HMDB00148,"Alanine, Aspartate, and Glutamate metabolism",Amino acids,-0.0028381974982843,-0.0775083691551461,0.9931824794238092,0.8120065651202202,0.9993027653760432,0.9409478282768764,TRUE
2-Hydroxybutyric acid,HMDB00008,Cysteine and methionine metabolism,Amino acids,1.2612024980729948,0.4051905990482283,0.0202892528669231,0.172318365040026,0.2612758889597659,0.5472928354440263,TRUE
2-Ketobutyric Acid,HMDB00005,"Glycine, serine, and threonine metabolism; Cysteine and methionine metabolism",Amino acids,-0.4923514379693823,-0.1462750198927629,0.4195151559009515,0.7444328617588669,0.6601348213803003,0.9188335127824035,TRUE
Corticosterone,HMDB01547,Steroid hormone biosynthesis,Lipid metabolism,0.6042683890535724,0.538147279965739,0.0679556231462549,0.2187785119283669,0.3543801504569161,0.5880403552006206,TRUE
Xanthurenic Acid,HMDB00881,Tryptophan metabolism,Amino acids,-0.2312582198791357,-0.4081336020690584,0.7767411113274909,0.2154943531166921,0.9195565501832024,0.5880403552006206,TRUE
Methylmalonic Acid,HMDB00202,"Valine, leucine, and isoleucine degradation; Propanoate metabolism",Amino acids,-1.0046466494414183,-0.493850688141992,0.0516394862988415,0.4708492539927202,0.3392006368211062,0.7666173774394109,TRUE
Lactose,HMDB00186,Galactose metabolism,Carbohydrate metabolism,-1.7381353263592252,-1.2478570888916694,0.2058130610864856,0.3645853178208785,0.5005175660219998,0.6753787462054534,TRUE
Glutaric Acid,HMDB00661,Lysine degradation,Amino acids,-0.1961548564217379,-0.0124708339647561,0.3913935828718039,0.966793828727211,0.6532195901831966,0.986479675918489,TRUE
Oxoglutaric Acid,HMDB00208,Citrate cycle (TCA cycle),Energy metabolism,-0.7018858741872562,,0.2500650181292729,,0.5243009334855013,,NA
PI 34:1,,Glycerophosphoinositols [GP06],Glycerophospholipids [GP],-0.0045787313153973,-0.3918860700936624,0.9894691726215186,0.5850258090965508,0.9993027653760432,0.8318047133454698,TRUE
Ketoleucine,HMDB00695,"Valine, Leucine and Isoleucine Degradation",Amino acids,0.3125664808466475,0.2376144403081949,0.3156877845765978,0.3933590239232667,0.5744416869956485,0.6984445660999736,TRUE
2-Aminobutyric Acid,HMDB00452,Cysteine and methionine metabolism,Amino acids,0.4321330201468757,-0.1168138442308658,0.0817598355448354,0.5227173983110849,0.3757060585861598,0.8023312309255253,FALSE
PE 36:2,,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],-0.6035293466567916,0.1729588906009005,0.0114432534922304,0.7912795761281852,0.2005748042665943,0.931279900761281,FALSE
Argininosuccinic Acid,HMDB00052,Arginine and Proline metabolism,Amino acids,-0.0515726330846358,0.2179859076300985,0.774589592115585,0.2444709525384556,0.9195565501832024,0.6106672304348486,FALSE
Pyruvate,HMDB00243,Glycolysis / Gluconeogenesis,Energy metabolism,-1.0122737714119754,-2.914061652325257,0.1657612357414264,0.0788020225797667,0.456748208527686,0.4393682020118479,TRUE
Deoxyribose,HMDB03224,Pentose phosphate pathway,Energy metabolism,-2.695772804259251,-0.1978503222191198,0.0936561456208021,0.6745614740308381,0.3764494188759763,0.8611912866684058,TRUE
5-Hydroxyisourate,HMDB11821,Purine metabolism,Purine  and pyrimidine metabolism/nucleotide metabolism,-0.6635082847813871,-0.1805789750321043,0.4124521959486417,0.4948446975003381,0.6555600394045161,0.786575210304444,TRUE
Glycerol 1-Phosphoserine,,Glycerophospholipid metabolism,Lipid metabolism,-0.5781755961061611,0.0873631769992357,0.3672260567781508,0.7526991185832974,0.6348483337726387,0.922465495872465,FALSE
Gluconic Acid,HMDB00625,,,-1.1404924531183744,-0.1632869237490132,0.1390768223348842,0.4791117643034975,0.4261741141960866,0.7744781566339691,TRUE
Cystine,HMDB00192,Cysteine and methionine metabolism,Amino acids,-0.2444184465689954,0.14677925343556,0.4013850953761544,0.3880109613783673,0.6532195901831966,0.6953615185590964,FALSE
1-Methylnicotinamide,HMDB01464,Nicotinate and nicotinamide metabolism,"Cofactor, vitamin and antioxidant metabolism",1.088132488082025,0.9096910112386708,0.0033390668125505,0.0799117772459048,0.1336486752807946,0.4393682020118479,TRUE
Ascorbic Acid,HMDB00044,Ascorbate and aldarate metabolism,"Cofactor, vitamin and antioxidant metabolism",-1.3221248758731945,-0.0882688145929671,0.1602873014561198,0.790358991908069,0.4514320217965666,0.931279900761281,TRUE
PC 36:1,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],-0.5208347998697523,-0.2456073853099356,0.0037944848787581,0.1311373044891549,0.1336486752807946,0.4726409543928665,TRUE
Pyrrole-2-Carboxylic Acid,HMDB04230,Oxidation derivative of hydroxyproline,Amino acids,,,,,,,NA
PC 32:0,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],-0.0472201978775933,-0.0020238272152343,0.7856941570164214,0.9898999055321436,0.9198015084923228,0.9943092592316188,TRUE
