metabolite_id,metabolite_name,HMDB_id,KEGG_id,pathway,super_pathway,chemical_class,formula,CAS_id
MET_0238,PC O-38:5,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C46H84NO7P,
MET_0239,PC 37:4,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C45H82NO8P,
MET_0240,PC O-38:4,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C46H86NO7P,
MET_0241,PC 38:2,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C46H88NO8P,
MET_0242,PC 39:6,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C47H82NO8P,
MET_0243,PC O-40:6,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C48H86NO7P,
MET_0244,PC 39:5,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C47H84NO8P,
MET_0245,PC O-40:5,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C48H88NO7P,
MET_0246,PC 40:4,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C48H88NO8P,
MET_0247,LPE O-16:1,,,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],Other,C21H44NO6P,
MET_0248,LPE 16:0,,,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],Other,C21H44NO7P,
MET_0249,LPE O-18:2,,,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],Other,C23H46NO6P,
MET_0250,LPE O-18:1,,,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],Other,C23H48NO6P,
MET_0251,LPE 17:0,,,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],Other,C22H46NO7P,
MET_0252,LPE 18:2,,,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],Other,C23H44NO7P,
MET_0253,LPE 18:1,,,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],Other,C23H46NO7P,
MET_0254,LPE 18:0,,,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],Other,C23H48NO7P,
MET_0255,LPE O-20:1,,,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],Other,C25H52NO6P,
MET_0256,LPE 22:6,,,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],Other,C27H44NO7P,
MET_0257,PE O-34:3,,,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],Other,C39H74NO7P,
MET_0258,PE O-34:2,,,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],Other,C39H76NO7P,
MET_0259,PE 34:3,,,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],Other,C39H72NO8P,
MET_0260,PE 34:2,,,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],Other,C39H74NO8P,
MET_0261,PE 34:0,,,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],Other,C39H78NO8P,
MET_0262,PE O-36:6,,,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],Other,C41H72NO7P,
MET_0263,PE O-36:5,,,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],Other,C41H74NO7P,
MET_0264,PE O-36:3,,,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],Other,C41H78NO7P,
MET_0265,PE 35:2,,,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],Other,C40H76NO8P,
MET_0266,PE O-36:2,,,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],Other,C41H80NO7P,
MET_0267,PE 35:1,,,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],Other,C40H78NO8P,
MET_0268,PE 36:5,,,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],Other,C41H72NO8P,
MET_0269,PE O-37:5,,,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],Other,C42H76NO7P,
MET_0270,PE 36:1,,,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],Other,C41H80NO8P,
MET_0271,PE O-38:7,,,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],Other,C43H74NO7P,
MET_0272,PE 37:4,,,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],Other,C42H76NO8P,
MET_0273,PE O-38:4,,,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],Other,C43H80NO7P,
MET_0274,PE 38:5,,,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],Other,C43H76NO8P,
MET_0275,PE O-40:8,,,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],Other,C45H76NO7P,
MET_0276,PE O-40:7,,,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],Other,C45H78NO7P,
MET_0277,PE 39:6,,,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],Other,C44H76NO8P,
MET_0278,PE 40:6,,,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],Other,C45H78NO8P,
MET_0279,PE 40:5,,,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],Other,C45H80NO8P,
MET_0280,PE 40:4,,,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],Other,C45H82NO8P,
MET_0281,SM 30:1;O2,,,Ceramide phosphocholines (sphingomyelins) [SP0301],Phosphosphingolipids [SP03],Lipid,C35H71N2O6P,
MET_0282,SM 32:1;O2,,,Ceramide phosphocholines (sphingomyelins) [SP0301],Phosphosphingolipids [SP03],Lipid,C37H75N2O6P,
MET_0283,SM 34:2;O2,,,Ceramide phosphocholines (sphingomyelins) [SP0301],Phosphosphingolipids [SP03],Lipid,C39H77N2O6P,
MET_0284,SM 34:1;O2,,,Ceramide phosphocholines (sphingomyelins) [SP0301],Phosphosphingolipids [SP03],Lipid,C39H79N2O6P,
MET_0285,SM 34:1;O3,,,Ceramide phosphocholines (sphingomyelins) [SP0301],Phosphosphingolipids [SP03],Lipid,C39H79N2O7P,
MET_0286,SM 42:3;O2,,,Ceramide phosphocholines (sphingomyelins) [SP0301],Phosphosphingolipids [SP03],Lipid,C47H91N2O6P,
MET_0287,SM 31:1;O2,,,Phosphosphingolipids [SP03],Sphingolipids [SP],Lipid,C36H73N2O6P,
MET_0288,SM 32:0;O2,,,Phosphosphingolipids [SP03],Sphingolipids [SP],Lipid,C37H77N2O6P,
MET_0289,SM 32:2;O2,,,Phosphosphingolipids [SP03],Sphingolipids [SP],Lipid,C37H73N2O6P,
MET_0290,SM 33:1;O2,,,Phosphosphingolipids [SP03],Sphingolipids [SP],Lipid,C38H77N2O6P,
MET_0291,SM 34:0;O2,,,Phosphosphingolipids [SP03],Sphingolipids [SP],Lipid,C39H81N2O6P,
MET_0292,SM 34:3;O2,,,Phosphosphingolipids [SP03],Sphingolipids [SP],Lipid,C39H75N2O6P,
MET_0293,SM 35:1;O2,,,Phosphosphingolipids [SP03],Sphingolipids [SP],Lipid,C40H81N2O6P,
MET_0294,SM 35:2;O2,,,Phosphosphingolipids [SP03],Sphingolipids [SP],Lipid,C40H79N2O6P,
MET_0295,SM 36:1;O2,,,Phosphosphingolipids [SP03],Sphingolipids [SP],Lipid,C41H83N2O6P,
MET_0296,SM 36:2;O2,,,Phosphosphingolipids [SP03],Sphingolipids [SP],Lipid,C41H81N2O6P,
MET_0297,SM 36:3;O2,,,Phosphosphingolipids [SP03],Sphingolipids [SP],Lipid,C41H79N2O6P,
MET_0298,SM 37:2;O2,,,Phosphosphingolipids [SP03],Sphingolipids [SP],Lipid,C42H83N2O6P,
MET_0299,SM 38:1;O2,,,Phosphosphingolipids [SP03],Sphingolipids [SP],Lipid,C43H87N2O6P,
MET_0300,SM 38:2;O2,,,Phosphosphingolipids [SP03],Sphingolipids [SP],Lipid,C43H85N2O6P,
MET_0301,SM 38:3;O2,,,Phosphosphingolipids [SP03],Sphingolipids [SP],Lipid,C43H83N2O6P,
MET_0302,SM 39:1;O2,,,Phosphosphingolipids [SP03],Sphingolipids [SP],Lipid,C44H89N2O6P,
MET_0303,SM 40:1;O2,,,Phosphosphingolipids [SP03],Sphingolipids [SP],Lipid,C45H91N2O6P,
MET_0304,SM 40:2;O2,,,Phosphosphingolipids [SP03],Sphingolipids [SP],Lipid,C45H89N2O6P,
MET_0305,SM 40:3;O2,,,Phosphosphingolipids [SP03],Sphingolipids [SP],Lipid,C45H87N2O6P,
MET_0306,SM 41:0;O2,,,Phosphosphingolipids [SP03],Sphingolipids [SP],Lipid,C46H95N2O6P,
MET_0307,SM 41:1;O2,,,Phosphosphingolipids [SP03],Sphingolipids [SP],Lipid,C46H93N2O6P,
MET_0308,SM 41:2;O2,,,Phosphosphingolipids [SP03],Sphingolipids [SP],Lipid,C46H91N2O6P,
MET_0309,SM 42:1;O2,,,Phosphosphingolipids [SP03],Sphingolipids [SP],Lipid,C47H95N2O6P,
MET_0310,SM 42:2;O2,,,Phosphosphingolipids [SP03],Sphingolipids [SP],Lipid,C47H93N2O6P,
MET_0311,SM 43:1;O2,,,Phosphosphingolipids [SP03],Sphingolipids [SP],Lipid,C48H97N2O6P,
MET_0312,SM 43:2;O2,,,Phosphosphingolipids [SP03],Sphingolipids [SP],Lipid,C48H95N2O6P,
MET_0313,SM 44:1;O2,,,Phosphosphingolipids [SP03],Sphingolipids [SP],Lipid,C49H99N2O6P,
MET_0314,SM 44:2;O2,,,Phosphosphingolipids [SP03],Sphingolipids [SP],Lipid,C49H97N2O6P,
MET_0315,SM 44:3;O2,,,Phosphosphingolipids [SP03],Sphingolipids [SP],Lipid,C49H95N2O6P,
MET_0316,Sph 18:1;O2,,,Phosphosphingolipids [SP03],Sphingolipids [SP],Lipid,C18H37NO2,
MET_0317,Cer 42:0;O2,,,	Ceramides [SP02]	,	Ceramides [SP02]	,Other,C42H85NO3,
MET_0318,Cer 42:1;O2,,,	Ceramides [SP02]	,	Ceramides [SP02]	,Other,C42H83NO3,
MET_0319,Cer 32:1;O2,,,	Ceramides [SP02]	,	Ceramides [SP02]	,Other,C32H63NO3,
MET_0320,Cer 34:1;O2,,,	Ceramides [SP02]	,	Ceramides [SP02]	,Other,C34H67NO3,
MET_0321,Cer 36:1;O2,,,	Ceramides [SP02]	,	Ceramides [SP02]	,Other,C36H71NO3,
MET_0322,Cer 38:1;O2,,,	Ceramides [SP02]	,	Ceramides [SP02]	,Other,C38H75NO3,
MET_0323,Cer 39:1;O2,,,	Ceramides [SP02]	,	Ceramides [SP02]	,Other,C39H77NO3,
MET_0324,Cer 40:2;O2,,,	Ceramides [SP02]	,	Ceramides [SP02]	,Other,C40H77NO3,
MET_0325,Cer 41:1;O2,,,	Ceramides [SP02]	,	Ceramides [SP02]	,Other,C41H81NO3,
MET_0326,Cer 41:2;O2,,,	Ceramides [SP02]	,	Ceramides [SP02]	,Other,C41H79NO3,
MET_0327,Cer 40:1;O2,,,	Ceramides [SP02]	,	Ceramides [SP02]	,Other,C40H79NO3,
MET_0328,Cer 42:2;O2,,,	Ceramides [SP02]	,	Ceramides [SP02]	,Other,C42H81NO3,
MET_0329,Cer 44:1;O2,,,	Ceramides [SP02]	,	Ceramides [SP02]	,Other,C44H87NO3,
MET_0330,Cer 34:2;O2,,,	Ceramides [SP02]	,	Ceramides [SP02]	,Other,C34H65NO3,
MET_0331,Cer 42:3;O2,,,	Ceramides [SP02]	,	Ceramides [SP02]	,Other,C42H79NO3,
MET_0332,Cer 43:1;O2,,,	Ceramides [SP02]	,	Ceramides [SP02]	,Other,C43H85NO3,
MET_0333,Cer 43:2;O2,,,	Ceramides [SP02]	,	Ceramides [SP02]	,Other,C43H83NO3,
MET_0334,dhCer 40:0;O2,,,	Ceramides [SP02]	,	Ceramides [SP02]	,Other,C40H81NO3,
MET_0335,dhCer 42:0;O2,,,	Ceramides [SP02]	,	Ceramides [SP02]	,Other,C42H85NO3,
MET_0336,dhCer 42:1;O2,,,	Ceramides [SP02]	,	Ceramides [SP02]	,Other,C42H83NO3,
MET_0337,Cer 40:0;O,,,	Ceramides [SP02]	,	Ceramides [SP02]	,Other,C40H81NO2,
MET_0338,Cer 40:1;O,,,	Ceramides [SP02]	,	Ceramides [SP02]	,Other,C40H79NO2,
MET_0339,HexCer 34:1;O2,,,	Ceramides [SP02]	,	Ceramides [SP02]	,Other,C40H77NO8,
MET_0340,HexCer 38:1;O2,,,	Ceramides [SP02]	,	Ceramides [SP02]	,Other,C44H85NO8,
MET_0341,HexCer 40:1;O2,,,	Ceramides [SP02]	,	Ceramides [SP02]	,Other,C46H89NO8,
MET_0342,Hex2Cer 34:1;O2,,,	Ceramides [SP02]	,	Ceramides [SP02]	,Other,C46H87NO13,
MET_0343,Hex2Cer 40:1;O2,,,	Ceramides [SP02]	,	Ceramides [SP02]	,Other,C52H99NO13,
MET_0344,Hex2Cer 42:1;O2,,,	Ceramides [SP02]	,	Ceramides [SP02]	,Other,C54H103NO13,
MET_0345,Hex2Cer 42:2;O2,,,	Ceramides [SP02]	,	Ceramides [SP02]	,Other,C54H101NO13,
MET_0346,Hex2Cer 34:2;O2,,,	Ceramides [SP02]	,	Ceramides [SP02]	,Other,C46H85NO13,
MET_0347,Hex3Cer 34:1;O2,,,	Ceramides [SP02]	,	Ceramides [SP02]	,Other,C52H97NO18,
MET_0348,Hex3Cer 36:1;O2,,,	Ceramides [SP02]	,	Ceramides [SP02]	,Other,C54H101NO18,
MET_0349,Hex3Cer 40:1;O2,,,	Ceramides [SP02]	,	Ceramides [SP02]	,Other,C58H109NO18,
MET_0350,Hex3Cer 42:2;O2,,,	Ceramides [SP02]	,	Ceramides [SP02]	,Other,C60H111NO18,
MET_0351,GM3 34:1;O2,,,	Ceramides [SP02]	,	Ceramides [SP02]	,Other,C57H104N2O21,
MET_0352,GM3 36:1;O2,,,	Ceramides [SP02]	,	Ceramides [SP02]	,Other,C59H108N2O21,
MET_0353,GM3 38:1;O2,,,	Ceramides [SP02]	,	Ceramides [SP02]	,Other,C61H112N2O21,
MET_0354,GM3 40:1;O2,,,	Ceramides [SP02]	,	Ceramides [SP02]	,Other,C63H116N2O21,
MET_0355,GM3 42:1;O2,,,	Ceramides [SP02]	,	Ceramides [SP02]	,Other,C65H120N2O21,
MET_0356,S1P 18:0;O2,,,	Ceramides [SP02]	,	Ceramides [SP02]	,Other,C18H40NO5P,
MET_0357,S1P 18:1;O2,,,Phosphosphingolipids [SP03],Sphingolipids [SP],Lipid,C18H38NO5P,
MET_0358,LPI 18:1,,,Glycerophosphoinositols [GP06],Glycerophospholipids [GP],Lipid,C27H54NO12P,
MET_0359,PI 32:0,,,Glycerophosphoinositols [GP06],Glycerophospholipids [GP],Lipid,C41H82NO13P,
MET_0360,PI 34:0,,,Glycerophosphoinositols [GP06],Glycerophospholipids [GP],Lipid,C43H86NO13P,
MET_0361,PI 35:2,,,Glycerophosphoinositols [GP06],Glycerophospholipids [GP],Lipid,C44H84NO13P,
MET_0362,PI 35:1,,,Glycerophosphoinositols [GP06],Glycerophospholipids [GP],Lipid,C44H86NO13P,
MET_0363,PI 36:1,,,Glycerophosphoinositols [GP06],Glycerophospholipids [GP],Lipid,C45H88NO13P,
MET_0364,PI 38:6,,,Glycerophosphoinositols [GP06],Glycerophospholipids [GP],Lipid,C47H82NO13P,
MET_0365,PI 38:5,,,Glycerophosphoinositols [GP06],Glycerophospholipids [GP],Lipid,C47H84NO13P,
MET_0366,PI 40:4,,,Glycerophosphoinositols [GP06],Glycerophospholipids [GP],Lipid,C49H90NO13P,
MET_0367,PA 34:1,,,Glycerophosphates [GP10],Glycerophospholipids [GP],Lipid,C37H74NO8P,
MET_0368,PA 36:3,,,Glycerophosphates [GP10],Glycerophospholipids [GP],Lipid,C39H74NO8P,
MET_0369,PA 36:4,,,Glycerophosphates [GP10],Glycerophospholipids [GP],Lipid,C39H72NO8P,
MET_0370,PG 32:0,,,"
Glycerophosphoglycerols [GP04]",Glycerophospholipids [GP],Lipid,C38H75O10P,
MET_0371,PG 34:0,,,"
Glycerophosphoglycerols [GP04]",Glycerophospholipids [GP],Lipid,C40H79O10P,
MET_0372,PG 36:0,,,"
Glycerophosphoglycerols [GP04]",Glycerophospholipids [GP],Lipid,C42H83O10P,
MET_0373,PG 34:1,,,"
Glycerophosphoglycerols [GP04]",Glycerophospholipids [GP],Lipid,C40H77O10P,
MET_0374,PG 36:1,,,"
Glycerophosphoglycerols [GP04]",Glycerophospholipids [GP],Lipid,C42H81O10P,
MET_0375,PG 36:2,,,"
Glycerophosphoglycerols [GP04]",Glycerophospholipids [GP],Lipid,C42H79O10P,
MET_0376,PG 36:3,,,"
Glycerophosphoglycerols [GP04]",Glycerophospholipids [GP],Lipid,C42H77O10P,
MET_0377,NAE 16:0/Palmitoylethanolamide,,,"
N-acyl ethanolamines","
Fatty amides",Other,C18H37NO2,
MET_0378,NAE 20:0/Eicosanoyl-EA,,,"
N-acyl ethanolamines","
Fatty amides",Other,C22H45NO2,
MET_0379,NAE 20:1,,,"
N-acyl ethanolamines","
Fatty amides",Other,C22H43NO2,
MET_0380,NAE 18:1/Oleoyl-EA,,,"
N-acyl ethanolamines","
Fatty amides",Other,C20H39NO2,
MET_0381,NAE 18:0/ Stearoyl-EA,,,"
N-acyl ethanolamines","
Fatty amides",Other,C20H41NO2,
MET_0382,CE 15:0,,,Sterols [ST01],"Sterol Lipids [ST]
",Lipid,C42H77NO2,
MET_0383,CE 16:0,,,Sterols [ST01],"Sterol Lipids [ST]
",Lipid,C43H79NO2,
MET_0384,CE 17:0,,,Sterols [ST01],"Sterol Lipids [ST]
",Lipid,C44H81NO2,
MET_0385,CE 18:1,,,Sterols [ST01],"Sterol Lipids [ST]
",Lipid,C45H81NO2,
MET_0386,CE 18:2,,,Sterols [ST01],"Sterol Lipids [ST]
",Lipid,C45H79NO2,
MET_0387,CE 18:3,,,Sterols [ST01],"Sterol Lipids [ST]
",Lipid,C45H77NO2,
MET_0388,CE 20:3,,,Sterols [ST01],"Sterol Lipids [ST]
",Lipid,C47H81NO2,
MET_0389,CE 20:4,,,Sterols [ST01],"Sterol Lipids [ST]
",Lipid,C47H79NO2,
MET_0390,CE 20:5,,,Sterols [ST01],"Sterol Lipids [ST]
",Lipid,C47H77NO2,
MET_0391,CE 22:4,,,Sterols [ST01],"Sterol Lipids [ST]
",Lipid,C49H83NO2,
MET_0392,CE 22:5,,,Sterols [ST01],"Sterol Lipids [ST]
",Lipid,C49H81NO2,
MET_0393,CE 22:6,,,Sterols [ST01],"Sterol Lipids [ST]
",Lipid,C49H79NO2,
MET_0394,CE 19:2,,,Sterols [ST01],"Sterol Lipids [ST]
",Lipid,C46H81NO2,
MET_0395,2-AG,,,Monoacylglycerophosphocholines [GP0105],"Glycerolipids [GL]
",Lipid,C23H38O4,
MET_0396,DG 34:1,,,Diradylglycerols [GL02],"Glycerolipids [GL]
",Lipid,C37H73NO5,
MET_0397,DG 34:2,,,Diradylglycerols [GL02],"Glycerolipids [GL]
",Lipid,C37H71NO5,
MET_0398,DG 36:1,,,Diradylglycerols [GL02],"Glycerolipids [GL]
",Lipid,C39H77NO5,
MET_0399,DG 36:2,,,Diradylglycerols [GL02],"Glycerolipids [GL]
",Lipid,C39H75NO5,
MET_0400,DG 36:3,,,Diradylglycerols [GL02],"Glycerolipids [GL]
",Lipid,C39H73NO5,
MET_0401,DG 36:4,,,Diradylglycerols [GL02],"Glycerolipids [GL]
",Lipid,C39H71NO5,
MET_0402,DG 38:5,,,Diradylglycerols [GL02],"Glycerolipids [GL]
",Lipid,C41H73NO5,
MET_0403,DG 40:7,,,Diradylglycerols [GL02],"Glycerolipids [GL]
",Lipid,C43H73NO5,
MET_0404,DG 40:8,,,Diradylglycerols [GL02],"Glycerolipids [GL]
",Lipid,C43H71NO5,
MET_0405,TG 48:3,,,Triradylglycerols [GL03],"Glycerolipids [GL]
",Lipid,C51H95NO6,
MET_0406,TG 48:2,,,Triradylglycerols [GL03],"Glycerolipids [GL]
",Lipid,C51H97NO6,
MET_0407,TG 48:1,,,Triradylglycerols [GL03],"Glycerolipids [GL]
",Lipid,C51H99NO6,
MET_0408,TG 48:0,,,Triradylglycerols [GL03],"Glycerolipids [GL]
",Lipid,C51H101NO6,
MET_0409,TG 49:1,,,Triradylglycerols [GL03],"Glycerolipids [GL]
",Lipid,C52H101NO6,
MET_0410,TG 50:4,,,Triradylglycerols [GL03],"Glycerolipids [GL]
",Lipid,C53H97NO6,
MET_0411,TG 50:3,,,Triradylglycerols [GL03],"Glycerolipids [GL]
",Lipid,C53H99NO6,
MET_0412,TG 50:2,,,Triradylglycerols [GL03],"Glycerolipids [GL]
",Lipid,C53H101NO6,
MET_0413,TG 50:1,,,Triradylglycerols [GL03],"Glycerolipids [GL]
",Lipid,C53H103NO6,
MET_0414,TG 50:0,,,Triradylglycerols [GL03],"Glycerolipids [GL]
",Lipid,C53H105NO6,
MET_0415,TG 51:2,,,Triradylglycerols [GL03],"Glycerolipids [GL]
",Lipid,C54H103NO6,
MET_0416,TG 51:1,,,Triradylglycerols [GL03],"Glycerolipids [GL]
",Lipid,C54H105NO6,
MET_0417,TG 51:0,,,Triradylglycerols [GL03],"Glycerolipids [GL]
",Lipid,C54H107NO6,
MET_0418,TG 52:5,,,Triradylglycerols [GL03],"Glycerolipids [GL]
",Lipid,C55H99NO6,
MET_0419,TG 52:4,,,Triradylglycerols [GL03],"Glycerolipids [GL]
",Lipid,C55H101NO6,
MET_0420,TG 52:3,,,Triradylglycerols [GL03],"Glycerolipids [GL]
",Lipid,C55H103NO6,
MET_0421,TG 52:2,,,Triradylglycerols [GL03],"Glycerolipids [GL]
",Lipid,C55H105NO6,
MET_0422,TG 52:1,,,Triradylglycerols [GL03],"Glycerolipids [GL]
",Lipid,C55H107NO6,
MET_0423,TG 53:2,,,Triradylglycerols [GL03],"Glycerolipids [GL]
",Lipid,C56H107NO6,
MET_0424,TG 54:7,,,Triradylglycerols [GL03],"Glycerolipids [GL]
",Lipid,C57H99NO6,
MET_0425,TG 54:6,,,Triradylglycerols [GL03],"Glycerolipids [GL]
",Lipid,C57H101NO6,
MET_0426,TG 54:5,,,Triradylglycerols [GL03],"Glycerolipids [GL]
",Lipid,C57H103NO6,
MET_0427,TG 54:4,,,Triradylglycerols [GL03],Glycerolipids [GL],Lipid,C57H105NO6,
MET_0428,TG 54:3,,,Triradylglycerols [GL03],Glycerolipids [GL],Lipid,C57H107NO6,
MET_0429,TG 54:2,,,Triradylglycerols [GL03],Glycerolipids [GL],Lipid,C57H109NO6,
MET_0430,TG 56:9,,,Triradylglycerols [GL03],Glycerolipids [GL],Lipid,C59H99NO6,
MET_0431,TG 56:8,,,Triradylglycerols [GL03],Glycerolipids [GL],Lipid,C59H101NO6,
MET_0432,TG 56:7,,,Triradylglycerols [GL03],Glycerolipids [GL],Lipid,C59H103NO6,
MET_0433,TG 56:6,,,Triradylglycerols [GL03],Glycerolipids [GL],Lipid,C59H105NO6,
MET_0434,TG 58:10,,,Triradylglycerols [GL03],Glycerolipids [GL],Lipid,C61H101NO6,
MET_0435,Alanine,HMDB00161,C00041,"Alanine, Aspartate, and Glutamate metabolism",Amino acids,Amino acid,C3H7NO2,56-41-7
MET_0436,Succinic Semialdehyde,HMDB01259,C00232,"Alanine, Aspartate, and Glutamate metabolism",Amino acids,Amino acid,C4H6O3,692-29-5
MET_0437,4-Aminobutanoate (GABA),HMDB00112,C00334,"Alanine, Aspartate, and Glutamate metabolism",Amino acids,Amino acid,C4H9NO2,56-12-2
MET_0438,Asparagine,HMDB00168,C00152,"Alanine, Aspartate, and Glutamate metabolism",Amino acids,Amino acid,C4H8N2O3,70-47-3
MET_0439,Glutamine,HMDB00641,C00064,"Alanine, Aspartate, and Glutamate metabolism",Amino acids,Amino acid,C5H10N2O3,56-85-9
MET_0440,Glutamic Acid,HMDB00148,C00025,"Alanine, Aspartate, and Glutamate metabolism",Amino acids,Amino acid,C5H9NO4,56-86-0
MET_0441,3-Hydroxyglutaric Acid,HMDB00428,,"Alanine, Aspartate, and Glutamate metabolism, glutamate degradation",Amino acids,Amino acid,C5H8O5,
MET_0442,N-Acetylaspartic Acid,HMDB00812,C01042,"Alanine, aspartate, and glutamate metabolism",Amino acids,Amino acid,C6H9NO5,997-55-7
MET_0443,N-Acetylaspartiylglutamate (NAAG),HMDB01067,C12270,"Alanine, aspartate, and glutamate metabolism",Amino acids,Amino acid,C11H16N2O8,
MET_0444,Urea,HMDB00294,C00086,Arginine and Proline metabolism,Amino acids,Amino acid,CH4N2O,57-13-6
MET_0445,Creatinine,HMDB00562,C00791,Arginine and Proline metabolism,Amino acids,Amino acid,C4H7N3O,60-27-5
MET_0446,Proline,HMDB00162,C00148,Arginine and Proline metabolism,Amino acids,Amino acid,C5H9NO2,
MET_0447,4-Hydroxy-Proline,,C01157,Arginine and Proline metabolism,Amino acids,Amino acid,C5H9NO3,2584-71-6
MET_0448,Ornithine,HMDB00214,C00077,Arginine and proline metabolism,Amino acids,Amino acid,C5H12N2O2,70-26-8
MET_0449,Arginine,HMDB00517,C00062,Arginine and Proline metabolism,Amino acids,Amino acid,C6H14N4O2,74-79-3
MET_0450,Citrulline,HMDB00904,C00327,Arginine and Proline metabolism,Amino acids,Amino acid,C6H13N3O3,372-75-8
MET_0451,N-Acetydglutamic Acid,HMDB01138,C00624,Arginine and proline metabolism,Amino acids,Amino acid,C7H11NO5,1188-37-0
MET_0452,Dimethylarginine,HMDB03334,,Arginine and Proline metabolism,Amino acids,Amino acid,C8H18N4O2,30344-00-4
MET_0453,Argininosuccinic Acid,HMDB00052,C03406,Arginine and Proline metabolism,Amino acids,Amino acid,C10H18N4O6,2387-71-5
MET_0454,Phosphocreatine,HMDB01511,C02305,"Arginine and Proline metabolism,Creatine metabolism",Amino acids,Amino acid,C4H10N3O5P,67-07-2
MET_0455,Guanidinosuccinic Acid,HMDB03157,C03139,"Arginine and Proline metabolism,L-Arginosuccinate oxidation",Amino acids,Amino acid,C5H9N3O4,6133-30-8
MET_0456,Pyrrole-2-Carboxylic Acid,HMDB04230,C05942,Oxidation derivative of hydroxyproline,Amino acids,Amino acid,C5H5NO2,634-97-9
MET_0457,Proline Betaine,HMDB04827,C10172,"Arginine and Proline metabolism, osmolyte",Amino acids,Amino acid,C7H13NO2,471-87-4
MET_0458,Sulfite,HMDB00240,C00094,Cysteine and Methionine metabolism,Amino acids,Amino acid,H2O3S,14265-45-3
MET_0459,Thiosulfate,HMDB00257,C00320,Cysteine and Methionine metabolism,Amino acids,Amino acid,H2O3S2,
MET_0460,Homocysteine Thiolactone,HMDB02287,,Cysteine and methionine metabolism,Amino acids,Amino acid,C4H7NOS,31828-68-9
MET_0461,Methionine,HMDB00696,C00073,Cysteine and methionine metabolism,Amino acids,Amino acid,C5H11NO2S,63-68-3
MET_0462,N-Formylmethionine,HMDB01015,C03145,Cysteine and Methionine metabolism,Amino acids,Amino acid,C6H11NO3S,4289-98-9
MET_0463,Cysteine-S-Sulfonic Acid,HMDB00731,C05824,Cysteine and Methionine metabolism,Amino acids,Amino acid,C3H7NO5S2,1637-71-4
MET_0464,O-Succinylhomoserine,,C01118,Cysteine and methionine metabolism,Amino acids,Amino acid,C8H13NO6,1492-23-5
MET_0465,Methionine  Lactamide,,,"Cysteine and methionine metabolism,  from msms fragmentation",Amino acids,Amino acid,C8H15NO4S,
MET_0466,Cystine,HMDB00192,C00491,Cysteine and methionine metabolism,Amino acids,Amino acid,C6H12N2O4S2,56-89-3
MET_0467,2-Hydroxybutyric acid,HMDB00008,C05984,Cysteine and methionine metabolism,Amino acids,Amino acid,C4H8O3,600-15-7
