metabolite_name,super_pathway,sub_pathway,log2FC_R1,pvalue_R1,log2FC_R39,pvalue_R39,recovery_pattern
"12,13 DiHOME",Fatty acid metabolism,Fatty acid metabolism,-0.4366972591966132,0.459638990390197,,,stable
CAR 3:0,Fatty acid metabolism,Acylcarnitine metabolism,-0.1462522130750276,0.3854001525365487,0.0815501463261272,0.5651186288268621,stable
CAR 4:0,Fatty acid metabolism,Acylcarnitine metabolism,0.0537021197085192,0.8843344680693678,-0.1298852820782681,0.6798995493388402,stable
CAR 5:1,Fatty acid metabolism,Acylcarnitine metabolism,0.3941911502187908,0.0649259162411028,0.4306891548232378,0.0451385316885754,stable
CAR 5:0,Fatty acid metabolism,Acylcarnitine metabolism,-0.0366945744197459,0.9099983783096728,-0.2378636677173785,0.4144036147643861,stable
"CAR 5:0,iso",Fatty acid metabolism,Acylcarnitine metabolism,-0.0366945744197459,0.9099983783096728,-0.2378636677173785,0.4144036147643861,stable
CAR 6:1,Fatty acid metabolism,Acylcarnitine metabolism,0.0315551917881921,0.8120443986549832,-0.0190607871546202,0.8889494056918998,stable
CAR 6:0,Fatty acid metabolism,Acylcarnitine metabolism,0.7426952161126549,0.1041818057909721,-0.2699321831462656,0.6424082686059767,full_recovery
CAR 8:1,Fatty acid metabolism,Acylcarnitine metabolism,-0.2716089259541707,0.5573837553774708,-0.2785670120252087,0.5476160541777381,stable
CAR 8:0,Fatty acid metabolism,Acylcarnitine metabolism,1.413925294842397,0.0058434991683692,-0.4365597031934899,0.5748227270029498,full_recovery
CAR 8:0;O,Fatty acid metabolism,Acylcarnitine metabolism,0.5352086501858102,0.2509332518425061,-0.502894025972864,0.4561533801887976,persistent
CAR 10:1,Fatty acid metabolism,Acylcarnitine metabolism,0.8960291777724392,0.0386256433398683,-0.6159145891782312,0.3610044423520128,partial_recovery
CAR  10:0,Fatty acid metabolism,Acylcarnitine metabolism,1.5500377870337274,0.0050466386132391,-0.7151924041739598,0.4516141666013683,full_recovery
CAR 10:0;O,Fatty acid metabolism,Acylcarnitine metabolism,0.9892914923546564,0.0561635495084895,-0.64097815560132,0.4647338530150051,partial_recovery
CAR 12:1,Fatty acid metabolism,Acylcarnitine metabolism,1.0715422040811764,0.0563166128589992,-0.8931089464306116,0.3834913041569801,persistent
CAR 12:0,Fatty acid metabolism,Acylcarnitine metabolism,1.1090378917275687,0.0398149103477154,-0.8962654135734296,0.3361466340909115,persistent
CAR 14:2,Fatty acid metabolism,Acylcarnitine metabolism,1.1610510604861444,0.0254842807699376,-0.6066950290322299,0.4901372301464481,partial_recovery
CAR 14:1,Fatty acid metabolism,Acylcarnitine metabolism,0.7797748864717516,0.192137595387144,-0.890345631545961,0.3763736248480682,persistent
CAR 14:0,Fatty acid metabolism,Acylcarnitine metabolism,0.282999516898993,0.3932733789778977,-0.4607541480502445,0.250525288617475,stable
CAR 16:2,Fatty acid metabolism,Acylcarnitine metabolism,0.9259315572742738,0.0957940280261505,-0.6763253484198821,0.4450523787519678,partial_recovery
CAR 16:1,Lipid metabolism,Carnitine metabolism,0.3399090820710715,0.5141943369851023,-0.6874266923813629,0.3107568798603668,stable
CAR 16:0,Lipid metabolism,Carnitine metabolism,0.0125238266348886,0.9648312667845522,-0.1738880063884399,0.5125566508729493,stable
CAR 17:0,Fatty acid metabolism,Acylcarnitine metabolism,-0.3608546404566654,0.3970921509307947,-0.3158752284981742,0.4176285111964183,stable
CAR 18:3,Fatty acid metabolism,Acylcarnitine metabolism,0.0114621944484699,0.9676492407234518,-0.3291070153325584,0.3008663570829018,stable
CAR 18:1,Fatty acid metabolism,Acylcarnitine metabolism,-0.0528255026172599,0.871182956142316,-0.4081752057742767,0.2388441364234799,stable
CAR 18:0,Fatty acid metabolism,Acylcarnitine metabolism,-0.0405076915723232,0.8894845127531157,-0.2480607104494664,0.4160448292040505,stable
CAR 20:0,Fatty acid metabolism,Acylcarnitine metabolism,-0.1218546751126707,0.7005686951002033,-0.375099179269916,0.2693129126364568,stable
CAR 10:0,Fatty acid metabolism,Acylcarnitine metabolism,1.7235445666727414,0.0011695485932771,-0.3178428634202559,0.6905711520881767,full_recovery
CAR 13:0,Fatty acid metabolism,Acylcarnitine metabolism,0.3432021411124198,0.3554468985235708,-0.3389036094957421,0.4334882415807717,stable
CAR 14:0;O,Fatty acid metabolism,Acylcarnitine metabolism,0.4441502733882865,0.1550738147963594,-0.2114614487031318,0.5813698311807767,stable
CAR 14:1;O,Fatty acid metabolism,Acylcarnitine metabolism,0.4737427342696069,0.1868236504232725,-0.1769691706488065,0.7181075066635807,stable
CAR 16:0;O,Fatty acid metabolism,Acylcarnitine metabolism,0.5777360430237312,0.0706459621082706,0.1131590260656621,0.7531476679319067,full_recovery
CAR 18:2,Fatty acid metabolism,Acylcarnitine metabolism,0.2285098238017117,0.2464201348220039,-0.0747240762686282,0.7055900355241048,stable
CAR 24:0,Fatty acid metabolism,Acylcarnitine metabolism,-0.2170644155117627,0.4012818334507885,0.0874070857100709,0.6842638466703497,stable
CAR 26:0,Fatty acid metabolism,Acylcarnitine metabolism,0.0342227591772996,0.9182244976090732,0.0240424002404216,0.946043426443301,stable
Deoxycarnitine,Lipid metabolism,Carnitine metabolism,0.292978505371553,0.1037291365234527,-0.0797942109213373,0.6580799852887893,stable
Carnitine,Lipid metabolism,Carnitine metabolism,0.1423730442217405,0.2088736574438447,-0.1159190900793685,0.3419231365875009,stable
Acetylcarnitine,Lipid metabolism,Carnitine metabolism,0.1812172753145605,0.6907142331881059,-0.4645715450238857,0.397818333555952,stable
Methylglutarylcarnitine/C4:1;O2,Fatty acid metabolism,Acylcarnitine metabolism,-0.0317211620161135,0.8739066027698863,0.0114218723396345,0.952917774346188,stable
Linoleyl Carnitine/CAR 18:2,Fatty acid metabolism,Acylcarnitine metabolism,0.0445631217714409,0.8211734953223998,-0.2418044899916074,0.2730588396942279,stable
Glutarylcarnitine/CAR 5:1;O2,Fatty acid metabolism,Acylcarnitine metabolism,-0.043435581967449,0.8947187489452935,-0.1493752474617956,0.6818437758291878,stable
3-Methylglutarylcarnitine/CAR 6:1;O2,Fatty acid metabolism,Acylcarnitine metabolism,0.1882039196701585,0.4029828795840574,-0.1297193295037368,0.6121890101543259,stable
Pimelylcarnitine/CAR 7:1;O2,Fatty acid metabolism,Acylcarnitine metabolism,-0.0320606929712314,0.9152572937827712,-0.3608558218303239,0.3272507880548315,stable
Keto-decanoylcarnitine/CAR 10:1:O,Fatty acid metabolism,Acylcarnitine metabolism,-0.2777241721494665,0.2620614872728251,-0.0893180454990863,0.675574818189933,stable
Undecanoyl carnitine/CAR 11:0,Fatty acid metabolism,Acylcarnitine metabolism,-0.0896180585721659,0.912934144347068,-2.1490255382202026,0.3220469032207854,stable
Isovaleric Acid/FA 5:0,Lipid metabolism,"Fatty Acid metabolism, Branched fatty acids",-0.5360406778484266,0.3987940317782956,-0.465362550114351,0.4511528381703442,persistent
Mevalolactone/FA 6:1;O,Lipid metabolism,"Fatty Acid metabolism, Biosynthesis of terpenes and steroids",0.3108362808717889,0.3178817799189484,-0.3981439529512662,0.1908989535722662,stable
Ethylmalonic Acid/FA 5:1;O2,Lipid metabolism,"Fatty Acid metabolism, dicarboxylic acid",-1.0102886151053605,0.3100334553394316,-0.90805553265902,0.3285375434391048,persistent
Suberic Acid/FA 8:1;O2,Lipid metabolism,"Fatty acid breakdown, dicarboxylic acid",-0.1157487639971246,0.7274996628679505,-0.5916155286294192,0.1398577340939897,stable
Caproic Acid/FA 6:0,Lipid metabolism,Fatty acid biosynthesis; Beta oxidation of fatty acids,1.8634667836988703,0.3524608103094714,1.137721121050267,0.2567394988650596,partial_recovery
5-Hydroxyhexanoic Acid/FA 6:0;O,Lipid metabolism,Fatty acid metabolism,0.3879283520700906,0.2287205033681701,-0.1828244173346954,0.5847544840607024,stable
Glutaric Acid Methyl Ester,Lipid metabolism,"Fatty Acids and Conjugates, Dicarboxylic Acid Derivative",-0.5863339119753453,0.3962606114134606,-0.5293822948593464,0.4335076789509426,persistent
"1,9-Nonanedioate/FA 9:1;O2",Lipid metabolism,"Fatty Acid metabolism, Dicarboxylic Acids and Derivatives",0.0411116164304529,0.8958958907545975,-0.182285599361129,0.5581656430042746,stable
10-Hydroxydecanoate/FA 10:0;O,Lipid metabolism,Fatty acid metabolism,-1.6797996729737958,0.0325997783310525,-0.1980753085995649,0.7162347494397014,full_recovery
Trimethylamine N-Oxide,Lipid metabolism,Glycerophospholipid metabolism,0.0563072421681396,0.9167866224481748,-0.5190034429772548,0.3845967152375167,stable
Acetylcholine,Lipid metabolism,"Glycerophospholipid metabolism, neurotransmitter",0.2930070032599087,0.0987912388233933,-0.0772094234771316,0.6629985729437524,stable
Corticosterone,Lipid metabolism,Steroid hormone biosynthesis,0.6042683890535724,0.0679556231462549,-0.355230759715489,0.4902366684556595,partial_recovery
Cortisone,Lipid metabolism,Steroid hormone biosynthesis,0.0071304925987842,0.9678100106544676,-0.539098064672781,0.0084613648037804,stable
Cortisol,Lipid metabolism,Steroid hormone biosynthesis,-0.1543169510359431,0.6295392829914896,-1.3618096422367536,0.0070528114744563,stable
Cholesterol Sulfate,Lipid metabolism,Steroid hormone biosynthesis,0.3649760900676211,0.2267403931105247,0.3552991847093242,0.2532197732579453,stable
5Allotetrahydrocortisol,Lipid metabolism,Steroid metabolism (cortisol),0.1926329581277346,0.64464241052726,-0.107290708930803,0.7710610032114744,stable
Cholesteryl Acetate,Lipid metabolism,Cholesterol metabolism,0.0494894954521442,0.7594543095230726,0.11315899127918,0.4768379897013015,stable
Mevalonic acid/FA 6:0;O2,Lipid metabolism,Terpenoid backbone biosynthesis,1.1501234057468723,0.0030961204287873,1.2666560312344464,0.0025020719941198,persistent
"Anandamide  (20:4, N-6)",Lipid metabolism,N-acylethanolamine (NAE) metabolism,0.418685169094647,0.3168077766632102,-0.1062933980515186,0.8098563737062512,stable
Oleoyl Ethanolamide,Lipid metabolism,N-acylethanolamine (NAE) metabolism,0.0323129709330068,0.8727817078233704,-0.2780603129156634,0.2159210220303781,stable
5-Aminolevulinic Acid,Porphyrin metabolism,Heme/porphyrin synthesis,-0.0971647299021755,0.3613299565708862,0.0209638925996032,0.847560970292885,stable
Biliverdin,Porphyrin metabolism,Porphyrin metabolism,-0.0184910337919315,0.978540003464068,-0.886687736505966,0.3099640213617264,stable
Bilirubin,Porphyrin metabolism,Porphyrin metabolism,0.0149937694225692,0.9784228869665272,-0.4811454565548537,0.4513449405914034,stable
Glycolic Acid,Glycylate and dicarboxylate metabolism,Glyoxylate and dicarboxylate metabolism,-0.1223373186928895,0.475345873903846,-0.1965961159784442,0.2272948469085282,stable
Oxalic Acid,Glycylate and dicarboxylate metabolism,Glyoxylic or Ascorbic acid metabolism,-0.2829611029522216,0.4632834502447321,-0.6441850063350014,0.1447968968819088,stable
Glyceric Acid,Glycylate and dicarboxylate metabolism,Glyoxylate and dicarboxylate metabolism,-0.5654613024681253,0.1266518053287956,-0.3605545804619824,0.2897248706038517,partial_recovery
Meso-Tartaric Acid,Glycylate and dicarboxylate metabolism,Glycylate and dicarboxylate metabolism,-1.5070210763219332,0.5078887640792715,-1.4539411099620112,0.514087599752802,persistent
Tartaric Acid,Glycylate and dicarboxylate metabolism,Glyoxylate and dicarboxylate metabolism,-1.594787368642529,0.5088577895986698,-1.535875531240707,0.5150913097955765,persistent
3-Hydrobutyrate/FA 4:0;O,Keto-Acids and Derivatives,Ketone bodies,0.4469493250151229,0.5631134606279681,-0.5687831087271156,0.5311091465197726,stable
Butyric Acid,Butyrate metabolism,Butyrate metabolism,-0.3619825931984642,0.7704682844324987,-0.2830645387799223,0.8141726135623223,stable
Caffeic Acid,Caffeine metabolism,Caffeine metabolism,-0.5643352544662483,0.1610843565825193,-0.355228960314486,0.2889835834850138,partial_recovery
Paraxanthine,Caffeine metabolism,Caffiene metabolism,-3.456047536549459,0.0415159786680273,-0.4245194976658273,0.5586161198306122,full_recovery
Caffeine,Caffeine metabolism,Caffeine metabolism,-2.122356111710077,0.2348041809849405,-0.7018013988143852,0.3991042296185167,full_recovery
Theobromine,Caffeine metabolism,Cacao alkaloid,-3.456047536549459,0.0415159786680273,-0.4245194976658273,0.5586161198306122,full_recovery
"2,3-Dihydroxybenzoic Acid",,,-1.9452262087935028,0.0096398605951942,-0.367873595736153,0.4158016343754834,full_recovery
4-Hydroxycinnamic Acid,,,-0.3385842167792288,0.5126445019307495,-0.0346991702843742,0.9371702527467796,stable
Salicylamide,,,-2.987716097232178,0.0512085989608328,0.5279437478298425,0.3661506003341962,full_recovery
Lyxose,,,-0.167187236546236,0.68203123079808,-0.9413756678715222,0.0953668404547798,stable
M-Salicylic Acid,,,-1.033783648041048,0.0937357799419119,-0.6345960372053706,0.2132382803239254,partial_recovery
"2,6-Diaminopimelic Acid",,,-0.0376524614643699,0.5951746542528051,-0.0532236029886413,0.4613906360835972,stable
1-Hydroxy-2-Naphthoate,,,-0.446974079224426,0.4646140049275932,-0.9348602674959454,0.2006611624721819,stable
4-Hydroxybenzoic Acid,,,-1.033783648041048,0.0937357799419119,-0.6345960372053706,0.2132382803239254,partial_recovery
Glucaric Acid,,,-1.4051985580508728,0.0912874808782474,-0.6991282410073775,0.2884799762347468,full_recovery
Gluconic Acid,,,-1.1404924531183744,0.1390768223348842,-0.8586890738644186,0.2177542263542523,persistent
Quinic Acid,,,-3.7369440256938673,0.0139546012138237,0.2146136967759311,0.6813671889478738,full_recovery
Protocatechuic Acid,,,-2.5849930329131787,0.0420915067359983,-1.2593100940919515,0.0439479340472036,full_recovery
Benzoic Acid,,,0.0271384961920065,0.953058930564374,-0.602779890895298,0.2194960647541809,stable
5-Valerolactone,,,-0.0013384945943864,0.9987307423880604,-0.0260435570838782,0.973188076538905,stable
Theophylline,,,-3.456047536549459,0.0415159786680273,-0.4245194976658273,0.5586161198306122,full_recovery
"2',4'-Dihydroxyacetophenone",,,-0.1192731335714222,0.8770226454647391,-2.475493660579983,0.0956342694713394,stable
Xylose,,,-4.744385093826256,0.0920070338449294,-1.835130966245752,0.1978365193514872,full_recovery
Adipic Acid,,,-0.5863339119753453,0.3962606114134606,-0.52876142860744,0.4339416015989357,persistent
2-Aminoisobutyric Acid,,,0.2372639822383432,0.2411948563951933,0.0771525866632601,0.7046295008944006,stable
2-Acetamido-2-Deoxy-Beta-Glucosylamine,,,-0.0014294635497125,0.9955239653251892,0.4560692528302772,0.0657945258190501,stable
Phthalate,,,0.4057416599492364,0.3250684404615908,-0.6467272450133961,0.0872142104696713,stable
Glycochenodeoxycholiccid,,,-0.0627035070807658,0.9218107158703126,-0.3246022560914442,0.5727751752505501,stable
Ubiquinone/Coenzyme Q10,,,0.1854821785752647,0.551097197595182,-0.3557901666859147,0.1943438974715285,stable
Glycinyl- lactose?,,,0.6333929417137029,0.0538365432669538,0.3059614640252854,0.3831054241438033,full_recovery
Phosphocholine,Lipid metabolism,"Glycerophospholipid metabolism, choline metabolism",-1.300672863378369,0.0411402844073283,-0.4364180245218431,0.3471869569885003,full_recovery
Lysophosphatidic Acid,Lipid metabolism,"Glycerophospholipid metabolism, choline metabolism",0.4123129860034312,0.4733128776399631,-0.0994959489850886,0.8815906317969797,stable
Glycerylphosphorylethanolamine,Lipid metabolism,Glycerophospholipid metabolism,-0.9839392155001327,0.1136936914342907,-0.7862008436785022,0.181210784365464,persistent
Sn-Glycero3-Phosphocholine,Lipid metabolism,Glycerophospholipid metabolism,0.0944834801672143,0.7690530869924697,-0.2556958719176601,0.4831948954871083,stable
Glycerol 1-Phosphoserine,Lipid metabolism,Glycerophospholipid metabolism,-0.5781755961061611,0.3672260567781508,-0.7962884938108641,0.2521445957610103,persistent
Sphingosine,Lipid metabolism,Sphingolipid metabolism,0.3926461965341301,0.0603031362414796,0.00016208006648,0.999429745780786,stable
Sphingosine 1-phosphate,Lipid metabolism,Sphingolipid metabolism,0.0032479047692759,0.9871348487539922,-0.277570216909017,0.1755280817969963,stable
PC O-12:1,Glycerophosphocholines [GP01],"1-alkyl,2-acylglycerophosphocholines [GP0102]",-0.1718098883050134,0.524122355782179,0.0440686840628207,0.8685035971493984,stable
PC 12:4,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.7884080779188287,0.1124123983032299,-0.3454003898882009,0.4351094241570129,full_recovery
LPC O-15:1,Glycerophosphocholines [GP01],1Z-alkenylglycerophosphocholines [GP0107],-0.2596485939425073,0.3574700555574641,-0.5354778558844214,0.0951462408365155,stable
PC O-14:0,Glycerophosphocholines [GP01],"1-alkyl,2-acylglycerophosphocholines [GP0102]",-0.822252163780124,0.0366788512789284,-0.2867273718813953,0.3370761665590608,full_recovery
LPC 15:1,Glycerophosphocholines [GP01],Monoacylglycerophosphocholines [GP0105],-1.1266756271600789,0.0613265227360945,-0.1162051655625427,0.780256357502332,full_recovery
LPC O-16:1,Glycerophosphocholines [GP01],Monoalkylglycerophosphocholines [GP0106],0.0457113864115867,0.8287048574704532,-0.3760365435788297,0.1233840810859715,stable
LPC 15:0,Glycerophosphocholines [GP01],Monoacylglycerophosphocholines [GP0105],-0.568333868779352,0.0065372540779706,-0.2122100672909314,0.244982358089512,full_recovery
Lyso-PAF C16,Lipid metabolism,Glycerophospholipid metabolism/PAF,-0.2207916717979355,0.4330364342575208,-0.4726036224168695,0.1366406596474727,stable
LPC O-16:0,Glycerophosphocholines [GP01],Monoalkylglycerophosphocholines [GP0106],-0.2207916717979355,0.4330364342575208,-0.4726036224168695,0.1366406596474727,stable
Cytidine diphosphate choline (CDPcholine),Lipid metabolism,Glycerophospholipid metabolism,-0.1067466696171121,0.7368933648898479,-0.2705223685689213,0.4179959125269223,stable
LPC 16:1,Glycerophosphocholines [GP01],Monoacylglycerophosphocholines [GP0105],-0.3172203485010297,0.1998671298598609,-0.2098639973741146,0.3606562322895408,stable
LPC 16:0,Lipid metabolism,Glycerophospholipid metabolism,-0.2000622892241018,0.2954192995445154,-0.1769609567154486,0.3369921868764531,stable
PC 16:4,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.3502171613394375,0.1415311314150641,-0.0419341492975044,0.835182002220243,stable
LPC 17:1,Glycerophosphocholines [GP01],Monoacylglycerophosphocholines [GP0105],-0.6998096613525704,0.0748215587385175,-0.3127239248415436,0.3441400618546599,full_recovery
PC O-17:0,Glycerophosphocholines [GP01],"1-alkyl,2-acylglycerophosphocholines [GP0102]",-0.5698262988193634,0.0295371025531466,-0.2919507126379994,0.2115553615343792,partial_recovery
LPC 18:3,Glycerophosphocholines [GP01],Monoacylglycerophosphocholines [GP0105],-0.6541777888594351,0.0082293501729676,-0.1011742704459721,0.5592105767031947,full_recovery
LPC 18:2,Glycerophosphocholines [GP01],Monoacylglycerophosphocholines [GP0105],-0.5613089366089645,0.112638176318648,-0.1191580370577686,0.6867569575590353,full_recovery
LPC 18:1,Lipid metabolism,Glycerophospholipid metabolism,-0.5251886853803174,0.0583826464139135,-0.2782658601680973,0.2615007890503499,partial_recovery
LPC 18:0,Lipid metabolism,Glycerophospholipid metabolism,-0.441448654390026,0.0766800503070559,-0.3296388445081036,0.173150747494072,stable
PAF C16:0,Lipid metabolism,Glycerophospholipid metabolism,-0.5180015527783398,0.0484682394856701,-0.2843912299473325,0.2522447972475349,partial_recovery
2-O-methyl PAF C-18,Lipid metabolism,Glycerophospholipid metabolism/acylglycerol,-0.0946513845066905,0.7685066172965963,-0.3364224518998479,0.3390070142930429,stable
LPC O-19:0,Glycerophosphocholines [GP01],Monoalkylglycerophosphocholines [GP0106],0.0077809199785144,0.9889858321825382,-0.6378886212290645,0.257772998410984,stable
LPC O-20:1,Glycerophosphocholines [GP01],1Z-alkenylglycerophosphocholines [GP0107],0.3996034027291815,0.5515051646117665,0.1652774470214004,0.8656174268047303,stable
PC O-19:0,Glycerophosphocholines [GP01],"1-alkyl,2-acylglycerophosphocholines [GP0102]",-1.2304415220134726,0.0004349759867738,-0.4117522051743906,0.105601584644269,full_recovery
C-PAF/methylCarbamyl-PAF C-16,Lipid metabolism,Glycerophospholipid metabolism/PAF,-2.1511762569423887,0.0082392909035636,-0.7133159701077277,0.1266221484851151,full_recovery
PC O-20:1,Glycerophosphocholines [GP01],"1-alkyl,2-acylglycerophosphocholines [GP0102]",-0.4813474944941356,0.0299901023818463,-0.1744116858034868,0.4233125445085863,stable
PAF C18:0,Lipid metabolism,Glycerophospholipid metabolism,-0.8544186311275561,0.0001208936288416,-0.3184039032409794,0.0754168270819903,full_recovery
PC O-20:0,Glycerophosphocholines [GP01],"1-alkyl,2-acylglycerophosphocholines [GP0102]",-0.8630733157953913,0.0001202858500842,-0.3270585879088143,0.0700243938555877,full_recovery
PC 26:0,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],0.4237820582379357,0.5350255021198786,0.3371062346995648,0.4922376726296414,stable
PC 28:1,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.6415325029703316,0.2701403267662553,0.3091819095347231,0.4754883176320539,full_recovery
PC 32:3,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.5173295994120175,0.2676618629511264,-0.1849101087037288,0.5935904067789122,full_recovery
PC 32:1,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.3437098531173187,0.2270058658735254,-0.0868718454187192,0.7231966443054887,stable
PC 34:3,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.49282525322421,0.0319309231563439,-0.0628449369153261,0.7052380474724687,stable
PC 34:2,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.0657121384249232,0.4080075542012445,-0.0385963820350387,0.6248376444839309,stable
PC 34:1,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.1405904208659398,0.4963091561474795,0.0623034074297167,0.7339650746958255,stable
PC O-36:6,Glycerophosphocholines [GP01],"1-(1Z-alkenyl),2-acylglycerophosphocholines [GP0103]",-0.2398914848032276,0.3419542692679232,-0.3062519061060653,0.2579327655455961,stable
PC O-36:5,Glycerophosphocholines [GP01],"1-alkyl,2-acylglycerophosphocholines [GP0102]",0.411390600205484,0.0782386327831873,-0.264797331601771,0.1814299149951993,stable
PC 35:1,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.5332607947210312,0.0444799987625643,-0.0368252493448943,0.8602910550971684,full_recovery
PC 36:7,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.1494282322294526,0.5259174594991325,-0.1985016992017092,0.4181429048175153,stable
PC 36:4,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],0.1915811294261317,0.2411376140465956,-0.0291593963925803,0.8511818541807088,stable
PC 36:3,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.4091655179006883,0.000923076573286,-0.0613585090747409,0.4919832276465141,stable
PC 36:2,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.5248274906051631,0.0049971180090437,-0.0646531818609453,0.6487156726220296,full_recovery
PC 38:8,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.428826863949675,0.0992026871393715,-0.0670990191455713,0.7656730299110056,stable
PC O-38:1,Glycerophosphocholines [GP01],"1-alkyl,2-acylglycerophosphocholines [GP0102]",-0.2930995904947518,0.2579921944549527,-0.0880755077031276,0.7128415654919149,stable
PC 38:6,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],0.1748072675290726,0.4071754262621146,-0.0847597226357342,0.6708409719503121,stable
PC 38:5,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.2289219853172909,0.1008240123455467,-0.0663506765290278,0.6092569214482291,stable
PC 38:4,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],0.0088920936337001,0.9687508359962878,-0.0346545699613686,0.8745750153806908,stable
PC O-40:8,Glycerophosphocholines [GP01],"1-acyl,2-alkylglycerophosphocholines [GP0108]",0.0436475992212765,0.7969017382209842,-0.1352689691998028,0.4490895770322103,stable
PC O-39:1,Glycerophosphocholines [GP01],"1-alkyl,2-acylglycerophosphocholines [GP0102]",-0.2343578295284169,0.3069593746547298,-0.2185685721825024,0.3380570684956885,stable
PC O-40:7,Glycerophosphocholines [GP01],"1-(1Z-alkenyl),2-acylglycerophosphocholines [GP0103]",-0.0007099549049229,0.9950754613175824,-0.0931449971444446,0.488663673798273,stable
PC O-40:2,Glycerophosphocholines [GP01],"1-alkyl,2-acylglycerophosphocholines [GP0102]",-0.4245885250892219,0.0582056967762363,-0.1308448818768493,0.4909531045361158,stable
PC 40:6,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],0.0574387587385499,0.6999267318714204,-0.0721359664505608,0.6216906233955917,stable
PC 42:10,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.1679134535197353,0.5373341647814432,-0.0044410227626432,0.9869953200660287,stable
PC 42:9,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.1933514496003434,0.2011877850027039,-0.0456051709393843,0.7614331561889859,stable
PC 42:6,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.3899725773002618,0.4854691347356168,-0.3282378533143566,0.5476702160699944,stable
PC 44:12,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.1763898463945045,0.5130880415518706,0.0078948115278568,0.97859478011145,stable
PC 44:10,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],0.330630659866086,0.4047683989883199,-0.1475883341522846,0.7313482017820954,stable
PC 44:8,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],0.1353489219010471,0.6569512527917127,-0.2325927738735209,0.4275979680361251,stable
PC 54:12,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.7012971973996907,0.0821670936369097,-0.6175215036216744,0.1193155530265025,persistent
PC 56:12,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.9300860570844176,0.0425015692854508,-0.4441890513763055,0.2732348850788363,full_recovery
LPC 14:0,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.6197207195786768,0.1817847491895639,-0.0499982769258,0.8865258689476734,full_recovery
LPC O-17:1,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],0.2283159696472952,0.1912152097332246,-0.0868673391209326,0.6549601669865226,stable
LPC O-18:2,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],0.1330382749795719,0.4573676265692969,-0.1111723613568896,0.5737207375274574,stable
LPC O-18:1,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],0.1515329862541317,0.4749429270403028,-0.056596600940998,0.8052656522213326,stable
LPC 17:0,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.3704030100733302,0.0626632476201524,-0.0529635703487192,0.7558408639806933,stable
LPC O-18:0,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],0.1026120598095244,0.5845213571753932,0.0519096930034187,0.7922592765618913,stable
LPC 18:2;O,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.2712819410278226,0.2362285476252775,-0.0276934227480246,0.8823976082866547,stable
LPC O-20:0,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],0.0879131622377698,0.4284764786384355,0.1437595729370579,0.2092088121052164,stable
LPC 20:5,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.8963801732303869,0.0951604501782716,-0.0769510884954452,0.8457316633436627,full_recovery
LPC 20:4,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],0.2523585162970155,0.3668760608429925,0.0197720863965641,0.9466046274101232,stable
